# event_ticker=KXATPCHALLENGERMATCH-26APR08POLSCH
# final_score=7-6(5) 7-5
# score_resolution=6-7 5-7
# match_winner=Tristan Schoolkate
# fav_player=Marc Polmans
# dog_player=Tristan Schoolkate
# kalshi_date=2026-04-08
timestamp,Marc Polmans,Tristan Schoolkate
2026-04-08T07:27:00Z,,67.00
2026-04-08T07:31:00Z,,69.00
2026-04-08T07:32:00Z,,72.00
2026-04-08T07:34:00Z,,72.00
2026-04-08T09:20:00Z,,73.00
2026-04-08T10:10:00Z,27.00,73.00
2026-04-08T11:31:00Z,30.00,73.00
2026-04-08T11:37:00Z,30.00,70.00
2026-04-08T12:06:00Z,30.00,71.00
2026-04-08T12:23:00Z,30.00,71.00
2026-04-08T12:49:00Z,30.00,71.00
2026-04-08T13:24:00Z,30.00,71.00
2026-04-08T13:29:00Z,30.00,71.00
2026-04-08T13:48:00Z,30.00,70.00
2026-04-08T14:04:00Z,30.00,70.00
2026-04-08T14:21:00Z,30.00,70.00
2026-04-08T15:27:00Z,31.00,70.00
2026-04-08T15:28:00Z,31.00,70.00
2026-04-08T15:44:00Z,31.00,70.00
2026-04-08T15:56:00Z,31.00,70.00
2026-04-08T16:14:00Z,31.00,72.00
2026-04-08T16:16:00Z,31.00,72.00
2026-04-08T16:22:00Z,31.00,72.00
2026-04-08T16:58:00Z,30.00,72.00
2026-04-08T17:02:00Z,30.00,72.00
2026-04-08T17:09:00Z,30.00,72.00
2026-04-08T17:12:00Z,30.00,72.93
2026-04-08T17:15:00Z,30.00,73.00
2026-04-08T17:23:00Z,30.00,73.00
2026-04-08T17:32:00Z,30.00,73.00
2026-04-08T17:33:00Z,30.00,73.00
2026-04-08T17:35:00Z,30.00,73.00
2026-04-08T17:40:00Z,30.00,73.00
2026-04-08T17:41:00Z,30.00,73.00
2026-04-08T17:42:00Z,30.00,73.00
2026-04-08T17:43:00Z,30.00,73.00
2026-04-08T17:45:00Z,30.00,73.00
2026-04-08T17:51:00Z,30.00,73.00
2026-04-08T17:55:00Z,30.00,72.00
2026-04-08T17:56:00Z,28.54,72.00
2026-04-08T17:57:00Z,29.00,72.00
2026-04-08T18:02:00Z,29.00,72.00
2026-04-08T18:05:00Z,29.91,72.00
2026-04-08T18:06:00Z,29.91,72.00
2026-04-08T18:07:00Z,29.91,72.00
2026-04-08T18:08:00Z,29.91,72.00
2026-04-08T18:10:00Z,29.91,72.00
2026-04-08T18:11:00Z,30.00,73.00
2026-04-08T18:14:00Z,30.00,73.00
2026-04-08T18:16:00Z,30.00,73.00
2026-04-08T18:17:00Z,30.00,73.00
2026-04-08T18:19:00Z,29.98,73.00
2026-04-08T18:20:00Z,29.00,73.00
2026-04-08T18:23:00Z,29.00,73.00
2026-04-08T18:25:00Z,29.94,73.00
2026-04-08T18:27:00Z,29.94,73.00
2026-04-08T18:30:00Z,29.17,72.00
2026-04-08T18:31:00Z,30.00,72.00
2026-04-08T18:32:00Z,30.00,72.00
2026-04-08T18:33:00Z,30.00,71.07
2026-04-08T18:34:00Z,30.00,71.07
2026-04-08T18:36:00Z,30.00,72.00
2026-04-08T18:37:00Z,30.00,72.00
2026-04-08T18:39:00Z,30.00,72.00
2026-04-08T18:41:00Z,30.00,72.36
