# event_ticker=KXATPCHALLENGERMATCH-26APR13REIKIC
# final_score=6-2 6-3
# match_winner=Joao Lucas Reis Da Silva
# fav_player=Joao Lucas Reis Da Silva
# dog_player=Nicolas Kicker
# kalshi_date=2026-04-13
timestamp,Joao Lucas Reis Da Silva,Nicolas Kicker
2026-04-13T06:15:00Z,49.00,
2026-04-13T06:36:00Z,91.60,
2026-04-13T07:35:00Z,85.00,
2026-04-13T09:07:00Z,59.00,
2026-04-13T11:11:00Z,59.00,
2026-04-13T13:37:00Z,59.00,
2026-04-13T13:42:00Z,59.00,
2026-04-13T14:16:00Z,59.00,
2026-04-13T14:54:00Z,60.00,
2026-04-13T15:04:00Z,58.00,
2026-04-13T16:21:00Z,57.00,
2026-04-13T16:50:00Z,59.40,
2026-04-13T16:57:00Z,60.66,
2026-04-13T16:58:00Z,60.00,
2026-04-13T17:14:00Z,60.00,41.00
2026-04-13T17:38:00Z,60.96,41.00
2026-04-13T17:39:00Z,62.00,41.00
2026-04-13T17:43:00Z,62.00,41.00
2026-04-13T17:47:00Z,62.00,41.00
2026-04-13T17:50:00Z,62.00,41.00
2026-04-13T17:51:00Z,62.00,41.00
2026-04-13T17:56:00Z,62.00,41.00
2026-04-13T18:01:00Z,62.00,41.00
2026-04-13T18:03:00Z,62.00,41.00
2026-04-13T18:04:00Z,62.00,41.00
2026-04-13T18:05:00Z,62.00,40.00
2026-04-13T18:06:00Z,61.95,41.26
2026-04-13T18:07:00Z,62.00,38.00
2026-04-13T18:08:00Z,63.00,39.00
2026-04-13T18:09:00Z,67.51,36.00
2026-04-13T18:10:00Z,68.10,31.20
2026-04-13T18:11:00Z,69.98,32.00
2026-04-13T18:12:00Z,74.08,28.61
2026-04-13T18:13:00Z,73.00,27.26
2026-04-13T18:14:00Z,70.01,29.00
2026-04-13T18:15:00Z,69.95,28.37
2026-04-13T18:16:00Z,70.32,29.27
2026-04-13T18:17:00Z,69.76,31.00
2026-04-13T18:18:00Z,70.44,27.89
2026-04-13T18:19:00Z,73.95,26.00
2026-04-13T18:20:00Z,78.51,21.14
2026-04-13T18:21:00Z,78.00,21.66
2026-04-13T18:22:00Z,78.31,22.03
2026-04-13T18:23:00Z,80.36,20.84
2026-04-13T18:24:00Z,82.95,17.00
2026-04-13T18:25:00Z,83.02,16.36
2026-04-13T18:26:00Z,83.00,17.10
2026-04-13T18:27:00Z,83.03,19.20
2026-04-13T18:28:00Z,83.19,17.26
2026-04-13T18:29:00Z,85.25,16.00
2026-04-13T18:30:00Z,86.00,16.00
2026-04-13T18:31:00Z,83.42,16.01
2026-04-13T18:32:00Z,83.22,17.13
2026-04-13T18:33:00Z,85.00,16.21
2026-04-13T18:34:00Z,85.03,14.62
2026-04-13T18:35:00Z,87.00,12.83
2026-04-13T18:36:00Z,87.59,13.00
2026-04-13T18:37:00Z,88.85,11.71
2026-04-13T18:38:00Z,88.84,12.75
2026-04-13T18:39:00Z,89.58,10.01
2026-04-13T18:40:00Z,91.00,10.00
2026-04-13T18:41:00Z,90.17,10.00
2026-04-13T18:42:00Z,89.09,9.81
2026-04-13T18:43:00Z,91.01,9.20
2026-04-13T18:44:00Z,92.98,7.99
2026-04-13T18:45:00Z,92.00,9.03
2026-04-13T18:46:00Z,92.00,9.00
2026-04-13T18:47:00Z,91.02,9.62
2026-04-13T18:48:00Z,92.78,7.90
2026-04-13T18:49:00Z,93.49,7.63
2026-04-13T18:50:00Z,90.67,10.40
2026-04-13T18:51:00Z,88.18,12.11
2026-04-13T18:52:00Z,89.43,11.90
2026-04-13T18:53:00Z,91.36,9.03
2026-04-13T18:54:00Z,91.16,9.00
2026-04-13T18:55:00Z,91.01,8.63
2026-04-13T18:56:00Z,90.65,10.60
2026-04-13T18:57:00Z,90.21,10.19
2026-04-13T18:58:00Z,90.79,11.00
2026-04-13T18:59:00Z,90.00,10.51
2026-04-13T19:00:00Z,91.01,9.00
2026-04-13T19:01:00Z,92.99,8.80
2026-04-13T19:02:00Z,93.00,7.61
2026-04-13T19:03:00Z,91.91,7.95
2026-04-13T19:04:00Z,92.51,8.20
2026-04-13T19:05:00Z,95.59,5.49
2026-04-13T19:06:00Z,97.06,3.20
2026-04-13T19:07:00Z,98.99,1.00
2026-04-13T19:08:00Z,99.00,1.00
2026-04-13T19:09:00Z,98.77,1.00
2026-04-13T19:10:00Z,98.77,1.02
2026-04-13T19:11:00Z,99.00,1.00
2026-04-13T19:12:00Z,99.00,1.00
2026-04-13T19:13:00Z,99.00,1.37
2026-04-13T19:14:00Z,99.00,1.66
2026-04-13T19:15:00Z,99.00,1.00
2026-04-13T19:17:00Z,99.00,1.00
