# event_ticker=KXATPCHALLENGERMATCH-26MAR04SAFCHO
# final_score=4-6 7-5 7-5
# match_winner=Jan Choinski
# fav_player=Jan Choinski
# dog_player=Roman Safiullin
# kalshi_date=2026-03-04
timestamp,Jan Choinski,Roman Safiullin
2026-03-04T13:52:00Z,58.00,
2026-03-04T14:05:00Z,46.00,
2026-03-04T14:38:00Z,46.00,55.00
2026-03-04T14:40:00Z,46.00,55.00
2026-03-04T14:45:00Z,47.00,55.00
2026-03-04T15:01:00Z,47.00,56.00
2026-03-04T15:19:00Z,47.00,56.00
2026-03-04T15:29:00Z,47.00,56.00
2026-03-04T16:10:00Z,46.00,56.00
2026-03-04T16:11:00Z,46.00,56.00
2026-03-04T16:15:00Z,46.00,56.00
2026-03-04T16:27:00Z,46.00,56.00
2026-03-04T16:37:00Z,46.00,56.00
2026-03-04T16:52:00Z,46.00,56.00
2026-03-04T17:00:00Z,46.00,56.00
2026-03-04T17:03:00Z,46.00,56.00
2026-03-04T17:05:00Z,46.00,56.00
2026-03-04T17:12:00Z,46.00,56.00
2026-03-04T17:20:00Z,46.00,56.00
2026-03-04T17:32:00Z,46.00,54.19
2026-03-04T17:41:00Z,46.00,55.00
2026-03-04T18:01:00Z,46.00,55.00
2026-03-04T18:03:00Z,46.00,55.00
2026-03-04T18:14:00Z,46.00,55.00
2026-03-04T18:17:00Z,47.00,55.00
2026-03-04T18:24:00Z,47.00,55.00
2026-03-04T18:25:00Z,47.00,55.00
2026-03-04T18:26:00Z,47.00,55.00
2026-03-04T18:31:00Z,46.00,54.00
2026-03-04T18:33:00Z,47.00,54.00
2026-03-04T18:41:00Z,47.00,54.00
2026-03-04T18:42:00Z,46.00,54.00
2026-03-04T18:45:00Z,46.00,54.00
2026-03-04T18:46:00Z,46.00,55.00
2026-03-04T18:48:00Z,46.00,55.00
2026-03-04T18:49:00Z,47.00,55.00
2026-03-04T18:50:00Z,47.00,55.00
2026-03-04T18:59:00Z,47.23,55.00
2026-03-04T19:00:00Z,48.00,55.00
2026-03-04T19:01:00Z,48.00,55.00
2026-03-04T19:04:00Z,48.00,55.00
2026-03-04T19:08:00Z,47.00,55.00
2026-03-04T19:11:00Z,47.89,55.00
2026-03-04T19:12:00Z,48.74,55.00
2026-03-04T19:16:00Z,48.00,54.00
2026-03-04T19:17:00Z,48.00,54.00
2026-03-04T19:20:00Z,48.00,54.00
2026-03-04T19:21:00Z,48.00,54.00
2026-03-04T19:26:00Z,47.72,54.00
2026-03-04T19:27:00Z,47.00,54.00
2026-03-04T19:31:00Z,47.00,54.00
2026-03-04T19:32:00Z,47.00,54.32
2026-03-04T19:38:00Z,47.48,54.32
2026-03-04T19:42:00Z,47.48,54.00
2026-03-04T19:43:00Z,47.00,54.00
2026-03-04T19:47:00Z,45.15,55.35
2026-03-04T19:48:00Z,45.15,57.00
2026-03-04T19:50:00Z,43.00,57.00
2026-03-04T19:51:00Z,43.00,57.00
2026-03-04T19:52:00Z,43.00,57.00
2026-03-04T19:53:00Z,43.00,57.00
2026-03-04T19:54:00Z,43.00,57.66
2026-03-04T19:55:00Z,45.11,55.89
2026-03-04T19:56:00Z,50.23,50.33
2026-03-04T19:57:00Z,58.08,44.09
2026-03-04T19:58:00Z,56.73,41.96
2026-03-04T19:59:00Z,59.24,42.09
2026-03-04T20:00:00Z,58.00,40.11
2026-03-04T20:01:00Z,62.00,40.11
2026-03-04T20:02:00Z,61.46,40.11
2026-03-04T20:03:00Z,62.00,41.00
2026-03-04T20:04:00Z,60.16,39.00
2026-03-04T20:05:00Z,62.23,36.00
2026-03-04T20:07:00Z,63.02,37.00
2026-03-04T20:08:00Z,65.00,36.57
2026-03-04T20:09:00Z,64.00,38.00
2026-03-04T20:10:00Z,64.00,38.85
2026-03-04T20:11:00Z,63.30,38.37
2026-03-04T20:12:00Z,53.16,44.38
2026-03-04T20:13:00Z,54.20,45.46
2026-03-04T20:14:00Z,54.20,48.00
2026-03-04T20:15:00Z,53.89,48.39
2026-03-04T20:16:00Z,53.83,48.39
2026-03-04T20:17:00Z,47.48,49.31
2026-03-04T20:18:00Z,40.96,57.00
2026-03-04T20:19:00Z,44.85,59.00
2026-03-04T20:20:00Z,42.12,60.61
2026-03-04T20:21:00Z,42.06,60.71
2026-03-04T20:22:00Z,45.65,55.00
2026-03-04T20:23:00Z,41.38,59.10
2026-03-04T20:24:00Z,40.01,61.85
2026-03-04T20:25:00Z,40.63,61.85
2026-03-04T20:26:00Z,35.51,62.82
2026-03-04T20:27:00Z,35.59,62.00
2026-03-04T20:28:00Z,42.10,55.56
2026-03-04T20:29:00Z,46.21,55.00
2026-03-04T20:30:00Z,40.47,59.88
2026-03-04T20:31:00Z,40.69,58.00
2026-03-04T20:32:00Z,41.07,59.00
2026-03-04T20:33:00Z,44.10,53.25
2026-03-04T20:34:00Z,44.14,57.41
2026-03-04T20:35:00Z,40.11,54.00
2026-03-04T20:36:00Z,27.06,68.39
2026-03-04T20:37:00Z,21.55,78.09
