# event_ticker=KXATPMATCH-25JUL28MARDEL
# final_score=6-2 6-2
# match_winner=Fabian Marozsan
# fav_player=Fabian Marozsan
# dog_player=Hugo Dellien
# kalshi_date=2025-07-28
timestamp,Fabian Marozsan,Hugo Dellien
2025-07-28T12:34:00Z,73.00,
2025-07-28T12:35:00Z,73.00,
2025-07-28T12:36:00Z,77.24,
2025-07-28T12:40:00Z,78.00,
2025-07-28T12:41:00Z,78.00,
2025-07-28T15:03:00Z,78.00,12.00
2025-07-28T15:16:00Z,78.00,12.00
2025-07-28T16:17:00Z,78.00,12.00
2025-07-28T16:29:00Z,78.00,12.00
2025-07-28T16:50:00Z,78.00,12.85
2025-07-28T17:37:00Z,78.00,13.00
2025-07-28T17:53:00Z,78.00,13.00
2025-07-28T18:00:00Z,78.00,13.00
2025-07-28T18:40:00Z,78.00,13.00
2025-07-28T18:54:00Z,88.00,13.00
2025-07-28T18:57:00Z,88.00,13.00
2025-07-28T19:03:00Z,88.00,13.00
2025-07-28T19:21:00Z,88.00,13.00
2025-07-28T19:24:00Z,88.00,13.00
2025-07-28T19:29:00Z,88.00,13.00
2025-07-28T19:30:00Z,88.00,13.00
2025-07-28T19:50:00Z,88.00,13.00
2025-07-28T19:52:00Z,88.00,13.00
2025-07-28T19:56:00Z,88.00,13.00
2025-07-28T20:04:00Z,88.00,13.00
2025-07-28T20:12:00Z,88.00,13.00
2025-07-28T20:24:00Z,88.00,14.00
2025-07-28T20:28:00Z,88.00,13.83
2025-07-28T20:30:00Z,88.00,14.00
2025-07-28T20:40:00Z,88.00,14.00
2025-07-28T20:41:00Z,88.00,14.00
2025-07-28T20:51:00Z,88.00,14.00
2025-07-28T20:54:00Z,88.00,14.00
2025-07-28T20:55:00Z,88.00,14.00
2025-07-28T20:57:00Z,88.00,14.00
2025-07-28T20:58:00Z,88.00,14.00
2025-07-28T20:59:00Z,88.00,14.00
2025-07-28T21:00:00Z,88.00,14.00
2025-07-28T21:01:00Z,88.00,14.00
2025-07-28T21:03:00Z,88.00,14.00
2025-07-28T21:04:00Z,88.00,14.00
2025-07-28T21:07:00Z,88.00,14.00
2025-07-28T21:09:00Z,88.00,14.00
2025-07-28T21:10:00Z,88.00,14.00
2025-07-28T21:19:00Z,88.00,14.00
2025-07-28T21:23:00Z,88.00,14.00
2025-07-28T21:24:00Z,88.00,14.00
2025-07-28T21:25:00Z,88.00,14.00
2025-07-28T21:26:00Z,88.00,14.00
2025-07-28T21:28:00Z,88.00,14.00
2025-07-28T21:30:00Z,88.00,14.00
2025-07-28T21:33:00Z,88.00,14.00
2025-07-28T21:34:00Z,88.00,14.00
2025-07-28T21:36:00Z,88.00,14.00
2025-07-28T21:38:00Z,86.00,15.27
2025-07-28T21:40:00Z,86.00,15.27
2025-07-28T21:42:00Z,86.00,15.27
2025-07-28T21:43:00Z,86.00,14.76
2025-07-28T21:45:00Z,86.00,14.71
2025-07-28T21:47:00Z,86.00,15.00
2025-07-28T21:50:00Z,86.00,15.00
2025-07-28T21:55:00Z,86.00,15.00
2025-07-28T21:58:00Z,86.00,15.00
2025-07-28T22:02:00Z,86.00,15.00
2025-07-28T22:04:00Z,86.00,15.00
2025-07-28T22:08:00Z,86.00,15.00
2025-07-28T22:13:00Z,86.00,15.04
2025-07-28T22:15:00Z,86.00,15.67
2025-07-28T22:16:00Z,86.00,16.00
2025-07-28T22:18:00Z,86.00,15.00
2025-07-28T22:21:00Z,86.00,15.00
2025-07-28T22:27:00Z,86.00,15.00
2025-07-28T22:31:00Z,86.00,15.00
2025-07-28T22:36:00Z,85.00,16.00
