# event_ticker=KXATPMATCH-26JAN05SHACOL
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Raphael Collignon
# fav_player=Denis Shapovalov
# dog_player=Raphael Collignon
# kalshi_date=2026-01-05
timestamp,Denis Shapovalov,Raphael Collignon
2026-01-05T13:52:00Z,,44.00
2026-01-05T13:58:00Z,56.00,44.00
2026-01-05T14:27:00Z,56.53,44.00
2026-01-05T14:29:00Z,56.86,44.00
2026-01-05T14:43:00Z,57.00,44.00
2026-01-05T14:59:00Z,57.00,44.00
2026-01-05T15:11:00Z,56.65,44.00
2026-01-05T15:28:00Z,56.65,44.00
2026-01-05T15:37:00Z,56.00,44.00
2026-01-05T15:50:00Z,56.00,44.00
2026-01-05T15:51:00Z,56.00,44.00
2026-01-05T15:52:00Z,55.00,44.00
2026-01-05T16:06:00Z,55.00,44.00
2026-01-05T16:07:00Z,55.00,44.00
2026-01-05T16:49:00Z,55.00,44.00
2026-01-05T17:07:00Z,55.00,44.00
2026-01-05T17:21:00Z,55.00,44.00
2026-01-05T17:33:00Z,55.00,44.00
2026-01-05T18:01:00Z,55.00,44.00
2026-01-05T18:06:00Z,54.00,44.00
2026-01-05T18:07:00Z,54.00,44.00
2026-01-05T18:17:00Z,54.00,44.00
2026-01-05T18:19:00Z,54.00,44.00
2026-01-05T18:23:00Z,54.00,44.00
2026-01-05T18:52:00Z,54.00,44.00
2026-01-05T19:23:00Z,54.00,46.00
2026-01-05T19:33:00Z,54.00,48.21
2026-01-05T19:34:00Z,55.00,48.21
2026-01-05T19:45:00Z,55.00,44.66
2026-01-05T19:47:00Z,55.00,46.00
2026-01-05T19:51:00Z,55.00,46.00
2026-01-05T19:54:00Z,55.00,46.00
2026-01-05T20:01:00Z,55.00,47.00
2026-01-05T20:08:00Z,55.00,47.00
2026-01-05T20:34:00Z,55.00,47.00
2026-01-05T20:48:00Z,55.00,47.00
2026-01-05T21:09:00Z,55.00,48.00
2026-01-05T21:15:00Z,54.00,48.00
2026-01-05T21:16:00Z,54.00,48.00
2026-01-05T21:18:00Z,54.00,48.00
