# event_ticker=KXATPMATCH-26JUN10MANRIN
# final_score=7-6(5) 3-6 6-3
# score_resolution=6-7 6-3 3-6
# match_winner=Adrian Mannarino
# fav_player=Arthur Rinderknech
# dog_player=Adrian Mannarino
# kalshi_date=2026-06-10
timestamp,Adrian Mannarino,Arthur Rinderknech
2026-06-10T23:04:00Z,,54.00
2026-06-10T23:40:00Z,47.00,54.00
2026-06-10T23:41:00Z,47.00,54.00
2026-06-11T00:02:00Z,47.00,54.00
2026-06-11T00:05:00Z,47.76,54.00
2026-06-11T00:09:00Z,48.00,54.00
2026-06-11T00:18:00Z,48.00,54.00
2026-06-11T00:37:00Z,48.00,54.00
2026-06-11T01:21:00Z,48.00,54.00
2026-06-11T01:36:00Z,47.00,54.00
2026-06-11T01:38:00Z,47.00,53.00
2026-06-11T02:08:00Z,47.00,54.00
2026-06-11T02:09:00Z,47.00,54.00
2026-06-11T02:13:00Z,47.00,54.00
2026-06-11T02:14:00Z,47.00,54.00
2026-06-11T02:23:00Z,47.00,54.00
2026-06-11T02:24:00Z,47.00,54.00
2026-06-11T02:28:00Z,47.00,54.09
2026-06-11T02:38:00Z,47.00,54.09
2026-06-11T02:45:00Z,47.00,55.00
2026-06-11T02:48:00Z,47.00,55.00
2026-06-11T02:52:00Z,47.00,55.00
2026-06-11T02:55:00Z,46.00,55.00
2026-06-11T02:56:00Z,47.00,55.00
2026-06-11T02:57:00Z,47.00,55.00
2026-06-11T02:58:00Z,47.00,55.00
2026-06-11T03:07:00Z,47.00,55.00
2026-06-11T03:11:00Z,47.00,55.00
2026-06-11T03:18:00Z,47.00,55.00
2026-06-11T03:23:00Z,47.00,55.00
2026-06-11T03:24:00Z,46.00,55.00
2026-06-11T03:36:00Z,46.00,55.00
2026-06-11T03:37:00Z,47.00,55.00
2026-06-11T03:39:00Z,47.00,55.00
2026-06-11T03:40:00Z,47.00,55.00
2026-06-11T03:42:00Z,47.00,55.00
2026-06-11T03:43:00Z,47.00,55.00
2026-06-11T03:44:00Z,47.00,55.00
2026-06-11T03:45:00Z,46.00,55.00
2026-06-11T03:48:00Z,47.00,55.00
2026-06-11T03:49:00Z,47.00,55.00
2026-06-11T03:50:00Z,47.00,55.00
2026-06-11T03:51:00Z,47.00,55.00
2026-06-11T03:52:00Z,47.00,55.00
2026-06-11T03:53:00Z,47.00,55.00
2026-06-11T03:54:00Z,47.00,55.00
2026-06-11T03:55:00Z,47.00,55.00
2026-06-11T03:56:00Z,47.00,55.00
2026-06-11T03:58:00Z,47.00,55.00
2026-06-11T03:59:00Z,46.00,55.00
