# event_ticker=KXATPCHALLENGERMATCH-26MAR20OFNCAR
# final_score=7-6(4) 2-6 6-1
# score_resolution=6-7 6-2 1-6
# match_winner=Roberto Carballes Baena
# fav_player=Sebastian Ofner
# dog_player=Roberto Carballes Baena
# kalshi_date=2026-03-20
timestamp,Sebastian Ofner,Roberto Carballes Baena
2026-03-19T22:53:00Z,66.00,
2026-03-20T00:54:00Z,65.00,
2026-03-20T01:28:00Z,65.00,
2026-03-20T01:31:00Z,65.00,
2026-03-20T01:46:00Z,65.00,
2026-03-20T01:52:00Z,64.43,
2026-03-20T01:54:00Z,64.43,36.00
2026-03-20T02:06:00Z,65.00,36.00
2026-03-20T02:07:00Z,65.00,36.00
2026-03-20T02:28:00Z,65.00,36.00
2026-03-20T02:39:00Z,65.00,36.00
2026-03-20T02:44:00Z,65.00,36.00
2026-03-20T02:52:00Z,65.00,36.00
2026-03-20T02:57:00Z,65.00,37.35
2026-03-20T03:05:00Z,63.00,38.00
2026-03-20T03:16:00Z,63.00,38.00
2026-03-20T03:26:00Z,63.00,38.00
2026-03-20T03:31:00Z,63.00,38.00
2026-03-20T03:45:00Z,63.00,38.00
2026-03-20T03:49:00Z,63.00,38.00
2026-03-20T03:51:00Z,63.00,38.00
2026-03-20T03:54:00Z,63.00,38.00
2026-03-20T04:00:00Z,63.25,38.00
2026-03-20T04:04:00Z,63.25,38.00
2026-03-20T04:13:00Z,63.00,38.00
2026-03-20T04:24:00Z,64.34,38.00
2026-03-20T04:36:00Z,65.00,38.00
2026-03-20T04:39:00Z,65.00,38.00
2026-03-20T04:43:00Z,65.00,35.06
2026-03-20T04:46:00Z,65.00,35.06
2026-03-20T04:47:00Z,65.00,35.06
2026-03-20T04:52:00Z,65.00,35.06
2026-03-20T04:54:00Z,65.00,35.06
2026-03-20T04:57:00Z,65.00,35.06
2026-03-20T05:01:00Z,65.00,35.06
2026-03-20T05:06:00Z,65.00,35.06
2026-03-20T05:16:00Z,65.00,35.06
2026-03-20T05:17:00Z,65.00,35.06
2026-03-20T05:24:00Z,65.00,35.06
2026-03-20T05:27:00Z,65.00,35.06
2026-03-20T05:31:00Z,65.00,37.19
2026-03-20T05:34:00Z,65.00,37.19
2026-03-20T05:35:00Z,65.00,37.19
2026-03-20T05:36:00Z,65.00,38.00
2026-03-20T05:39:00Z,65.00,38.00
2026-03-20T05:40:00Z,65.00,38.00
2026-03-20T05:42:00Z,65.00,38.00
2026-03-20T05:45:00Z,65.00,36.00
2026-03-20T05:46:00Z,65.00,36.00
2026-03-20T05:47:00Z,65.00,36.00
2026-03-20T05:48:00Z,65.00,36.00
2026-03-20T05:50:00Z,65.00,36.00
2026-03-20T05:53:00Z,65.00,36.00
2026-03-20T05:58:00Z,65.00,36.00
2026-03-20T06:01:00Z,65.00,36.04
2026-03-20T06:03:00Z,65.00,36.04
2026-03-20T06:06:00Z,65.00,37.00
2026-03-20T06:09:00Z,65.00,37.00
2026-03-20T06:10:00Z,65.00,37.00
2026-03-20T06:15:00Z,65.00,37.00
2026-03-20T06:20:00Z,65.47,37.00
2026-03-20T06:29:00Z,66.00,37.00
2026-03-20T06:30:00Z,66.00,37.00
2026-03-20T06:32:00Z,66.00,35.00
2026-03-20T06:33:00Z,66.00,34.00
2026-03-20T06:36:00Z,66.00,35.00
2026-03-20T06:44:00Z,66.96,35.00
2026-03-20T06:47:00Z,66.96,35.00
2026-03-20T06:49:00Z,66.96,35.00
2026-03-20T06:51:00Z,66.96,34.00
2026-03-20T06:52:00Z,67.00,34.00
2026-03-20T06:53:00Z,68.03,32.00
2026-03-20T07:03:00Z,69.00,32.00
2026-03-20T07:06:00Z,68.00,32.00
2026-03-20T07:09:00Z,69.00,32.00
2026-03-20T07:13:00Z,69.74,32.00
2026-03-20T07:17:00Z,70.45,32.00
2026-03-20T07:31:00Z,71.00,32.00
2026-03-20T07:45:00Z,71.00,32.00
2026-03-20T07:50:00Z,70.00,32.00
2026-03-20T07:53:00Z,70.00,30.00
2026-03-20T08:02:00Z,70.00,30.00
2026-03-20T09:03:00Z,70.00,30.00
2026-03-20T09:18:00Z,71.00,30.00
2026-03-20T09:25:00Z,71.00,30.00
2026-03-20T09:30:00Z,71.00,30.00
2026-03-20T09:35:00Z,71.00,29.00
2026-03-20T09:36:00Z,71.00,29.00
2026-03-20T09:38:00Z,71.00,29.00
2026-03-20T09:43:00Z,72.00,29.00
2026-03-20T09:52:00Z,72.00,29.00
2026-03-20T09:56:00Z,72.00,29.00
