# event_ticker=KXATPCHALLENGERMATCH-26MAR12MENSAI
# final_score=7-6(3) 6-4
# score_resolution=6-7 4-6
# match_winner=Nikolas Sanchez Izquierdo
# fav_player=Facundo Mena
# dog_player=Nikolas Sanchez Izquierdo
# kalshi_date=2026-03-12
timestamp,Facundo Mena,Nikolas Sanchez Izquierdo
2026-03-12T05:20:00Z,,41.00
2026-03-12T05:21:00Z,,39.00
2026-03-12T05:23:00Z,,44.00
2026-03-12T06:12:00Z,65.00,39.00
2026-03-12T06:26:00Z,72.00,39.00
2026-03-12T06:53:00Z,73.00,39.00
2026-03-12T09:54:00Z,73.00,39.00
2026-03-12T09:58:00Z,73.00,44.00
2026-03-12T11:53:00Z,72.00,39.00
2026-03-12T11:58:00Z,72.00,39.00
2026-03-12T12:53:00Z,72.00,39.00
2026-03-12T13:00:00Z,72.00,39.00
2026-03-12T13:32:00Z,72.00,44.00
2026-03-12T13:34:00Z,72.00,44.00
2026-03-12T13:41:00Z,72.00,44.00
2026-03-12T13:43:00Z,72.00,44.00
2026-03-12T13:57:00Z,70.00,39.00
2026-03-12T14:01:00Z,70.00,39.00
2026-03-12T14:09:00Z,70.00,39.00
2026-03-12T14:10:00Z,71.00,39.00
2026-03-12T14:14:00Z,72.96,39.00
2026-03-12T14:42:00Z,61.00,41.00
2026-03-12T14:47:00Z,67.00,41.00
2026-03-12T14:49:00Z,72.00,41.00
2026-03-12T14:55:00Z,72.00,40.00
2026-03-12T14:56:00Z,61.00,40.71
2026-03-12T14:58:00Z,61.00,31.00
2026-03-12T15:04:00Z,61.00,44.00
2026-03-12T15:08:00Z,68.00,44.00
2026-03-12T15:10:00Z,68.00,44.00
2026-03-12T15:14:00Z,66.00,44.00
2026-03-12T15:19:00Z,62.00,44.00
2026-03-12T15:23:00Z,63.00,44.00
2026-03-12T15:24:00Z,63.00,44.00
2026-03-12T15:26:00Z,65.00,44.00
2026-03-12T15:28:00Z,62.74,44.00
2026-03-12T15:39:00Z,62.74,44.00
2026-03-12T15:40:00Z,62.74,44.00
2026-03-12T15:45:00Z,65.00,44.00
2026-03-12T15:50:00Z,65.00,44.00
2026-03-12T15:54:00Z,65.90,44.00
2026-03-12T15:56:00Z,65.97,44.00
