# event_ticker=KXATPCHALLENGERMATCH-26APR20GLIKOZ
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Stefan Kozlov
# fav_player=Daniil Glinka
# dog_player=Stefan Kozlov
# kalshi_date=2026-04-20
timestamp,Daniil Glinka,Stefan Kozlov
2026-04-20T06:35:00Z,58.00,
2026-04-20T07:33:00Z,57.00,
2026-04-20T07:48:00Z,57.00,45.00
2026-04-20T07:49:00Z,57.00,45.00
2026-04-20T07:53:00Z,57.00,45.00
2026-04-20T09:13:00Z,57.00,45.00
2026-04-20T09:38:00Z,57.00,45.00
2026-04-20T10:48:00Z,57.00,44.00
2026-04-20T11:27:00Z,56.00,44.00
2026-04-20T13:29:00Z,56.05,44.00
2026-04-20T13:50:00Z,56.05,46.00
2026-04-20T14:12:00Z,56.05,46.00
2026-04-20T14:54:00Z,56.00,46.00
2026-04-20T15:08:00Z,56.00,44.00
2026-04-20T15:14:00Z,55.00,44.00
2026-04-20T15:27:00Z,55.59,44.00
2026-04-20T15:40:00Z,56.00,44.00
2026-04-20T15:45:00Z,54.00,44.00
2026-04-20T15:55:00Z,56.00,44.00
2026-04-20T16:15:00Z,56.00,46.00
2026-04-20T16:17:00Z,56.00,46.00
2026-04-20T16:21:00Z,55.00,46.00
2026-04-20T16:26:00Z,55.00,46.00
2026-04-20T16:27:00Z,55.00,46.00
2026-04-20T16:37:00Z,55.00,46.00
2026-04-20T16:49:00Z,55.00,46.00
2026-04-20T16:58:00Z,55.86,46.00
2026-04-20T17:01:00Z,56.00,46.00
2026-04-20T17:06:00Z,56.00,46.90
2026-04-20T17:09:00Z,56.00,46.90
2026-04-20T17:11:00Z,56.00,46.90
2026-04-20T17:14:00Z,56.00,46.90
2026-04-20T17:20:00Z,56.00,46.98
2026-04-20T17:42:00Z,56.00,46.98
2026-04-20T17:46:00Z,56.00,46.98
2026-04-20T17:49:00Z,56.00,46.00
2026-04-20T17:52:00Z,56.87,46.00
2026-04-20T17:53:00Z,56.87,46.00
2026-04-20T17:54:00Z,56.87,47.12
2026-04-20T17:55:00Z,56.87,47.93
2026-04-20T17:56:00Z,56.00,47.93
2026-04-20T17:57:00Z,56.00,48.00
2026-04-20T17:58:00Z,55.95,46.40
2026-04-20T17:59:00Z,59.17,45.90
2026-04-20T18:00:00Z,61.96,38.73
2026-04-20T18:01:00Z,63.56,36.74
2026-04-20T18:02:00Z,66.53,36.68
2026-04-20T18:03:00Z,66.83,34.43
2026-04-20T18:04:00Z,69.07,32.79
2026-04-20T18:05:00Z,66.02,34.84
2026-04-20T18:06:00Z,67.39,34.00
2026-04-20T18:07:00Z,67.29,33.81
2026-04-20T18:08:00Z,65.59,39.58
2026-04-20T18:09:00Z,60.76,41.40
2026-04-20T18:10:00Z,54.06,46.77
2026-04-20T18:11:00Z,57.13,43.57
2026-04-20T18:12:00Z,59.91,44.65
2026-04-20T18:13:00Z,61.50,40.61
2026-04-20T18:14:00Z,62.37,38.23
2026-04-20T18:15:00Z,56.94,41.39
2026-04-20T18:16:00Z,59.56,42.00
2026-04-20T18:17:00Z,55.44,43.68
2026-04-20T18:18:00Z,65.09,43.46
2026-04-20T18:19:00Z,54.96,44.21
2026-04-20T18:20:00Z,50.22,49.60
2026-04-20T18:21:00Z,50.65,51.00
2026-04-20T18:22:00Z,51.25,50.50
2026-04-20T18:23:00Z,51.86,49.00
2026-04-20T18:24:00Z,52.80,48.74
2026-04-20T18:25:00Z,53.04,46.06
2026-04-20T18:26:00Z,52.35,49.06
2026-04-20T18:27:00Z,55.27,51.09
2026-04-20T18:28:00Z,51.15,50.57
2026-04-20T18:29:00Z,52.79,50.46
2026-04-20T18:30:00Z,46.23,54.48
2026-04-20T18:31:00Z,37.84,63.13
2026-04-20T18:32:00Z,36.18,65.34
2026-04-20T18:33:00Z,30.13,67.87
2026-04-20T18:34:00Z,31.84,69.13
2026-04-20T18:35:00Z,32.86,67.34
2026-04-20T18:36:00Z,31.51,69.36
2026-04-20T18:37:00Z,30.88,70.52
2026-04-20T18:38:00Z,27.31,72.73
2026-04-20T18:39:00Z,25.72,75.45
2026-04-20T18:40:00Z,24.58,76.00
2026-04-20T18:41:00Z,27.05,72.98
2026-04-20T18:42:00Z,31.47,70.79
2026-04-20T18:43:00Z,31.19,71.63
2026-04-20T18:44:00Z,27.76,71.36
2026-04-20T18:45:00Z,26.73,76.17
2026-04-20T18:46:00Z,27.00,73.23
2026-04-20T18:47:00Z,26.85,74.44
