# event_ticker=KXATPCHALLENGERMATCH-26MAR17KUZGEA
# final_score=4-6 6-2 6-3
# match_winner=Arthur Gea
# fav_player=Arthur Gea
# dog_player=Dimitar Kuzmanov
# kalshi_date=2026-03-17
timestamp,Arthur Gea,Dimitar Kuzmanov
2026-03-17T21:28:00Z,62.93,31.93
2026-03-17T21:30:00Z,68.93,30.00
2026-03-17T21:31:00Z,66.27,30.15
2026-03-17T21:33:00Z,69.00,30.15
2026-03-17T21:35:00Z,64.00,33.76
2026-03-17T21:36:00Z,63.53,32.20
2026-03-17T21:37:00Z,68.00,32.20
2026-03-17T21:38:00Z,68.82,32.20
2026-03-17T21:39:00Z,64.00,34.00
2026-03-17T21:40:00Z,68.83,34.00
2026-03-17T21:41:00Z,68.39,30.00
2026-03-17T21:42:00Z,68.37,30.00
2026-03-17T21:43:00Z,68.99,30.00
2026-03-17T21:45:00Z,68.11,33.55
2026-03-17T21:46:00Z,69.62,33.55
2026-03-17T21:47:00Z,69.54,33.00
2026-03-17T21:48:00Z,67.00,33.00
2026-03-17T21:49:00Z,66.00,33.00
2026-03-17T21:50:00Z,66.00,34.00
2026-03-17T21:51:00Z,66.00,34.00
2026-03-17T21:52:00Z,66.00,34.00
2026-03-17T21:53:00Z,66.00,30.27
2026-03-17T21:54:00Z,65.07,32.00
2026-03-17T21:55:00Z,65.00,29.00
2026-03-17T21:56:00Z,67.38,30.34
2026-03-17T21:57:00Z,65.59,33.00
2026-03-17T21:58:00Z,68.00,33.95
2026-03-17T21:59:00Z,68.00,33.91
2026-03-17T22:00:00Z,64.06,33.91
2026-03-17T22:01:00Z,64.01,34.00
2026-03-17T22:02:00Z,67.00,34.00
2026-03-17T22:03:00Z,68.99,34.00
2026-03-17T22:04:00Z,70.00,29.00
2026-03-17T22:05:00Z,69.00,31.00
2026-03-17T22:06:00Z,69.00,31.00
2026-03-17T22:07:00Z,69.00,30.00
2026-03-17T22:08:00Z,69.00,33.95
2026-03-17T22:10:00Z,68.45,33.95
2026-03-17T22:11:00Z,68.83,33.82
2026-03-17T22:12:00Z,65.25,31.00
2026-03-17T22:13:00Z,63.85,30.50
2026-03-17T22:14:00Z,68.51,30.00
