# event_ticker=KXATPMATCH-25OCT02ARNSAK
# final_score=7-6(3) 6-4
# score_resolution=7-6 6-4
# match_winner=Matteo Arnaldi
# fav_player=Matteo Arnaldi
# dog_player=Rei Sakamoto
# kalshi_date=2025-10-02
timestamp,Matteo Arnaldi,Rei Sakamoto
2025-10-02T00:40:00Z,,38.00
2025-10-02T00:43:00Z,,38.00
2025-10-02T01:16:00Z,62.00,38.00
2025-10-02T01:28:00Z,62.00,38.00
2025-10-02T01:51:00Z,62.00,38.00
2025-10-02T01:54:00Z,62.00,38.00
2025-10-02T01:55:00Z,62.00,38.00
2025-10-02T02:01:00Z,62.00,38.00
2025-10-02T02:07:00Z,62.00,38.00
2025-10-02T02:27:00Z,62.10,38.00
2025-10-02T03:04:00Z,62.10,38.00
2025-10-02T03:05:00Z,63.50,38.00
2025-10-02T03:06:00Z,63.00,38.00
2025-10-02T03:20:00Z,63.00,38.00
2025-10-02T03:27:00Z,63.00,38.00
2025-10-02T03:33:00Z,63.00,38.00
2025-10-02T03:36:00Z,62.00,38.00
2025-10-02T04:04:00Z,62.37,38.00
2025-10-02T04:05:00Z,62.37,38.00
2025-10-02T04:07:00Z,63.00,38.00
2025-10-02T04:20:00Z,63.00,38.00
2025-10-02T04:21:00Z,63.00,38.00
2025-10-02T04:22:00Z,63.00,38.00
2025-10-02T04:32:00Z,63.00,38.00
2025-10-02T04:38:00Z,63.00,38.00
2025-10-02T04:47:00Z,63.00,38.00
2025-10-02T04:59:00Z,63.00,38.00
2025-10-02T05:00:00Z,63.00,38.00
2025-10-02T05:07:00Z,63.00,38.00
2025-10-02T05:22:00Z,62.00,38.00
2025-10-02T05:29:00Z,62.00,38.00
2025-10-02T05:36:00Z,62.00,38.00
2025-10-02T05:38:00Z,62.00,38.00
2025-10-02T05:45:00Z,62.00,38.00
2025-10-02T05:47:00Z,62.00,38.00
2025-10-02T05:51:00Z,62.00,38.00
2025-10-02T06:16:00Z,62.00,38.00
2025-10-02T06:38:00Z,62.00,38.00
2025-10-02T06:39:00Z,62.00,38.00
2025-10-02T06:40:00Z,62.00,38.00
2025-10-02T06:49:00Z,62.00,38.00
