# event_ticker=KXATPMATCH-25AUG19SONDOS
# final_score=6-3 6-7(2) 7-6(3)
# score_resolution=6-3 6-7 7-6
# match_winner=Lorenzo Sonego
# fav_player=Lorenzo Sonego
# dog_player=Stefan Dostanic
# kalshi_date=2025-08-19
timestamp,Lorenzo Sonego,Stefan Dostanic
2025-08-19T14:24:00Z,,29.00
2025-08-19T15:50:00Z,83.00,29.00
2025-08-19T16:22:00Z,83.00,18.00
2025-08-19T17:04:00Z,83.00,18.00
2025-08-19T17:13:00Z,82.23,18.00
2025-08-19T17:50:00Z,82.00,18.00
2025-08-19T18:07:00Z,82.00,18.00
2025-08-19T18:48:00Z,82.00,19.00
2025-08-19T19:08:00Z,82.00,19.00
2025-08-19T19:23:00Z,82.00,19.00
2025-08-19T19:49:00Z,82.00,18.50
2025-08-19T19:57:00Z,82.00,18.50
2025-08-19T20:16:00Z,82.00,18.50
2025-08-19T20:50:00Z,82.00,18.50
2025-08-19T21:03:00Z,82.00,18.50
2025-08-19T21:05:00Z,82.00,18.50
2025-08-19T22:13:00Z,82.00,19.00
2025-08-19T22:16:00Z,82.00,19.00
2025-08-19T22:40:00Z,82.00,19.00
2025-08-19T23:13:00Z,82.00,19.00
2025-08-19T23:16:00Z,82.00,19.00
2025-08-19T23:19:00Z,82.00,19.00
2025-08-19T23:23:00Z,82.00,19.00
2025-08-19T23:37:00Z,82.00,19.00
2025-08-19T23:41:00Z,82.00,19.00
2025-08-19T23:47:00Z,82.00,19.00
2025-08-19T23:56:00Z,82.00,19.00
2025-08-19T23:58:00Z,82.00,19.00
2025-08-19T23:59:00Z,82.00,19.00
2025-08-20T00:06:00Z,82.00,19.00
2025-08-20T00:07:00Z,82.00,19.00
2025-08-20T00:16:00Z,82.23,19.00
2025-08-20T00:24:00Z,83.00,19.00
2025-08-20T00:31:00Z,87.00,19.00
2025-08-20T00:32:00Z,87.00,22.00
2025-08-20T00:46:00Z,87.00,20.00
2025-08-20T00:48:00Z,84.00,20.00
2025-08-20T00:50:00Z,84.00,21.11
2025-08-20T00:54:00Z,84.00,21.00
2025-08-20T00:56:00Z,84.00,21.00
2025-08-20T00:59:00Z,84.00,22.00
