# event_ticker=KXATPCHALLENGERMATCH-26APR08RODPER
# final_score=7-6(5) 6-7(5) 6-3
# score_resolution=6-7 7-6 3-6
# match_winner=Jurij Rodionov
# fav_player=Sergi Perez Contri
# dog_player=Jurij Rodionov
# kalshi_date=2026-04-08
timestamp,Sergi Perez Contri,Jurij Rodionov
2026-04-08T00:37:00Z,,76.00
2026-04-08T01:54:00Z,26.00,76.00
2026-04-08T01:59:00Z,26.00,76.00
2026-04-08T02:15:00Z,26.00,76.00
2026-04-08T02:46:00Z,26.00,76.00
2026-04-08T02:48:00Z,26.00,76.00
2026-04-08T03:38:00Z,26.00,76.00
2026-04-08T03:50:00Z,25.00,76.00
2026-04-08T04:56:00Z,24.00,76.00
2026-04-08T05:00:00Z,24.00,76.00
2026-04-08T05:36:00Z,25.00,76.00
2026-04-08T05:57:00Z,25.00,76.00
2026-04-08T06:00:00Z,25.00,77.00
2026-04-08T07:05:00Z,25.00,77.00
2026-04-08T07:54:00Z,25.00,77.00
2026-04-08T08:30:00Z,23.05,77.00
2026-04-08T08:36:00Z,23.05,78.00
2026-04-08T08:51:00Z,22.00,78.00
2026-04-08T09:34:00Z,22.00,78.00
2026-04-08T09:35:00Z,24.00,78.00
2026-04-08T09:58:00Z,25.00,78.00
2026-04-08T10:06:00Z,25.00,78.00
2026-04-08T10:12:00Z,25.00,78.00
2026-04-08T10:18:00Z,25.00,78.14
2026-04-08T10:28:00Z,24.00,78.14
2026-04-08T10:29:00Z,24.00,75.85
2026-04-08T10:32:00Z,24.00,75.85
2026-04-08T10:36:00Z,22.00,80.00
2026-04-08T10:37:00Z,22.00,80.38
2026-04-08T10:38:00Z,22.00,78.78
2026-04-08T10:39:00Z,23.00,78.78
2026-04-08T10:41:00Z,23.00,77.00
2026-04-08T10:42:00Z,23.00,81.00
2026-04-08T10:43:00Z,19.24,83.99
2026-04-08T10:45:00Z,19.24,79.05
2026-04-08T10:46:00Z,21.65,78.00
2026-04-08T10:47:00Z,23.00,77.00
2026-04-08T10:48:00Z,24.77,75.00
2026-04-08T10:49:00Z,27.00,74.90
2026-04-08T10:50:00Z,27.00,78.00
2026-04-08T10:52:00Z,20.00,79.55
2026-04-08T10:53:00Z,20.00,78.00
2026-04-08T10:54:00Z,23.00,78.00
2026-04-08T10:55:00Z,23.00,77.00
2026-04-08T10:56:00Z,31.63,73.89
2026-04-08T10:57:00Z,27.00,73.89
2026-04-08T10:58:00Z,23.00,76.50
2026-04-08T10:59:00Z,22.00,76.50
2026-04-08T11:01:00Z,24.00,77.19
2026-04-08T11:02:00Z,24.00,76.13
2026-04-08T11:03:00Z,20.50,79.52
2026-04-08T11:04:00Z,21.62,80.00
2026-04-08T11:05:00Z,19.00,80.77
2026-04-08T11:06:00Z,19.00,81.04
2026-04-08T11:07:00Z,22.99,76.00
2026-04-08T11:08:00Z,25.00,75.61
2026-04-08T11:09:00Z,21.00,75.61
2026-04-08T11:10:00Z,21.00,75.61
2026-04-08T11:11:00Z,21.00,80.00
2026-04-08T11:12:00Z,21.12,80.00
2026-04-08T11:13:00Z,21.12,81.00
2026-04-08T11:14:00Z,21.00,81.00
2026-04-08T11:15:00Z,24.00,76.16
2026-04-08T11:16:00Z,17.00,82.45
2026-04-08T11:17:00Z,17.00,85.00
2026-04-08T11:18:00Z,22.97,78.00
2026-04-08T11:19:00Z,22.00,76.11
2026-04-08T11:21:00Z,22.00,78.60
2026-04-08T11:22:00Z,22.00,76.69
2026-04-08T11:23:00Z,22.00,80.00
2026-04-08T11:24:00Z,20.58,80.09
2026-04-08T11:25:00Z,24.00,75.00
2026-04-08T11:26:00Z,27.00,75.00
2026-04-08T11:27:00Z,27.00,75.95
2026-04-08T11:28:00Z,22.05,76.91
2026-04-08T11:29:00Z,26.00,77.54
2026-04-08T11:30:00Z,23.00,77.54
2026-04-08T11:31:00Z,23.72,75.00
2026-04-08T11:32:00Z,27.00,74.00
2026-04-08T11:33:00Z,29.97,71.41
2026-04-08T11:34:00Z,32.00,69.00
2026-04-08T11:35:00Z,37.87,65.00
2026-04-08T11:36:00Z,41.27,59.84
2026-04-08T11:37:00Z,40.00,58.72
2026-04-08T11:38:00Z,44.69,64.00
2026-04-08T11:39:00Z,43.00,59.00
2026-04-08T11:40:00Z,48.45,59.42
2026-04-08T11:41:00Z,49.69,56.00
2026-04-08T11:42:00Z,40.31,60.99
2026-04-08T11:43:00Z,22.82,72.95
2026-04-08T11:44:00Z,17.60,83.00
2026-04-08T11:45:00Z,13.54,85.82
2026-04-08T11:46:00Z,13.54,88.00
2026-04-08T11:47:00Z,13.00,88.00
2026-04-08T11:48:00Z,13.00,88.00
2026-04-08T11:49:00Z,13.00,89.00
2026-04-08T11:50:00Z,13.00,88.10
2026-04-08T11:51:00Z,12.08,88.00
2026-04-08T11:52:00Z,14.23,88.00
2026-04-08T11:53:00Z,14.23,83.00
2026-04-08T11:54:00Z,16.11,84.39
2026-04-08T11:55:00Z,16.00,84.39
2026-04-08T11:56:00Z,15.86,84.00
2026-04-08T11:57:00Z,17.50,84.00
2026-04-08T11:58:00Z,13.55,86.57
2026-04-08T11:59:00Z,10.50,89.43
2026-04-08T12:00:00Z,7.00,93.46
2026-04-08T12:01:00Z,7.00,94.28
2026-04-08T12:02:00Z,7.73,93.66
2026-04-08T12:03:00Z,8.23,92.53
2026-04-08T12:04:00Z,8.58,92.00
2026-04-08T12:05:00Z,13.18,88.80
2026-04-08T12:06:00Z,11.18,88.67
2026-04-08T12:07:00Z,11.93,88.67
2026-04-08T12:08:00Z,10.61,90.70
2026-04-08T12:09:00Z,7.39,93.65
2026-04-08T12:10:00Z,7.00,94.00
2026-04-08T12:11:00Z,7.00,94.00
2026-04-08T12:12:00Z,5.49,94.21
2026-04-08T12:13:00Z,7.00,92.29
2026-04-08T12:14:00Z,10.38,89.00
2026-04-08T12:15:00Z,13.98,85.01
2026-04-08T12:16:00Z,12.14,87.07
2026-04-08T12:17:00Z,10.40,87.91
2026-04-08T12:18:00Z,9.89,87.72
2026-04-08T12:19:00Z,13.20,84.00
2026-04-08T12:20:00Z,17.06,83.04
2026-04-08T12:21:00Z,16.01,84.90
2026-04-08T12:22:00Z,15.62,85.00
2026-04-08T12:23:00Z,18.78,81.61
2026-04-08T12:24:00Z,21.36,80.68
2026-04-08T12:25:00Z,21.00,79.84
2026-04-08T12:26:00Z,18.51,81.74
2026-04-08T12:27:00Z,19.51,80.94
2026-04-08T12:28:00Z,23.44,75.32
2026-04-08T12:29:00Z,23.97,77.40
2026-04-08T12:30:00Z,25.16,75.17
2026-04-08T12:31:00Z,21.27,79.53
2026-04-08T12:32:00Z,17.73,81.71
2026-04-08T12:33:00Z,19.24,79.66
2026-04-08T12:34:00Z,21.09,82.70
2026-04-08T12:36:00Z,20.88,78.00
2026-04-08T12:37:00Z,20.88,81.05
2026-04-08T12:38:00Z,15.71,85.94
2026-04-08T12:39:00Z,14.02,86.59
2026-04-08T12:40:00Z,15.98,83.00
2026-04-08T12:41:00Z,19.40,83.48
2026-04-08T12:42:00Z,20.50,83.73
