# event_ticker=KXATPCHALLENGERMATCH-26MAY25DANPRI
# final_score=7-5 6-2
# score_resolution=5-7 2-6
# match_winner=Taro Daniel
# fav_player=Oleg Prihodko
# dog_player=Taro Daniel
# kalshi_date=2026-05-25
timestamp,Taro Daniel,Oleg Prihodko
2026-05-25T02:50:00Z,,37.38
2026-05-25T03:28:00Z,63.00,37.38
2026-05-25T06:06:00Z,63.00,40.00
2026-05-25T08:16:00Z,62.00,40.00
2026-05-25T11:13:00Z,61.00,40.00
2026-05-25T11:47:00Z,61.15,40.00
2026-05-25T12:05:00Z,61.00,40.00
2026-05-25T12:15:00Z,62.00,42.00
2026-05-25T12:22:00Z,58.24,43.01
2026-05-25T12:23:00Z,56.98,43.99
2026-05-25T12:24:00Z,53.00,43.99
2026-05-25T12:25:00Z,50.00,43.99
2026-05-25T12:26:00Z,52.51,51.00
2026-05-25T12:27:00Z,47.69,53.91
2026-05-25T12:28:00Z,50.83,50.00
2026-05-25T12:29:00Z,56.88,46.01
2026-05-25T12:30:00Z,57.00,42.00
2026-05-25T12:31:00Z,54.34,42.00
2026-05-25T12:32:00Z,55.01,42.00
2026-05-25T12:33:00Z,55.04,42.00
2026-05-25T12:34:00Z,58.16,42.00
2026-05-25T12:35:00Z,55.98,45.00
2026-05-25T12:36:00Z,54.00,47.91
2026-05-25T12:37:00Z,50.17,49.95
2026-05-25T12:38:00Z,55.56,47.00
2026-05-25T12:39:00Z,54.99,48.07
2026-05-25T12:40:00Z,52.00,53.31
2026-05-25T12:41:00Z,52.00,58.57
2026-05-25T12:42:00Z,49.90,55.00
2026-05-25T12:43:00Z,55.35,55.00
2026-05-25T12:44:00Z,55.35,45.00
2026-05-25T12:45:00Z,52.56,49.67
2026-05-25T12:46:00Z,51.24,50.00
2026-05-25T12:47:00Z,51.18,51.70
2026-05-25T12:48:00Z,42.40,58.63
2026-05-25T12:49:00Z,42.20,58.98
2026-05-25T12:50:00Z,48.00,58.98
2026-05-25T12:51:00Z,49.72,51.00
2026-05-25T12:52:00Z,52.26,47.28
2026-05-25T12:53:00Z,57.69,42.69
2026-05-25T12:54:00Z,61.51,37.00
2026-05-25T12:55:00Z,61.09,37.99
2026-05-25T12:56:00Z,66.71,33.00
2026-05-25T12:57:00Z,70.00,30.00
2026-05-25T12:58:00Z,70.00,28.00
2026-05-25T12:59:00Z,72.50,27.00
2026-05-25T13:00:00Z,74.32,23.66
2026-05-25T13:01:00Z,79.01,23.77
2026-05-25T13:02:00Z,79.01,24.68
2026-05-25T13:03:00Z,74.00,24.68
2026-05-25T13:04:00Z,71.19,28.45
2026-05-25T13:05:00Z,71.19,34.19
2026-05-25T13:06:00Z,57.00,40.08
2026-05-25T13:07:00Z,51.00,48.28
2026-05-25T13:08:00Z,56.90,43.25
2026-05-25T13:09:00Z,59.26,40.83
2026-05-25T13:10:00Z,62.90,37.95
2026-05-25T13:11:00Z,68.29,35.76
2026-05-25T13:12:00Z,68.29,30.00
2026-05-25T13:13:00Z,75.00,30.00
2026-05-25T13:14:00Z,75.00,23.00
2026-05-25T13:15:00Z,78.00,22.86
2026-05-25T13:16:00Z,78.00,23.00
2026-05-25T13:17:00Z,78.00,23.00
2026-05-25T13:18:00Z,78.00,23.00
2026-05-25T13:19:00Z,78.00,23.00
2026-05-25T13:20:00Z,78.00,23.00
2026-05-25T13:21:00Z,77.67,22.67
2026-05-25T13:22:00Z,78.11,22.96
2026-05-25T13:23:00Z,79.60,21.00
2026-05-25T13:24:00Z,79.50,20.97
2026-05-25T13:25:00Z,81.85,18.32
2026-05-25T13:26:00Z,85.43,10.92
2026-05-25T13:27:00Z,90.94,9.00
2026-05-25T13:28:00Z,91.25,10.00
2026-05-25T13:29:00Z,93.00,7.48
2026-05-25T13:30:00Z,94.60,5.00
2026-05-25T13:31:00Z,95.00,7.00
2026-05-25T13:32:00Z,96.59,4.00
2026-05-25T13:33:00Z,97.00,3.00
2026-05-25T13:34:00Z,95.96,3.85
2026-05-25T13:35:00Z,94.99,5.00
2026-05-25T13:36:00Z,96.00,2.06
2026-05-25T13:37:00Z,96.31,3.65
2026-05-25T13:38:00Z,98.93,2.00
2026-05-25T13:39:00Z,98.90,2.69
2026-05-25T13:40:00Z,99.00,1.00
2026-05-25T13:41:00Z,99.00,1.64
2026-05-25T13:42:00Z,99.00,3.00
2026-05-25T13:43:00Z,99.00,1.00
2026-05-25T13:44:00Z,98.15,1.00
2026-05-25T13:45:00Z,99.00,1.00
2026-05-25T13:46:00Z,99.00,1.00
2026-05-25T13:47:00Z,99.00,1.00
2026-05-25T13:53:00Z,99.00,1.00
2026-05-25T13:56:00Z,99.00,1.00
2026-05-25T13:59:00Z,99.00,1.00
