# event_ticker=KXATPMATCH-25OCT01SONHAN
# final_score=2-6 6-3 6-1
# score_resolution=6-2 3-6 1-6
# match_winner=Yannick Hanfmann
# fav_player=Lorenzo Sonego
# dog_player=Yannick Hanfmann
# kalshi_date=2025-10-01
timestamp,Lorenzo Sonego,Yannick Hanfmann
2025-09-30T23:47:00Z,58.00,
2025-10-01T00:13:00Z,57.00,
2025-10-01T00:33:00Z,58.26,
2025-10-01T00:35:00Z,59.00,
2025-10-01T01:10:00Z,59.00,
2025-10-01T01:17:00Z,59.00,
2025-10-01T01:18:00Z,59.00,
2025-10-01T01:37:00Z,59.00,
2025-10-01T01:39:00Z,59.00,43.00
2025-10-01T01:59:00Z,59.00,43.00
2025-10-01T02:14:00Z,59.00,43.00
2025-10-01T02:21:00Z,59.00,43.00
2025-10-01T02:27:00Z,59.00,43.00
2025-10-01T03:01:00Z,59.00,43.00
2025-10-01T03:16:00Z,59.00,43.00
2025-10-01T03:31:00Z,59.00,43.00
2025-10-01T03:58:00Z,59.00,43.00
2025-10-01T03:59:00Z,59.00,43.00
2025-10-01T04:00:00Z,59.00,43.00
2025-10-01T04:07:00Z,59.00,43.00
2025-10-01T04:10:00Z,59.00,43.00
2025-10-01T04:16:00Z,59.00,43.00
2025-10-01T04:18:00Z,59.00,43.00
2025-10-01T04:22:00Z,59.00,43.00
2025-10-01T04:28:00Z,59.00,43.00
2025-10-01T04:32:00Z,59.00,43.00
2025-10-01T05:06:00Z,59.00,43.00
2025-10-01T05:08:00Z,60.00,40.00
2025-10-01T05:09:00Z,60.00,40.00
2025-10-01T05:14:00Z,61.00,40.00
2025-10-01T05:33:00Z,61.00,40.00
2025-10-01T05:37:00Z,61.00,40.00
2025-10-01T06:01:00Z,61.00,40.00
2025-10-01T06:16:00Z,61.00,40.00
2025-10-01T06:26:00Z,61.00,40.00
2025-10-01T06:31:00Z,61.00,40.00
2025-10-01T06:32:00Z,61.00,40.00
2025-10-01T06:37:00Z,61.00,40.00
2025-10-01T06:45:00Z,61.00,40.00
2025-10-01T06:49:00Z,61.00,40.00
