# event_ticker=KXATPMATCH-26MAY08COBATM
# final_score=7-6(1) 6-3
# score_resolution=6-7 3-6
# match_winner=Flavio Cobolli
# fav_player=Terence Atmane
# dog_player=Flavio Cobolli
# kalshi_date=2026-05-08
timestamp,Flavio Cobolli,Terence Atmane
2026-05-09T03:07:00Z,74.00,
2026-05-09T03:13:00Z,74.00,28.00
2026-05-09T03:17:00Z,74.00,28.00
2026-05-09T03:22:00Z,74.00,28.00
2026-05-09T03:24:00Z,74.00,28.00
2026-05-09T03:27:00Z,74.00,28.00
2026-05-09T03:31:00Z,74.00,28.00
2026-05-09T03:32:00Z,74.00,28.00
2026-05-09T03:39:00Z,74.00,28.00
2026-05-09T03:50:00Z,74.00,28.00
2026-05-09T03:51:00Z,74.00,28.00
2026-05-09T04:12:00Z,73.00,28.00
2026-05-09T04:17:00Z,73.00,28.00
2026-05-09T04:18:00Z,73.00,28.00
2026-05-09T04:20:00Z,73.00,28.00
2026-05-09T04:24:00Z,73.00,28.00
2026-05-09T04:27:00Z,73.00,28.00
2026-05-09T04:28:00Z,73.00,28.00
2026-05-09T04:32:00Z,73.00,28.00
2026-05-09T04:36:00Z,73.00,28.00
2026-05-09T04:37:00Z,73.00,28.00
2026-05-09T04:39:00Z,73.00,28.00
2026-05-09T04:42:00Z,74.00,28.00
2026-05-09T04:44:00Z,74.00,28.00
2026-05-09T04:45:00Z,74.00,28.00
2026-05-09T04:48:00Z,74.00,28.00
2026-05-09T04:52:00Z,74.00,28.00
2026-05-09T04:53:00Z,74.00,26.87
2026-05-09T04:57:00Z,74.00,28.00
2026-05-09T04:59:00Z,74.00,26.00
2026-05-09T05:00:00Z,74.00,26.00
2026-05-09T05:01:00Z,74.00,28.00
2026-05-09T05:02:00Z,74.00,28.00
2026-05-09T05:05:00Z,74.00,28.00
2026-05-09T05:06:00Z,74.00,26.00
2026-05-09T05:16:00Z,74.00,27.00
2026-05-09T05:17:00Z,74.00,28.00
2026-05-09T05:18:00Z,74.00,28.00
2026-05-09T05:22:00Z,74.00,28.00
2026-05-09T05:40:00Z,74.00,28.00
2026-05-09T05:41:00Z,74.00,28.00
2026-05-09T05:42:00Z,74.00,28.00
2026-05-09T05:44:00Z,74.00,28.00
2026-05-09T05:53:00Z,74.00,28.00
2026-05-09T05:55:00Z,74.00,28.00
2026-05-09T05:56:00Z,74.00,27.00
2026-05-09T05:58:00Z,74.00,27.00
2026-05-09T06:03:00Z,74.00,27.00
2026-05-09T06:14:00Z,74.00,27.00
2026-05-09T06:16:00Z,74.00,27.00
2026-05-09T06:17:00Z,74.00,27.00
2026-05-09T06:22:00Z,74.00,27.00
2026-05-09T06:27:00Z,74.00,27.00
2026-05-09T06:30:00Z,74.00,27.00
2026-05-09T06:31:00Z,74.00,27.00
2026-05-09T06:33:00Z,74.00,27.00
2026-05-09T06:36:00Z,74.00,27.00
2026-05-09T06:43:00Z,74.00,27.00
2026-05-09T06:44:00Z,74.00,27.00
