# event_ticker=KXATPMATCH-26MAY08HANDAR
# final_score=6-4 6-4
# match_winner=Luciano Darderi
# fav_player=Luciano Darderi
# dog_player=Yannick Hanfmann
# kalshi_date=2026-05-08
timestamp,Yannick Hanfmann,Luciano Darderi
2026-05-08T08:50:00Z,,61.00
2026-05-08T08:58:00Z,,61.00
2026-05-08T09:02:00Z,40.00,61.00
2026-05-08T09:06:00Z,40.00,61.00
2026-05-08T09:10:00Z,40.00,61.00
2026-05-08T09:13:00Z,40.00,61.00
2026-05-08T09:19:00Z,40.00,61.00
2026-05-08T09:30:00Z,40.00,61.00
2026-05-08T09:34:00Z,40.00,61.00
2026-05-08T09:53:00Z,40.00,61.00
2026-05-08T10:11:00Z,40.00,61.00
2026-05-08T10:16:00Z,40.00,61.00
2026-05-08T10:22:00Z,40.00,61.00
2026-05-08T10:30:00Z,40.00,61.00
2026-05-08T10:32:00Z,40.00,61.00
2026-05-08T10:37:00Z,40.00,61.00
2026-05-08T10:39:00Z,40.00,61.00
2026-05-08T10:40:00Z,40.00,61.00
2026-05-08T10:42:00Z,40.00,61.00
2026-05-08T10:52:00Z,40.00,61.00
2026-05-08T10:56:00Z,40.00,61.00
2026-05-08T11:02:00Z,40.00,61.00
2026-05-08T11:08:00Z,40.00,61.00
2026-05-08T11:17:00Z,40.00,61.00
2026-05-08T11:20:00Z,40.00,61.00
2026-05-08T11:22:00Z,40.00,61.00
2026-05-08T11:23:00Z,40.00,61.00
2026-05-08T11:26:00Z,40.00,61.00
2026-05-08T11:28:00Z,40.00,61.00
2026-05-08T11:29:00Z,40.00,61.00
2026-05-08T11:34:00Z,40.00,61.00
2026-05-08T11:37:00Z,40.00,61.00
2026-05-08T11:47:00Z,40.00,61.00
2026-05-08T12:01:00Z,40.00,61.00
2026-05-08T12:05:00Z,40.00,61.00
2026-05-08T12:07:00Z,40.00,61.00
2026-05-08T12:08:00Z,40.00,61.00
2026-05-08T12:09:00Z,40.00,61.00
2026-05-08T12:10:00Z,40.00,61.00
