# event_ticker=KXATPCHALLENGERMATCH-26MAY12ZAPVAL
# final_score=6-1 6-1
# match_winner=Adolfo Daniel Vallejo
# fav_player=Adolfo Daniel Vallejo
# dog_player=Bernabe Zapata Miralles
# kalshi_date=2026-05-12
timestamp,Bernabe Zapata Miralles,Adolfo Daniel Vallejo
2026-05-12T06:09:00Z,8.00,
2026-05-12T06:53:00Z,7.17,92.00
2026-05-12T06:54:00Z,7.17,92.00
2026-05-12T06:56:00Z,8.00,92.00
2026-05-12T06:59:00Z,8.00,92.00
2026-05-12T07:41:00Z,8.00,92.00
2026-05-12T08:08:00Z,8.00,93.00
2026-05-12T08:26:00Z,8.00,93.00
2026-05-12T08:30:00Z,7.00,93.00
2026-05-12T09:18:00Z,7.00,93.00
2026-05-12T09:19:00Z,7.00,93.00
2026-05-12T09:39:00Z,7.00,93.00
2026-05-12T09:52:00Z,7.00,93.00
2026-05-12T10:28:00Z,7.00,93.00
2026-05-12T10:49:00Z,7.00,94.00
2026-05-12T10:57:00Z,7.00,94.00
2026-05-12T11:56:00Z,7.00,94.00
2026-05-12T12:11:00Z,7.00,94.00
2026-05-12T12:21:00Z,7.00,94.00
2026-05-12T12:25:00Z,7.00,94.00
2026-05-12T12:26:00Z,7.00,94.00
2026-05-12T12:30:00Z,7.00,95.00
2026-05-12T12:45:00Z,7.00,94.00
2026-05-12T13:24:00Z,7.00,94.00
2026-05-12T13:57:00Z,7.00,94.00
2026-05-12T14:09:00Z,7.00,94.00
2026-05-12T14:12:00Z,7.00,94.00
2026-05-12T14:44:00Z,7.00,94.00
2026-05-12T14:55:00Z,7.00,94.00
2026-05-12T14:56:00Z,7.22,94.00
2026-05-12T14:57:00Z,7.08,94.00
2026-05-12T15:04:00Z,7.00,94.00
2026-05-12T15:05:00Z,7.00,94.00
2026-05-12T15:09:00Z,7.00,94.00
2026-05-12T15:10:00Z,7.74,94.00
2026-05-12T15:17:00Z,7.00,94.00
2026-05-12T15:21:00Z,7.00,93.00
2026-05-12T15:24:00Z,7.00,93.00
2026-05-12T15:25:00Z,7.00,93.00
2026-05-12T15:26:00Z,7.00,93.00
2026-05-12T15:27:00Z,7.00,93.00
2026-05-12T15:30:00Z,7.00,93.00
2026-05-12T15:35:00Z,7.00,93.00
2026-05-12T15:36:00Z,7.00,93.00
2026-05-12T15:44:00Z,7.00,93.00
2026-05-12T15:46:00Z,7.10,93.00
2026-05-12T15:48:00Z,7.00,93.00
2026-05-12T15:51:00Z,7.00,93.00
2026-05-12T15:53:00Z,7.00,93.00
2026-05-12T15:57:00Z,7.00,93.00
2026-05-12T15:58:00Z,7.00,93.00
2026-05-12T16:01:00Z,6.46,93.00
2026-05-12T16:03:00Z,7.00,93.00
2026-05-12T16:05:00Z,7.00,93.00
2026-05-12T16:06:00Z,7.12,93.00
2026-05-12T16:08:00Z,7.00,93.00
2026-05-12T16:10:00Z,7.00,93.00
2026-05-12T16:11:00Z,7.00,93.00
2026-05-12T16:12:00Z,6.29,93.00
2026-05-12T16:13:00Z,6.99,93.00
2026-05-12T16:14:00Z,8.21,95.00
2026-05-12T16:15:00Z,6.23,93.48
2026-05-12T16:16:00Z,7.09,93.48
2026-05-12T16:17:00Z,7.31,93.48
2026-05-12T16:18:00Z,9.00,93.00
2026-05-12T16:19:00Z,9.00,93.00
2026-05-12T16:20:00Z,9.87,89.79
2026-05-12T16:21:00Z,11.55,89.53
2026-05-12T16:22:00Z,8.89,93.00
2026-05-12T16:23:00Z,8.18,93.00
2026-05-12T16:24:00Z,7.09,93.01
2026-05-12T16:25:00Z,6.60,94.15
2026-05-12T16:26:00Z,5.93,94.06
2026-05-12T16:27:00Z,4.71,95.91
2026-05-12T16:28:00Z,4.44,96.23
2026-05-12T16:29:00Z,5.94,95.01
2026-05-12T16:30:00Z,5.15,95.78
2026-05-12T16:31:00Z,4.96,96.05
2026-05-12T16:32:00Z,5.00,96.00
2026-05-12T16:33:00Z,5.01,96.00
2026-05-12T16:34:00Z,5.00,96.00
2026-05-12T16:35:00Z,3.69,97.00
2026-05-12T16:36:00Z,4.67,97.00
2026-05-12T16:37:00Z,5.00,96.17
2026-05-12T16:38:00Z,4.00,97.00
