# event_ticker=KXATPCHALLENGERMATCH-26MAR06MONBOS
# final_score=6-1 6-2
# score_resolution=1-6 2-6
# match_winner=Thiago Monteiro
# fav_player=Pedro Boscardin Dias
# dog_player=Thiago Monteiro
# kalshi_date=2026-03-06
timestamp,Pedro Boscardin Dias,Thiago Monteiro
2026-03-06T05:03:00Z,33.00,
2026-03-06T05:22:00Z,33.00,70.00
2026-03-06T05:39:00Z,33.00,70.00
2026-03-06T05:42:00Z,33.00,70.00
2026-03-06T05:53:00Z,30.00,70.00
2026-03-06T05:57:00Z,30.00,70.00
2026-03-06T06:41:00Z,30.00,70.00
2026-03-06T06:47:00Z,30.00,70.00
2026-03-06T06:54:00Z,30.00,69.00
2026-03-06T06:56:00Z,30.00,69.00
2026-03-06T07:01:00Z,33.00,69.00
2026-03-06T07:04:00Z,33.00,69.00
2026-03-06T07:06:00Z,33.00,67.00
2026-03-06T07:08:00Z,33.00,69.00
2026-03-06T07:18:00Z,33.00,70.00
2026-03-06T07:19:00Z,33.00,70.00
2026-03-06T07:34:00Z,33.00,70.00
2026-03-06T08:06:00Z,33.00,70.00
2026-03-06T08:24:00Z,33.00,70.00
2026-03-06T09:25:00Z,33.00,69.14
2026-03-06T10:14:00Z,32.00,69.14
2026-03-06T10:45:00Z,30.00,70.00
2026-03-06T12:09:00Z,30.00,70.00
2026-03-06T12:57:00Z,30.00,70.00
2026-03-06T13:07:00Z,32.00,70.00
2026-03-06T13:13:00Z,32.00,70.00
2026-03-06T13:14:00Z,32.00,70.00
2026-03-06T13:29:00Z,32.00,70.00
2026-03-06T13:32:00Z,32.00,70.07
2026-03-06T13:35:00Z,32.00,70.07
2026-03-06T13:39:00Z,32.00,71.00
2026-03-06T13:42:00Z,32.00,71.00
2026-03-06T13:44:00Z,32.00,71.00
2026-03-06T13:45:00Z,32.00,71.00
2026-03-06T13:48:00Z,32.00,71.00
2026-03-06T13:49:00Z,32.00,71.00
2026-03-06T13:52:00Z,32.00,71.00
2026-03-06T13:53:00Z,32.00,71.00
2026-03-06T13:54:00Z,32.00,71.00
2026-03-06T13:55:00Z,31.57,71.00
2026-03-06T13:56:00Z,32.00,71.00
2026-03-06T13:57:00Z,32.00,71.00
2026-03-06T13:58:00Z,32.00,71.00
2026-03-06T13:59:00Z,32.00,71.00
2026-03-06T14:00:00Z,32.00,71.00
2026-03-06T14:02:00Z,31.00,71.00
2026-03-06T14:03:00Z,31.00,71.00
2026-03-06T14:04:00Z,31.70,71.00
2026-03-06T14:05:00Z,31.70,71.00
2026-03-06T14:07:00Z,31.00,71.00
2026-03-06T14:08:00Z,31.00,71.00
2026-03-06T14:09:00Z,32.00,71.00
2026-03-06T14:10:00Z,32.00,71.00
2026-03-06T14:11:00Z,32.00,71.00
2026-03-06T14:12:00Z,32.00,71.00
2026-03-06T14:13:00Z,32.00,71.00
2026-03-06T14:14:00Z,32.00,71.00
2026-03-06T14:16:00Z,32.00,71.00
2026-03-06T14:17:00Z,31.00,71.00
2026-03-06T14:18:00Z,31.00,71.00
2026-03-06T14:19:00Z,31.00,71.00
2026-03-06T14:20:00Z,31.00,70.00
2026-03-06T14:21:00Z,31.00,71.00
2026-03-06T14:22:00Z,31.00,69.49
2026-03-06T14:23:00Z,31.00,71.00
2026-03-06T14:24:00Z,31.00,71.00
2026-03-06T14:25:00Z,31.00,71.00
2026-03-06T14:26:00Z,31.00,71.00
2026-03-06T14:29:00Z,32.00,71.00
2026-03-06T14:30:00Z,32.00,68.04
2026-03-06T14:31:00Z,32.00,71.00
2026-03-06T14:34:00Z,32.00,71.00
2026-03-06T14:35:00Z,32.00,71.00
2026-03-06T14:36:00Z,32.00,71.00
2026-03-06T14:37:00Z,32.00,68.00
2026-03-06T14:38:00Z,32.00,71.00
2026-03-06T14:39:00Z,32.00,71.00
2026-03-06T14:40:00Z,32.00,71.00
2026-03-06T14:41:00Z,32.00,71.00
2026-03-06T14:42:00Z,32.00,70.99
2026-03-06T14:43:00Z,32.00,70.00
2026-03-06T14:44:00Z,38.04,68.16
2026-03-06T14:45:00Z,38.04,68.67
2026-03-06T14:46:00Z,33.00,69.00
2026-03-06T14:47:00Z,33.00,69.00
2026-03-06T14:48:00Z,33.00,68.00
2026-03-06T14:49:00Z,34.00,67.18
2026-03-06T14:50:00Z,34.00,67.81
2026-03-06T14:51:00Z,33.48,68.00
2026-03-06T14:52:00Z,32.44,68.93
2026-03-06T14:53:00Z,32.84,69.00
2026-03-06T14:54:00Z,33.01,69.73
2026-03-06T14:55:00Z,31.49,69.98
2026-03-06T14:56:00Z,31.87,70.00
2026-03-06T14:57:00Z,30.00,69.90
2026-03-06T14:58:00Z,33.76,70.00
2026-03-06T14:59:00Z,33.65,69.66
2026-03-06T15:00:00Z,32.80,69.66
2026-03-06T15:01:00Z,33.00,69.91
2026-03-06T15:02:00Z,33.00,69.60
2026-03-06T15:03:00Z,33.00,69.00
2026-03-06T15:04:00Z,33.00,69.00
2026-03-06T15:05:00Z,33.00,69.00
2026-03-06T15:06:00Z,33.00,69.84
2026-03-06T15:07:00Z,33.06,69.64
2026-03-06T15:08:00Z,33.00,69.36
2026-03-06T15:09:00Z,33.00,69.01
