# event_ticker=KXATPCHALLENGERMATCH-26FEB11LLABER
# final_score=6-2 6-2
# match_winner=Pablo Llamas Ruiz
# fav_player=Pablo Llamas Ruiz
# dog_player=Jacopo Berrettini
# kalshi_date=2026-02-11
timestamp,Pablo Llamas Ruiz,Jacopo Berrettini
2026-02-11T00:14:00Z,76.00,
2026-02-11T01:29:00Z,76.00,
2026-02-11T05:22:00Z,76.00,26.00
2026-02-11T06:11:00Z,76.00,26.00
2026-02-11T06:28:00Z,76.00,24.00
2026-02-11T06:51:00Z,76.00,26.00
2026-02-11T06:54:00Z,76.00,26.00
2026-02-11T06:56:00Z,76.00,27.00
2026-02-11T06:57:00Z,76.00,27.00
2026-02-11T07:09:00Z,76.00,27.00
2026-02-11T07:17:00Z,76.00,27.00
2026-02-11T07:18:00Z,76.00,24.00
2026-02-11T07:19:00Z,76.00,24.00
2026-02-11T07:23:00Z,76.00,27.00
2026-02-11T08:15:00Z,76.00,24.00
2026-02-11T08:23:00Z,76.00,24.00
2026-02-11T08:29:00Z,76.00,27.00
2026-02-11T08:45:00Z,76.00,26.00
2026-02-11T09:03:00Z,76.00,26.00
2026-02-11T09:18:00Z,77.00,26.00
2026-02-11T09:36:00Z,77.00,26.00
2026-02-11T09:52:00Z,77.00,25.00
2026-02-11T09:54:00Z,77.00,26.00
2026-02-11T10:17:00Z,77.00,26.00
2026-02-11T10:32:00Z,77.00,26.71
2026-02-11T10:50:00Z,77.00,26.00
2026-02-11T10:56:00Z,76.00,26.00
2026-02-11T11:16:00Z,76.00,26.00
2026-02-11T11:21:00Z,76.00,26.00
2026-02-11T11:28:00Z,76.00,26.00
2026-02-11T11:37:00Z,76.00,26.00
2026-02-11T11:43:00Z,75.00,27.00
2026-02-11T11:48:00Z,75.00,27.00
2026-02-11T11:49:00Z,75.00,27.00
2026-02-11T11:50:00Z,75.05,27.00
2026-02-11T11:51:00Z,79.00,27.00
2026-02-11T11:52:00Z,79.00,24.17
2026-02-11T11:53:00Z,79.00,25.72
2026-02-11T11:55:00Z,75.83,28.00
2026-02-11T11:56:00Z,78.98,25.68
2026-02-11T11:57:00Z,80.10,20.70
2026-02-11T11:58:00Z,82.00,16.49
2026-02-11T11:59:00Z,84.75,18.00
2026-02-11T12:00:00Z,83.00,17.63
2026-02-11T12:01:00Z,83.01,18.40
2026-02-11T12:02:00Z,86.00,16.01
2026-02-11T12:03:00Z,85.87,16.01
2026-02-11T12:04:00Z,82.00,15.27
2026-02-11T12:05:00Z,82.00,19.00
2026-02-11T12:06:00Z,80.71,19.75
2026-02-11T12:07:00Z,85.00,17.00
2026-02-11T12:08:00Z,86.00,16.01
2026-02-11T12:09:00Z,86.00,16.00
2026-02-11T12:10:00Z,87.00,14.31
2026-02-11T12:11:00Z,86.27,14.14
2026-02-11T12:12:00Z,90.02,9.59
2026-02-11T12:13:00Z,92.00,9.00
2026-02-11T12:14:00Z,92.29,8.84
2026-02-11T12:15:00Z,91.99,10.00
2026-02-11T12:16:00Z,92.96,9.00
2026-02-11T12:17:00Z,93.00,9.00
2026-02-11T12:18:00Z,92.97,9.00
2026-02-11T12:19:00Z,91.00,9.52
2026-02-11T12:20:00Z,91.00,9.52
2026-02-11T12:21:00Z,91.33,10.00
2026-02-11T12:22:00Z,91.10,9.28
2026-02-11T12:23:00Z,92.00,8.42
2026-02-11T12:24:00Z,92.00,9.00
2026-02-11T12:25:00Z,91.53,8.81
2026-02-11T12:26:00Z,92.00,8.05
2026-02-11T12:27:00Z,94.63,5.37
2026-02-11T12:28:00Z,95.00,6.80
2026-02-11T12:29:00Z,95.08,4.00
2026-02-11T12:30:00Z,96.00,4.72
2026-02-11T12:31:00Z,95.00,7.00
2026-02-11T12:32:00Z,93.83,8.00
2026-02-11T12:33:00Z,95.73,4.00
2026-02-11T12:34:00Z,96.06,3.11
2026-02-11T12:35:00Z,96.93,3.39
2026-02-11T12:36:00Z,96.57,3.00
2026-02-11T12:37:00Z,98.00,2.91
2026-02-11T12:38:00Z,97.57,3.60
2026-02-11T12:39:00Z,99.00,3.00
2026-02-11T12:40:00Z,98.95,1.28
2026-02-11T12:41:00Z,98.95,1.97
2026-02-11T12:42:00Z,98.95,1.73
2026-02-11T12:43:00Z,99.00,1.00
2026-02-11T12:44:00Z,99.00,2.00
2026-02-11T12:45:00Z,99.00,1.30
2026-02-11T12:46:00Z,99.00,2.00
2026-02-11T12:47:00Z,99.00,2.00
2026-02-11T12:49:00Z,99.00,2.00
2026-02-11T12:50:00Z,95.00,2.00
2026-02-11T12:51:00Z,99.00,2.00
2026-02-11T12:52:00Z,99.00,2.00
2026-02-11T12:54:00Z,99.00,1.00
2026-02-11T12:55:00Z,99.00,3.59
2026-02-11T12:58:00Z,99.00,2.00
2026-02-11T13:00:00Z,99.00,2.11
2026-02-11T13:01:00Z,99.00,2.47
2026-02-11T13:04:00Z,99.00,2.47
