# event_ticker=KXATPCHALLENGERMATCH-26MAR31ZEIROD
# final_score=7-6(4) 6-3
# score_resolution=7-6 6-3
# match_winner=Lorenzo Joaquin Rodriguez
# fav_player=Lorenzo Joaquin Rodriguez
# dog_player=Maximo Zeitune
# kalshi_date=2026-03-31
timestamp,Lorenzo Joaquin Rodriguez,Maximo Zeitune
2026-03-31T03:38:00Z,67.00,42.00
2026-03-31T05:45:00Z,67.32,42.00
2026-03-31T06:09:00Z,68.00,42.00
2026-03-31T06:39:00Z,72.00,42.00
2026-03-31T07:01:00Z,72.00,29.00
2026-03-31T07:03:00Z,69.00,33.00
2026-03-31T07:05:00Z,69.00,33.00
2026-03-31T07:48:00Z,69.00,30.00
2026-03-31T10:55:00Z,69.00,34.00
2026-03-31T11:06:00Z,70.00,34.00
2026-03-31T11:25:00Z,70.00,31.00
2026-03-31T11:28:00Z,70.00,31.00
2026-03-31T11:52:00Z,70.00,31.00
2026-03-31T12:33:00Z,69.00,31.00
2026-03-31T12:44:00Z,69.00,31.00
2026-03-31T12:53:00Z,69.00,31.00
2026-03-31T13:22:00Z,68.00,31.00
2026-03-31T13:24:00Z,67.00,31.00
2026-03-31T13:25:00Z,68.00,31.00
2026-03-31T13:27:00Z,68.00,31.00
2026-03-31T13:36:00Z,68.00,31.00
2026-03-31T13:39:00Z,68.00,34.00
2026-03-31T13:41:00Z,68.00,34.00
2026-03-31T13:42:00Z,68.00,34.00
2026-03-31T13:43:00Z,68.00,34.00
2026-03-31T13:44:00Z,68.00,34.00
2026-03-31T13:45:00Z,68.31,31.75
2026-03-31T13:46:00Z,68.31,32.08
2026-03-31T13:47:00Z,66.96,34.00
2026-03-31T13:48:00Z,68.00,32.58
2026-03-31T13:49:00Z,64.84,36.79
2026-03-31T13:50:00Z,64.87,36.87
2026-03-31T13:51:00Z,68.00,31.00
2026-03-31T13:52:00Z,68.00,33.35
2026-03-31T13:53:00Z,71.79,30.12
2026-03-31T13:54:00Z,65.00,35.66
2026-03-31T13:55:00Z,68.97,34.38
2026-03-31T13:56:00Z,68.97,35.72
2026-03-31T13:57:00Z,65.99,34.00
2026-03-31T13:58:00Z,67.00,32.50
2026-03-31T13:59:00Z,66.00,34.33
2026-03-31T14:00:00Z,68.97,32.00
2026-03-31T14:01:00Z,67.00,31.41
2026-03-31T14:02:00Z,66.03,35.65
2026-03-31T14:03:00Z,66.03,35.87
2026-03-31T14:04:00Z,64.97,36.00
2026-03-31T14:05:00Z,64.97,37.30
2026-03-31T14:06:00Z,59.79,38.97
2026-03-31T14:07:00Z,62.47,42.81
2026-03-31T14:08:00Z,66.78,33.67
2026-03-31T14:09:00Z,65.96,34.20
2026-03-31T14:10:00Z,62.27,39.41
2026-03-31T14:11:00Z,66.00,39.41
2026-03-31T14:12:00Z,73.98,26.79
2026-03-31T14:13:00Z,69.06,32.16
2026-03-31T14:14:00Z,63.00,38.08
2026-03-31T14:15:00Z,63.00,37.37
2026-03-31T14:16:00Z,65.98,37.12
2026-03-31T14:17:00Z,62.01,37.65
2026-03-31T14:18:00Z,64.00,34.87
2026-03-31T14:19:00Z,68.54,33.00
2026-03-31T14:20:00Z,69.73,29.23
2026-03-31T14:21:00Z,66.69,33.56
2026-03-31T14:22:00Z,70.99,28.90
2026-03-31T14:23:00Z,76.00,26.94
2026-03-31T14:24:00Z,74.68,27.91
2026-03-31T14:25:00Z,71.43,26.64
2026-03-31T14:26:00Z,77.00,26.91
2026-03-31T14:27:00Z,66.67,34.76
2026-03-31T14:28:00Z,64.00,38.00
2026-03-31T14:29:00Z,62.00,38.19
2026-03-31T14:30:00Z,59.59,48.23
2026-03-31T14:31:00Z,62.21,39.90
2026-03-31T14:32:00Z,65.02,33.44
2026-03-31T14:33:00Z,71.61,31.98
2026-03-31T14:34:00Z,68.43,34.56
2026-03-31T14:35:00Z,73.12,28.13
2026-03-31T14:36:00Z,69.19,32.64
2026-03-31T14:37:00Z,62.74,38.98
2026-03-31T14:38:00Z,57.44,43.31
2026-03-31T14:39:00Z,58.58,45.27
2026-03-31T14:40:00Z,56.88,43.86
2026-03-31T14:41:00Z,60.05,41.77
