# event_ticker=KXATPCHALLENGERMATCH-26MAY01GHINED
# final_score=3-6 6-4 6-0
# score_resolution=6-3 4-6 0-6
# match_winner=Antoine Ghibaudo
# fav_player=Andrej Nedic
# dog_player=Antoine Ghibaudo
# kalshi_date=2026-05-01
timestamp,Antoine Ghibaudo,Andrej Nedic
2026-04-30T20:04:00Z,,69.00
2026-04-30T22:41:00Z,,68.00
2026-04-30T23:46:00Z,,68.00
2026-05-01T01:07:00Z,,66.00
2026-05-01T02:13:00Z,,65.00
2026-05-01T02:32:00Z,35.00,65.00
2026-05-01T03:01:00Z,35.00,66.00
2026-05-01T03:10:00Z,35.00,66.00
2026-05-01T03:12:00Z,35.00,66.00
2026-05-01T03:55:00Z,35.00,66.00
2026-05-01T04:01:00Z,35.00,66.00
2026-05-01T04:14:00Z,35.00,65.00
2026-05-01T04:15:00Z,35.00,66.00
2026-05-01T04:54:00Z,35.00,66.00
2026-05-01T05:18:00Z,35.00,66.00
2026-05-01T05:23:00Z,35.00,66.00
2026-05-01T05:26:00Z,35.00,66.00
2026-05-01T05:28:00Z,35.00,66.00
2026-05-01T05:35:00Z,35.00,66.00
2026-05-01T05:40:00Z,35.82,66.00
2026-05-01T05:47:00Z,35.82,66.00
2026-05-01T05:48:00Z,35.82,66.00
2026-05-01T05:53:00Z,36.00,66.00
2026-05-01T05:54:00Z,36.00,66.00
2026-05-01T05:55:00Z,36.00,66.00
2026-05-01T05:56:00Z,36.00,66.00
2026-05-01T05:58:00Z,36.00,66.00
2026-05-01T06:00:00Z,36.00,66.00
2026-05-01T06:03:00Z,36.00,66.00
2026-05-01T06:07:00Z,38.50,64.00
2026-05-01T06:08:00Z,40.20,69.60
2026-05-01T06:10:00Z,40.20,70.00
2026-05-01T06:11:00Z,40.20,64.00
2026-05-01T06:12:00Z,29.80,70.61
2026-05-01T06:13:00Z,25.00,74.35
2026-05-01T06:14:00Z,25.99,75.77
2026-05-01T06:15:00Z,25.99,78.39
2026-05-01T06:17:00Z,25.99,81.00
