# event_ticker=KXATPMATCH-26APR06MOUMUL
# final_score=6-4 6-1
# match_winner=Corentin Moutet
# fav_player=Corentin Moutet
# dog_player=Alexandre Muller
# kalshi_date=2026-04-06
timestamp,Corentin Moutet,Alexandre Muller
2026-04-07T01:40:00Z,,36.00
2026-04-07T01:44:00Z,65.00,36.00
2026-04-07T01:45:00Z,65.00,36.00
2026-04-07T01:49:00Z,65.00,36.00
2026-04-07T01:58:00Z,65.00,36.00
2026-04-07T02:00:00Z,65.00,36.00
2026-04-07T02:01:00Z,65.00,36.00
2026-04-07T02:04:00Z,65.00,36.00
2026-04-07T02:22:00Z,65.00,36.00
2026-04-07T02:40:00Z,64.00,36.00
2026-04-07T02:47:00Z,65.00,36.00
2026-04-07T02:51:00Z,65.00,36.00
2026-04-07T03:04:00Z,65.00,36.00
2026-04-07T03:24:00Z,65.00,36.00
2026-04-07T03:27:00Z,65.00,36.00
2026-04-07T03:30:00Z,65.00,37.00
2026-04-07T03:44:00Z,65.00,37.00
2026-04-07T03:59:00Z,65.00,37.00
2026-04-07T04:00:00Z,65.00,37.00
2026-04-07T04:05:00Z,65.00,37.00
2026-04-07T04:16:00Z,65.00,37.00
2026-04-07T04:17:00Z,65.00,35.00
2026-04-07T04:19:00Z,65.00,35.00
2026-04-07T04:24:00Z,65.00,35.00
2026-04-07T04:39:00Z,65.00,36.00
2026-04-07T04:40:00Z,65.00,36.00
2026-04-07T04:44:00Z,65.00,36.00
2026-04-07T04:47:00Z,65.00,36.40
2026-04-07T04:55:00Z,65.00,36.40
2026-04-07T05:00:00Z,65.00,38.00
2026-04-07T05:03:00Z,65.00,38.00
2026-04-07T05:06:00Z,63.11,38.00
2026-04-07T05:07:00Z,62.00,38.00
2026-04-07T05:16:00Z,64.41,38.00
2026-04-07T05:17:00Z,65.00,38.00
2026-04-07T05:30:00Z,64.00,38.00
2026-04-07T05:39:00Z,65.00,38.00
2026-04-07T05:41:00Z,65.00,38.00
2026-04-07T05:44:00Z,65.00,38.00
