# event_ticker=KXATPMATCH-25JUL26BUBCAZ
# final_score=6-4 6-3
# match_winner=Alexander Bublik
# fav_player=Alexander Bublik
# dog_player=Arthur Cazaux
# kalshi_date=2025-07-26
timestamp,Alexander Bublik,Arthur Cazaux
2025-07-26T02:48:00Z,87.18,
2025-07-26T02:54:00Z,85.00,
2025-07-26T02:57:00Z,85.00,34.00
2025-07-26T03:05:00Z,85.00,34.00
2025-07-26T03:13:00Z,85.00,34.00
2025-07-26T03:17:00Z,85.00,34.00
2025-07-26T03:48:00Z,85.00,33.00
2025-07-26T03:52:00Z,85.00,33.57
2025-07-26T04:00:00Z,85.00,33.57
2025-07-26T04:06:00Z,77.00,33.57
2025-07-26T04:10:00Z,77.00,33.57
2025-07-26T04:12:00Z,77.00,33.57
2025-07-26T04:20:00Z,78.71,33.57
2025-07-26T04:21:00Z,78.71,28.00
2025-07-26T04:33:00Z,78.71,28.00
2025-07-26T04:40:00Z,78.71,28.00
2025-07-26T04:43:00Z,79.00,28.00
2025-07-26T04:44:00Z,79.00,28.00
2025-07-26T04:46:00Z,79.00,28.00
2025-07-26T04:56:00Z,78.00,28.00
2025-07-26T04:57:00Z,78.00,28.00
2025-07-26T04:58:00Z,78.00,28.00
2025-07-26T05:03:00Z,78.00,28.00
2025-07-26T05:05:00Z,78.00,28.00
2025-07-26T05:10:00Z,78.00,28.07
2025-07-26T05:11:00Z,78.00,28.07
2025-07-26T05:13:00Z,78.00,28.07
2025-07-26T05:14:00Z,78.00,29.00
2025-07-26T05:16:00Z,78.49,29.00
2025-07-26T05:17:00Z,79.00,29.00
2025-07-26T05:18:00Z,79.00,28.00
2025-07-26T05:19:00Z,79.00,28.00
2025-07-26T05:20:00Z,79.00,28.00
2025-07-26T05:31:00Z,80.00,28.00
2025-07-26T05:33:00Z,75.00,28.00
2025-07-26T05:36:00Z,78.00,28.00
2025-07-26T05:38:00Z,78.55,28.00
2025-07-26T05:39:00Z,79.00,28.00
2025-07-26T05:41:00Z,79.00,28.00
2025-07-26T05:47:00Z,79.00,24.00
