# event_ticker=KXATPCHALLENGERMATCH-26FEB12MATZHA
# final_score=6-3 7-5
# score_resolution=3-6 5-7
# match_winner=Zhizhen Zhang
# fav_player=Hayato Matsuoka
# dog_player=Zhizhen Zhang
# kalshi_date=2026-02-12
timestamp,Hayato Matsuoka,Zhizhen Zhang
2026-02-12T14:32:00Z,,80.00
2026-02-12T15:21:00Z,20.00,80.00
2026-02-12T15:29:00Z,20.00,81.00
2026-02-12T15:30:00Z,20.00,81.00
2026-02-12T16:31:00Z,20.00,81.00
2026-02-12T16:52:00Z,20.00,81.00
2026-02-12T17:05:00Z,20.00,81.00
2026-02-12T17:09:00Z,20.00,81.00
2026-02-12T17:44:00Z,20.00,80.00
2026-02-12T18:20:00Z,20.00,81.00
2026-02-12T18:48:00Z,20.00,81.00
2026-02-12T18:51:00Z,20.00,81.00
2026-02-12T18:59:00Z,21.00,81.00
2026-02-12T19:05:00Z,21.00,81.00
2026-02-12T19:33:00Z,21.00,81.00
2026-02-12T19:44:00Z,20.00,80.00
2026-02-12T19:48:00Z,20.00,81.00
2026-02-12T19:55:00Z,20.00,81.00
2026-02-12T19:56:00Z,20.00,81.00
2026-02-12T19:58:00Z,20.00,81.00
2026-02-12T20:00:00Z,17.00,81.00
2026-02-12T20:04:00Z,19.00,81.00
2026-02-12T20:34:00Z,19.00,81.00
2026-02-12T20:35:00Z,19.00,81.00
2026-02-12T20:39:00Z,19.00,81.00
2026-02-12T20:44:00Z,19.00,81.00
2026-02-12T21:00:00Z,19.00,81.00
2026-02-12T21:07:00Z,19.00,81.00
2026-02-12T21:11:00Z,19.00,81.00
2026-02-12T21:16:00Z,19.00,81.00
2026-02-12T21:21:00Z,19.00,81.00
2026-02-12T21:25:00Z,19.00,81.00
2026-02-12T21:30:00Z,19.00,81.00
2026-02-12T21:31:00Z,19.00,81.00
2026-02-12T21:33:00Z,19.00,81.00
2026-02-12T21:37:00Z,19.00,81.00
2026-02-12T21:38:00Z,19.00,81.00
2026-02-12T21:42:00Z,19.00,81.00
2026-02-12T21:43:00Z,19.00,81.00
2026-02-12T21:51:00Z,19.00,81.00
2026-02-12T21:56:00Z,19.00,81.00
2026-02-12T21:57:00Z,19.00,81.00
2026-02-12T21:58:00Z,19.00,81.00
2026-02-12T22:00:00Z,19.00,81.00
2026-02-12T22:09:00Z,19.00,81.00
2026-02-12T22:13:00Z,19.00,81.00
2026-02-12T22:25:00Z,19.00,81.00
2026-02-12T22:30:00Z,19.00,81.00
2026-02-12T22:32:00Z,19.00,81.00
2026-02-12T22:33:00Z,19.00,81.00
2026-02-12T22:47:00Z,19.00,81.00
2026-02-12T22:49:00Z,19.00,81.00
2026-02-12T22:52:00Z,19.00,81.00
2026-02-12T22:54:00Z,19.00,81.00
2026-02-12T22:57:00Z,19.00,81.00
2026-02-12T22:59:00Z,19.00,81.00
2026-02-12T23:04:00Z,19.00,81.00
2026-02-12T23:09:00Z,19.00,82.92
2026-02-12T23:11:00Z,19.00,82.92
2026-02-12T23:14:00Z,19.00,83.00
2026-02-12T23:16:00Z,19.00,83.00
2026-02-12T23:17:00Z,19.00,83.00
