# event_ticker=KXATPMATCH-26JAN03CILMAN
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Marin Cilic
# fav_player=Adrian Mannarino
# dog_player=Marin Cilic
# kalshi_date=2026-01-03
timestamp,Adrian Mannarino,Marin Cilic
2026-01-04T19:30:00Z,,53.00
2026-01-04T19:48:00Z,48.00,53.00
2026-01-04T20:25:00Z,47.00,53.00
2026-01-04T22:17:00Z,47.00,53.00
2026-01-04T22:39:00Z,48.00,53.00
2026-01-04T22:45:00Z,48.00,53.00
2026-01-04T23:19:00Z,48.00,53.00
2026-01-05T00:40:00Z,48.00,53.00
2026-01-05T00:50:00Z,48.00,53.00
2026-01-05T02:01:00Z,48.00,53.00
2026-01-05T02:13:00Z,48.00,53.00
2026-01-05T03:05:00Z,48.00,53.00
2026-01-05T03:17:00Z,48.00,53.00
2026-01-05T03:19:00Z,48.00,53.00
2026-01-05T03:40:00Z,48.00,53.00
2026-01-05T03:47:00Z,48.00,53.00
2026-01-05T03:54:00Z,48.00,53.00
2026-01-05T04:22:00Z,48.00,53.00
2026-01-05T04:30:00Z,48.00,52.00
2026-01-05T05:13:00Z,48.00,53.55
2026-01-05T05:20:00Z,48.00,53.55
2026-01-05T05:43:00Z,48.00,55.02
2026-01-05T05:50:00Z,48.00,55.65
2026-01-05T05:57:00Z,48.00,55.00
2026-01-05T05:59:00Z,48.00,55.00
2026-01-05T06:02:00Z,46.00,55.00
2026-01-05T06:12:00Z,46.00,55.00
2026-01-05T06:24:00Z,46.00,55.00
2026-01-05T06:29:00Z,46.00,55.00
2026-01-05T06:43:00Z,46.00,56.00
2026-01-05T06:47:00Z,47.32,56.00
2026-01-05T07:02:00Z,47.32,55.00
2026-01-05T07:12:00Z,46.38,55.00
2026-01-05T07:13:00Z,47.00,55.00
2026-01-05T07:15:00Z,48.00,55.00
2026-01-05T07:16:00Z,47.43,55.87
2026-01-05T07:17:00Z,45.33,56.63
2026-01-05T07:18:00Z,46.00,56.00
2026-01-05T07:19:00Z,48.00,52.98
2026-01-05T07:20:00Z,44.78,55.44
2026-01-05T07:21:00Z,45.00,55.44
2026-01-05T07:22:00Z,34.57,65.67
2026-01-05T07:23:00Z,33.00,65.17
2026-01-05T07:24:00Z,31.00,67.65
2026-01-05T07:26:00Z,25.00,76.00
2026-01-05T07:27:00Z,23.71,77.00
2026-01-05T07:28:00Z,23.71,77.00
2026-01-05T07:29:00Z,25.00,77.00
2026-01-05T07:30:00Z,25.00,76.01
2026-01-05T07:31:00Z,23.42,77.27
2026-01-05T07:32:00Z,22.00,78.06
2026-01-05T07:33:00Z,22.00,80.00
2026-01-05T07:34:00Z,23.46,75.19
2026-01-05T07:35:00Z,23.00,75.19
2026-01-05T07:36:00Z,21.98,80.92
2026-01-05T07:37:00Z,20.37,81.00
2026-01-05T07:38:00Z,21.00,79.00
2026-01-05T07:39:00Z,21.00,79.00
2026-01-05T07:40:00Z,22.74,79.50
2026-01-05T07:41:00Z,22.74,78.00
2026-01-05T07:42:00Z,22.00,80.00
2026-01-05T07:43:00Z,25.00,77.31
2026-01-05T07:44:00Z,26.00,77.00
2026-01-05T07:45:00Z,24.00,78.11
2026-01-05T07:46:00Z,26.28,78.11
2026-01-05T07:47:00Z,22.00,78.11
2026-01-05T07:48:00Z,22.00,80.00
2026-01-05T07:49:00Z,22.00,79.61
2026-01-05T07:50:00Z,24.00,78.38
2026-01-05T07:51:00Z,23.26,79.00
2026-01-05T07:52:00Z,38.57,77.00
2026-01-05T07:53:00Z,23.27,76.52
2026-01-05T07:54:00Z,23.27,80.00
2026-01-05T07:55:00Z,23.27,78.50
2026-01-05T07:56:00Z,22.00,79.00
2026-01-05T07:57:00Z,20.46,80.11
2026-01-05T07:58:00Z,17.00,82.26
2026-01-05T07:59:00Z,17.00,87.52
2026-01-05T08:00:00Z,37.00,87.52
2026-01-05T08:01:00Z,16.91,81.54
2026-01-05T08:02:00Z,19.82,79.84
2026-01-05T08:03:00Z,21.64,82.78
2026-01-05T08:04:00Z,23.10,79.48
2026-01-05T08:05:00Z,27.57,77.16
2026-01-05T08:06:00Z,27.66,80.52
2026-01-05T08:07:00Z,27.06,74.11
2026-01-05T08:08:00Z,26.81,74.11
2026-01-05T08:09:00Z,28.03,75.10
2026-01-05T08:10:00Z,25.78,75.10
2026-01-05T08:11:00Z,25.78,79.90
2026-01-05T08:12:00Z,20.00,79.90
2026-01-05T08:13:00Z,17.76,89.89
2026-01-05T08:14:00Z,25.84,87.00
2026-01-05T08:15:00Z,10.02,90.37
2026-01-05T08:16:00Z,8.78,91.00
2026-01-05T08:17:00Z,7.95,93.65
2026-01-05T08:18:00Z,5.94,95.65
2026-01-05T08:19:00Z,7.00,95.00
2026-01-05T08:20:00Z,6.83,93.24
2026-01-05T08:21:00Z,4.49,94.00
2026-01-05T08:22:00Z,6.19,95.00
2026-01-05T08:23:00Z,3.44,96.48
2026-01-05T08:24:00Z,1.52,98.93
2026-01-05T08:25:00Z,1.00,99.00
2026-01-05T08:26:00Z,1.00,99.00
2026-01-05T08:27:00Z,1.00,99.00
2026-01-05T08:28:00Z,1.00,99.00
2026-01-05T08:30:00Z,1.00,99.00
2026-01-05T08:31:00Z,1.10,99.00
2026-01-05T08:34:00Z,1.00,99.00
2026-01-05T08:35:00Z,1.00,99.00
2026-01-05T08:37:00Z,1.00,99.00
2026-01-05T08:38:00Z,1.00,99.00
2026-01-05T08:39:00Z,1.00,99.00
2026-01-05T08:40:00Z,1.00,99.00
