# event_ticker=KXATPCHALLENGERMATCH-26MAY12LINFAR
# final_score=4-6 6-2 4-3 RET
# match_winner=Samuel Alejandro Linde Palacios
# fav_player=Tomas Farjat
# dog_player=Samuel Alejandro Linde Palacios
# kalshi_date=2026-05-12
timestamp,Samuel Alejandro Linde Palacios,Tomas Farjat
2026-05-12T09:30:00Z,55.25,44.16
2026-05-12T09:31:00Z,57.00,44.16
2026-05-12T09:34:00Z,56.00,44.16
2026-05-12T09:38:00Z,56.00,44.16
2026-05-12T09:51:00Z,44.00,44.16
2026-05-12T09:52:00Z,44.00,44.16
2026-05-12T12:37:00Z,42.00,44.16
2026-05-12T13:18:00Z,42.00,60.00
2026-05-12T13:37:00Z,40.00,60.00
2026-05-12T13:41:00Z,40.00,60.00
2026-05-12T13:43:00Z,40.00,60.00
2026-05-12T14:14:00Z,39.00,60.00
2026-05-12T14:20:00Z,39.00,60.00
2026-05-12T14:32:00Z,39.00,60.00
2026-05-12T14:36:00Z,39.00,60.00
2026-05-12T14:44:00Z,42.83,60.00
2026-05-12T14:47:00Z,37.00,60.00
2026-05-12T14:48:00Z,37.00,65.00
2026-05-12T14:49:00Z,31.05,69.99
2026-05-12T14:50:00Z,29.85,69.33
2026-05-12T14:51:00Z,30.81,69.90
2026-05-12T14:52:00Z,31.43,67.30
2026-05-12T14:53:00Z,32.00,69.51
2026-05-12T14:54:00Z,32.00,76.77
2026-05-12T14:55:00Z,21.00,78.01
2026-05-12T14:56:00Z,21.00,78.00
2026-05-12T14:57:00Z,31.09,66.00
2026-05-12T14:58:00Z,34.74,66.00
2026-05-12T14:59:00Z,37.00,65.00
2026-05-12T15:00:00Z,39.92,60.12
2026-05-12T15:01:00Z,39.00,60.12
2026-05-12T15:02:00Z,41.47,57.72
2026-05-12T15:03:00Z,42.07,57.00
2026-05-12T15:04:00Z,46.99,54.13
2026-05-12T15:05:00Z,45.45,54.91
2026-05-12T15:06:00Z,47.08,52.01
2026-05-12T15:07:00Z,56.59,44.00
2026-05-12T15:08:00Z,50.00,51.95
2026-05-12T15:09:00Z,40.00,60.16
2026-05-12T15:10:00Z,41.22,59.69
2026-05-12T15:11:00Z,45.69,56.10
2026-05-12T15:12:00Z,44.47,55.07
2026-05-12T15:13:00Z,40.89,58.52
2026-05-12T15:14:00Z,47.26,46.05
2026-05-12T15:15:00Z,56.47,44.00
2026-05-12T15:16:00Z,56.00,44.32
2026-05-12T15:17:00Z,57.00,45.00
2026-05-12T15:18:00Z,53.77,47.05
2026-05-12T15:19:00Z,53.77,60.00
2026-05-12T15:20:00Z,39.45,59.83
2026-05-12T15:21:00Z,38.93,60.43
2026-05-12T15:22:00Z,36.00,63.00
2026-05-12T15:23:00Z,29.56,64.00
2026-05-12T15:24:00Z,33.71,65.98
2026-05-12T15:25:00Z,35.97,65.98
2026-05-12T15:26:00Z,31.43,69.19
2026-05-12T15:27:00Z,20.42,79.31
2026-05-12T15:28:00Z,18.00,85.00
2026-05-12T15:29:00Z,16.00,84.59
2026-05-12T15:30:00Z,17.00,84.59
2026-05-12T15:31:00Z,17.00,86.00
2026-05-12T15:32:00Z,16.47,82.25
2026-05-12T15:33:00Z,20.81,77.18
2026-05-12T15:34:00Z,24.19,75.00
2026-05-12T15:35:00Z,28.00,75.00
2026-05-12T15:36:00Z,27.05,76.92
2026-05-12T15:38:00Z,30.70,70.43
2026-05-12T15:39:00Z,30.00,72.00
2026-05-12T15:40:00Z,27.86,74.00
2026-05-12T15:41:00Z,33.98,72.00
2026-05-12T15:42:00Z,34.00,72.00
2026-05-12T15:43:00Z,30.47,73.00
2026-05-12T15:44:00Z,29.18,69.00
2026-05-12T15:45:00Z,31.00,69.00
2026-05-12T15:46:00Z,32.00,69.00
2026-05-12T15:47:00Z,37.27,66.00
2026-05-12T15:48:00Z,34.68,67.00
2026-05-12T15:49:00Z,34.00,67.00
2026-05-12T15:50:00Z,32.16,69.36
2026-05-12T15:51:00Z,25.27,69.36
2026-05-12T15:52:00Z,36.70,64.15
2026-05-12T15:53:00Z,41.79,61.01
2026-05-12T15:54:00Z,37.44,60.96
2026-05-12T15:55:00Z,42.52,56.26
2026-05-12T15:56:00Z,46.97,56.58
2026-05-12T15:57:00Z,46.24,50.49
2026-05-12T15:58:00Z,44.43,54.30
2026-05-12T15:59:00Z,41.55,57.52
2026-05-12T16:00:00Z,48.22,51.82
2026-05-12T16:01:00Z,48.67,51.23
2026-05-12T16:02:00Z,50.88,48.57
2026-05-12T16:03:00Z,50.63,49.79
2026-05-12T16:04:00Z,49.33,51.34
2026-05-12T16:05:00Z,49.55,51.85
2026-05-12T16:06:00Z,50.00,52.00
2026-05-12T16:07:00Z,50.00,51.34
2026-05-12T16:08:00Z,50.00,51.76
2026-05-12T16:09:00Z,49.72,51.10
2026-05-12T16:10:00Z,62.73,42.43
2026-05-12T16:11:00Z,80.34,24.73
2026-05-12T16:12:00Z,75.35,24.78
2026-05-12T16:13:00Z,79.35,22.71
2026-05-12T16:14:00Z,83.33,18.28
2026-05-12T16:15:00Z,79.80,19.80
2026-05-12T16:16:00Z,80.62,19.25
2026-05-12T16:17:00Z,81.28,19.55
2026-05-12T16:18:00Z,80.95,18.89
2026-05-12T16:19:00Z,75.05,23.33
2026-05-12T16:20:00Z,79.75,22.62
2026-05-12T16:21:00Z,83.08,17.42
2026-05-12T16:22:00Z,84.95,15.59
2026-05-12T16:23:00Z,85.71,16.95
2026-05-12T16:24:00Z,86.61,15.35
2026-05-12T16:25:00Z,85.87,18.36
2026-05-12T16:26:00Z,88.43,15.93
2026-05-12T16:27:00Z,90.53,11.18
2026-05-12T16:28:00Z,90.61,11.29
2026-05-12T16:29:00Z,94.40,9.01
2026-05-12T16:30:00Z,90.51,10.77
2026-05-12T16:31:00Z,89.07,12.94
2026-05-12T16:32:00Z,92.39,10.54
2026-05-12T16:33:00Z,96.54,3.64
2026-05-12T16:34:00Z,97.88,1.16
