# event_ticker=KXATPCHALLENGERMATCH-26APR28KOLJIA
# final_score=6-3 2-6 6-3
# score_resolution=3-6 6-2 3-6
# match_winner=Zdenek Kolar
# fav_player=Filip Cristian Jianu
# dog_player=Zdenek Kolar
# kalshi_date=2026-04-28
timestamp,Zdenek Kolar,Filip Cristian Jianu
2026-04-28T02:29:00Z,51.00,
2026-04-28T05:00:00Z,52.00,
2026-04-28T05:22:00Z,52.00,48.00
2026-04-28T06:09:00Z,52.00,48.00
2026-04-28T10:28:00Z,52.00,49.00
2026-04-28T10:33:00Z,52.00,46.00
2026-04-28T10:34:00Z,59.00,43.22
2026-04-28T10:35:00Z,62.00,43.22
2026-04-28T10:37:00Z,62.00,37.00
2026-04-28T10:38:00Z,56.00,40.00
2026-04-28T10:41:00Z,63.00,40.00
2026-04-28T10:44:00Z,51.00,50.00
2026-04-28T10:47:00Z,51.00,53.00
2026-04-28T10:50:00Z,50.00,53.00
2026-04-28T10:51:00Z,51.00,53.00
2026-04-28T10:52:00Z,53.00,53.00
2026-04-28T10:53:00Z,53.06,47.00
2026-04-28T10:54:00Z,52.99,47.00
2026-04-28T10:55:00Z,52.99,47.22
2026-04-28T10:56:00Z,62.15,37.43
2026-04-28T10:57:00Z,65.00,37.43
2026-04-28T10:59:00Z,60.29,39.93
2026-04-28T11:00:00Z,56.49,43.00
2026-04-28T11:01:00Z,55.06,44.90
2026-04-28T11:02:00Z,54.93,44.42
2026-04-28T11:03:00Z,56.48,42.66
2026-04-28T11:04:00Z,59.25,40.30
2026-04-28T11:05:00Z,69.00,40.30
2026-04-28T11:06:00Z,66.24,34.61
2026-04-28T11:07:00Z,64.76,35.81
2026-04-28T11:08:00Z,66.14,31.00
2026-04-28T11:09:00Z,71.66,31.00
2026-04-28T11:10:00Z,75.41,24.05
2026-04-28T11:11:00Z,78.62,21.08
2026-04-28T11:12:00Z,79.77,20.03
2026-04-28T11:13:00Z,81.00,20.03
2026-04-28T11:15:00Z,79.00,21.50
2026-04-28T11:16:00Z,80.00,20.00
2026-04-28T11:17:00Z,80.00,24.55
2026-04-28T11:18:00Z,76.80,25.00
2026-04-28T11:19:00Z,78.86,22.00
2026-04-28T11:20:00Z,81.00,18.40
2026-04-28T11:21:00Z,81.00,19.65
2026-04-28T11:22:00Z,78.00,22.25
2026-04-28T11:23:00Z,78.02,22.00
2026-04-28T11:24:00Z,77.21,22.68
2026-04-28T11:25:00Z,76.29,23.81
2026-04-28T11:26:00Z,71.82,29.61
2026-04-28T11:27:00Z,71.82,30.12
2026-04-28T11:28:00Z,66.89,32.61
2026-04-28T11:29:00Z,66.89,36.00
2026-04-28T11:30:00Z,67.00,33.00
2026-04-28T11:31:00Z,69.00,33.00
2026-04-28T11:32:00Z,69.19,33.00
2026-04-28T11:33:00Z,69.50,31.56
2026-04-28T11:34:00Z,66.00,33.00
2026-04-28T11:35:00Z,61.00,33.00
2026-04-28T11:37:00Z,63.48,33.00
2026-04-28T11:38:00Z,63.00,37.00
2026-04-28T11:39:00Z,59.00,40.99
2026-04-28T11:40:00Z,63.00,39.00
2026-04-28T11:41:00Z,61.00,38.49
2026-04-28T11:42:00Z,61.00,44.94
2026-04-28T11:43:00Z,53.00,47.00
2026-04-28T11:44:00Z,52.20,47.80
2026-04-28T11:45:00Z,52.00,47.80
2026-04-28T11:46:00Z,52.99,46.69
2026-04-28T11:47:00Z,52.03,47.98
2026-04-28T11:48:00Z,52.00,49.00
2026-04-28T11:49:00Z,51.00,49.00
2026-04-28T11:50:00Z,53.00,49.00
2026-04-28T11:52:00Z,52.00,48.45
2026-04-28T11:53:00Z,51.00,49.00
2026-04-28T11:54:00Z,51.00,49.00
2026-04-28T11:55:00Z,51.00,49.62
2026-04-28T11:57:00Z,50.00,50.00
2026-04-28T11:58:00Z,52.61,46.61
2026-04-28T11:59:00Z,55.96,43.55
2026-04-28T12:00:00Z,57.11,42.00
2026-04-28T12:01:00Z,57.94,41.47
2026-04-28T12:02:00Z,70.08,33.41
2026-04-28T12:03:00Z,68.33,31.63
2026-04-28T12:04:00Z,65.17,34.00
2026-04-28T12:05:00Z,60.69,41.40
2026-04-28T12:06:00Z,52.31,48.60
2026-04-28T12:07:00Z,46.83,56.68
2026-04-28T12:08:00Z,42.00,56.75
2026-04-28T12:09:00Z,48.57,49.97
2026-04-28T12:10:00Z,54.55,45.06
2026-04-28T12:11:00Z,44.84,54.91
2026-04-28T12:12:00Z,32.28,67.27
2026-04-28T12:13:00Z,31.38,69.08
2026-04-28T12:14:00Z,40.41,57.32
2026-04-28T12:15:00Z,46.38,55.31
2026-04-28T12:16:00Z,52.89,47.92
2026-04-28T12:17:00Z,59.27,40.20
2026-04-28T12:18:00Z,61.56,39.83
2026-04-28T12:19:00Z,63.89,38.38
2026-04-28T12:20:00Z,64.30,35.00
2026-04-28T12:21:00Z,68.65,32.70
2026-04-28T12:22:00Z,68.21,29.90
2026-04-28T12:23:00Z,82.83,19.53
2026-04-28T12:24:00Z,87.24,12.17
2026-04-28T12:25:00Z,88.89,14.51
2026-04-28T12:26:00Z,92.40,7.35
2026-04-28T12:27:00Z,93.95,7.40
2026-04-28T12:28:00Z,94.37,5.98
2026-04-28T12:29:00Z,95.52,6.04
2026-04-28T12:30:00Z,93.37,7.83
2026-04-28T12:31:00Z,92.04,7.67
2026-04-28T12:32:00Z,94.70,7.33
2026-04-28T12:33:00Z,91.93,7.66
2026-04-28T12:34:00Z,94.79,6.79
2026-04-28T12:35:00Z,98.99,1.05
2026-04-28T12:36:00Z,99.00,1.05
2026-04-28T12:37:00Z,99.00,1.05
