# event_ticker=KXATPMATCH-26APR22ATMKEC
# final_score=6-4 7-5
# match_winner=Terence Atmane
# fav_player=Terence Atmane
# dog_player=Miomir Kecmanovic
# kalshi_date=2026-04-22
timestamp,Terence Atmane,Miomir Kecmanovic
2026-04-22T21:25:00Z,45.00,57.00
2026-04-22T21:27:00Z,45.00,57.00
2026-04-22T21:51:00Z,45.00,57.00
2026-04-22T21:58:00Z,45.00,57.00
2026-04-22T22:02:00Z,45.00,55.50
2026-04-22T22:03:00Z,45.00,55.50
2026-04-22T22:10:00Z,45.00,55.50
2026-04-22T22:36:00Z,45.00,57.00
2026-04-22T22:39:00Z,45.00,57.00
2026-04-22T22:51:00Z,45.00,56.00
2026-04-22T22:54:00Z,45.00,56.00
2026-04-22T22:57:00Z,45.00,55.00
2026-04-22T23:04:00Z,46.00,55.00
2026-04-22T23:28:00Z,46.00,55.00
2026-04-22T23:37:00Z,45.00,55.00
2026-04-23T00:07:00Z,46.00,55.00
2026-04-23T00:24:00Z,46.00,55.00
2026-04-23T00:48:00Z,46.00,55.00
2026-04-23T00:52:00Z,46.00,55.00
2026-04-23T01:12:00Z,46.00,55.00
2026-04-23T01:15:00Z,46.00,55.00
2026-04-23T01:21:00Z,46.00,55.00
2026-04-23T01:40:00Z,46.00,55.00
2026-04-23T01:48:00Z,47.00,55.00
2026-04-23T01:49:00Z,47.00,55.00
2026-04-23T01:50:00Z,47.00,55.00
2026-04-23T01:55:00Z,47.00,55.00
2026-04-23T02:01:00Z,47.00,55.00
2026-04-23T02:02:00Z,47.00,55.00
2026-04-23T02:05:00Z,47.00,55.00
2026-04-23T02:09:00Z,47.00,55.00
2026-04-23T02:25:00Z,47.00,55.00
2026-04-23T02:27:00Z,47.00,55.00
2026-04-23T02:35:00Z,47.00,55.00
2026-04-23T02:36:00Z,47.00,54.00
2026-04-23T02:38:00Z,47.00,53.00
2026-04-23T02:40:00Z,47.00,53.00
2026-04-23T02:41:00Z,47.00,53.00
2026-04-23T02:46:00Z,47.00,53.00
2026-04-23T02:47:00Z,47.00,54.00
2026-04-23T02:50:00Z,47.00,54.00
2026-04-23T02:54:00Z,47.00,54.00
2026-04-23T02:57:00Z,47.00,54.00
2026-04-23T02:59:00Z,47.00,54.00
