# event_ticker=KXATPCHALLENGERMATCH-26MAY06COVMAR
# final_score=6-1 6-1
# score_resolution=1-6 1-6
# match_winner=Ivan Marrero Curbelo
# fav_player=Matteo Covato
# dog_player=Ivan Marrero Curbelo
# kalshi_date=2026-05-06
timestamp,Matteo Covato,Ivan Marrero Curbelo
2026-05-06T04:11:00Z,16.00,
2026-05-06T05:18:00Z,16.00,85.00
2026-05-06T05:19:00Z,16.00,85.00
2026-05-06T05:20:00Z,15.00,85.00
2026-05-06T06:03:00Z,15.00,85.00
2026-05-06T06:24:00Z,15.00,86.00
2026-05-06T06:41:00Z,15.00,86.00
2026-05-06T07:18:00Z,15.00,86.00
2026-05-06T07:58:00Z,15.00,86.00
2026-05-06T08:16:00Z,15.00,88.00
2026-05-06T08:25:00Z,15.00,88.00
2026-05-06T09:13:00Z,15.00,89.00
2026-05-06T09:36:00Z,14.00,89.00
2026-05-06T11:21:00Z,12.00,89.00
2026-05-06T11:53:00Z,12.00,89.00
2026-05-06T12:08:00Z,12.00,89.00
2026-05-06T12:33:00Z,14.00,89.00
2026-05-06T13:04:00Z,14.00,89.00
2026-05-06T13:20:00Z,14.00,88.00
2026-05-06T13:26:00Z,14.00,88.00
2026-05-06T13:34:00Z,14.00,88.00
2026-05-06T14:01:00Z,13.00,88.00
2026-05-06T14:43:00Z,13.00,88.00
2026-05-06T14:57:00Z,13.00,89.00
2026-05-06T15:05:00Z,13.00,89.00
2026-05-06T15:09:00Z,13.00,87.00
2026-05-06T15:11:00Z,14.00,87.00
2026-05-06T15:13:00Z,14.00,87.00
2026-05-06T15:15:00Z,14.00,87.00
2026-05-06T15:24:00Z,12.00,87.00
2026-05-06T15:25:00Z,13.00,87.00
2026-05-06T15:26:00Z,13.00,87.00
2026-05-06T15:27:00Z,13.53,87.00
2026-05-06T15:28:00Z,12.00,87.00
2026-05-06T15:29:00Z,11.02,88.00
2026-05-06T15:30:00Z,9.00,90.25
2026-05-06T15:31:00Z,9.00,90.25
2026-05-06T15:33:00Z,9.00,92.00
2026-05-06T15:34:00Z,7.88,92.00
2026-05-06T15:35:00Z,8.87,92.00
2026-05-06T15:36:00Z,9.00,92.00
2026-05-06T15:37:00Z,9.00,92.00
2026-05-06T15:38:00Z,9.00,92.00
2026-05-06T15:39:00Z,10.00,92.00
2026-05-06T15:40:00Z,9.03,92.00
2026-05-06T15:42:00Z,7.00,93.95
2026-05-06T15:43:00Z,7.00,93.95
2026-05-06T15:44:00Z,7.00,95.00
2026-05-06T15:45:00Z,5.03,95.00
2026-05-06T15:47:00Z,5.03,94.00
2026-05-06T15:48:00Z,5.00,95.00
2026-05-06T15:50:00Z,4.00,96.00
2026-05-06T15:51:00Z,4.00,96.00
2026-05-06T15:52:00Z,4.00,96.00
2026-05-06T15:53:00Z,3.08,97.00
2026-05-06T15:54:00Z,2.53,97.00
2026-05-06T15:55:00Z,3.50,97.00
2026-05-06T15:56:00Z,4.00,97.00
2026-05-06T15:58:00Z,3.00,97.00
2026-05-06T15:59:00Z,4.00,97.00
2026-05-06T16:00:00Z,3.08,97.00
2026-05-06T16:01:00Z,2.00,98.00
2026-05-06T16:04:00Z,1.00,99.00
2026-05-06T16:05:00Z,1.00,99.00
2026-05-06T16:06:00Z,1.00,99.00
2026-05-06T16:12:00Z,1.00,99.00
2026-05-06T16:13:00Z,1.00,99.00
2026-05-06T16:16:00Z,1.00,99.00
