# event_ticker=KXATPCHALLENGERMATCH-26MAR16BUTKUK
# final_score=7-6(4) 6-4
# score_resolution=7-6 6-4
# match_winner=Mikhail Kukushkin
# fav_player=Mikhail Kukushkin
# dog_player=Edas Butvilas
# kalshi_date=2026-03-16
timestamp,Mikhail Kukushkin,Edas Butvilas
2026-03-16T02:54:00Z,,55.00
2026-03-16T03:11:00Z,,55.78
2026-03-16T03:19:00Z,,55.00
2026-03-16T03:56:00Z,,55.00
2026-03-16T04:24:00Z,,55.00
2026-03-16T04:26:00Z,46.00,55.00
2026-03-16T04:29:00Z,46.00,54.00
2026-03-16T04:42:00Z,46.00,55.00
2026-03-16T05:08:00Z,46.00,55.00
2026-03-16T05:24:00Z,46.00,55.00
2026-03-16T05:55:00Z,46.00,55.00
2026-03-16T06:28:00Z,46.00,55.84
2026-03-16T06:45:00Z,47.00,55.84
2026-03-16T06:48:00Z,47.00,55.84
2026-03-16T07:15:00Z,47.00,55.84
2026-03-16T07:31:00Z,47.00,55.84
2026-03-16T08:35:00Z,47.00,56.00
2026-03-16T10:11:00Z,46.00,56.00
2026-03-16T10:24:00Z,46.00,56.00
2026-03-16T11:01:00Z,46.00,57.00
2026-03-16T11:51:00Z,46.00,57.00
2026-03-16T12:05:00Z,46.00,57.00
2026-03-16T12:07:00Z,46.00,55.98
2026-03-16T12:13:00Z,46.00,55.98
2026-03-16T12:14:00Z,45.00,55.98
2026-03-16T12:22:00Z,45.00,57.00
2026-03-16T12:28:00Z,46.00,57.00
2026-03-16T12:40:00Z,46.00,57.00
2026-03-16T12:44:00Z,46.00,57.00
2026-03-16T12:56:00Z,46.00,57.00
2026-03-16T13:01:00Z,46.00,56.96
2026-03-16T13:03:00Z,45.00,56.96
2026-03-16T13:06:00Z,45.00,57.00
2026-03-16T13:13:00Z,45.00,57.00
2026-03-16T13:16:00Z,45.00,56.00
2026-03-16T13:20:00Z,46.00,56.00
2026-03-16T13:22:00Z,44.00,58.00
2026-03-16T13:23:00Z,44.00,58.00
2026-03-16T13:28:00Z,44.00,58.00
2026-03-16T13:30:00Z,44.00,58.00
2026-03-16T13:31:00Z,44.00,58.00
2026-03-16T13:33:00Z,44.00,58.00
2026-03-16T13:34:00Z,44.00,58.00
