# event_ticker=KXATPCHALLENGERMATCH-26MAR02HEIGAL
# final_score=6-1 4-6 7-6(3)
# score_resolution=1-6 6-4 6-7
# match_winner=Gustavo Heide
# fav_player=Daniel Elahi Galan
# dog_player=Gustavo Heide
# kalshi_date=2026-03-02
timestamp,Daniel Elahi Galan,Gustavo Heide
2026-03-02T05:45:00Z,44.00,
2026-03-02T05:46:00Z,49.00,
2026-03-02T05:47:00Z,49.00,48.54
2026-03-02T06:02:00Z,49.00,84.00
2026-03-02T06:26:00Z,65.00,84.00
2026-03-02T10:34:00Z,65.00,53.00
2026-03-02T10:35:00Z,65.00,54.35
2026-03-02T10:36:00Z,65.00,57.00
2026-03-02T10:37:00Z,65.00,57.00
2026-03-02T10:40:00Z,65.00,57.00
2026-03-02T10:45:00Z,39.00,60.81
2026-03-02T10:55:00Z,38.00,65.00
2026-03-02T10:58:00Z,38.00,65.00
2026-03-02T11:40:00Z,37.00,66.00
2026-03-02T12:24:00Z,37.00,66.00
2026-03-02T12:30:00Z,37.00,66.00
2026-03-02T12:45:00Z,38.29,66.00
2026-03-02T12:56:00Z,38.29,65.46
2026-03-02T13:27:00Z,38.55,65.46
2026-03-02T13:39:00Z,38.55,66.00
2026-03-02T14:34:00Z,38.55,63.00
2026-03-02T14:37:00Z,37.00,63.00
2026-03-02T14:49:00Z,37.00,63.00
2026-03-02T15:00:00Z,37.00,64.00
2026-03-02T15:05:00Z,37.00,64.00
2026-03-02T15:09:00Z,38.00,64.00
2026-03-02T15:10:00Z,38.00,64.00
2026-03-02T15:15:00Z,38.00,64.00
2026-03-02T15:16:00Z,38.00,64.00
2026-03-02T15:19:00Z,38.00,64.00
2026-03-02T15:27:00Z,38.00,64.01
2026-03-02T15:28:00Z,38.00,65.00
2026-03-02T15:30:00Z,38.00,64.00
2026-03-02T15:34:00Z,38.00,64.00
2026-03-02T15:39:00Z,38.00,61.00
2026-03-02T15:42:00Z,37.00,62.00
2026-03-02T15:43:00Z,38.00,62.00
2026-03-02T15:44:00Z,38.00,62.00
2026-03-02T15:46:00Z,38.00,62.00
2026-03-02T15:47:00Z,38.00,62.00
2026-03-02T15:49:00Z,38.00,62.00
2026-03-02T15:50:00Z,37.00,63.00
2026-03-02T15:51:00Z,37.00,63.00
2026-03-02T15:52:00Z,38.00,63.00
2026-03-02T15:53:00Z,38.00,62.61
2026-03-02T15:55:00Z,38.00,61.39
2026-03-02T15:57:00Z,38.00,63.00
2026-03-02T16:00:00Z,38.00,63.00
2026-03-02T16:02:00Z,39.00,63.00
2026-03-02T16:08:00Z,39.00,63.00
2026-03-02T16:13:00Z,39.00,63.00
2026-03-02T16:14:00Z,37.88,63.00
2026-03-02T16:15:00Z,37.99,63.00
2026-03-02T16:17:00Z,38.00,63.00
2026-03-02T16:18:00Z,38.00,64.00
2026-03-02T16:19:00Z,38.44,65.45
2026-03-02T16:20:00Z,39.55,64.53
2026-03-02T16:21:00Z,39.76,64.00
2026-03-02T16:22:00Z,39.03,64.00
2026-03-02T16:23:00Z,38.00,64.00
2026-03-02T16:24:00Z,38.45,61.38
2026-03-02T16:25:00Z,38.69,59.90
2026-03-02T16:26:00Z,42.85,61.53
2026-03-02T16:27:00Z,41.16,60.71
2026-03-02T16:28:00Z,41.60,57.85
2026-03-02T16:29:00Z,44.58,56.01
2026-03-02T16:30:00Z,40.60,61.00
2026-03-02T16:31:00Z,38.55,61.00
2026-03-02T16:32:00Z,35.51,63.40
2026-03-02T16:33:00Z,34.95,66.00
2026-03-02T16:34:00Z,37.13,64.77
2026-03-02T16:35:00Z,31.62,69.38
2026-03-02T16:36:00Z,28.45,72.41
2026-03-02T16:37:00Z,29.27,74.31
2026-03-02T16:38:00Z,21.71,77.40
2026-03-02T16:39:00Z,19.31,80.13
2026-03-02T16:40:00Z,17.41,81.36
2026-03-02T16:41:00Z,16.56,84.00
2026-03-02T16:42:00Z,15.99,84.00
2026-03-02T16:43:00Z,16.66,84.66
2026-03-02T16:44:00Z,15.01,84.85
2026-03-02T16:45:00Z,15.83,85.14
2026-03-02T16:46:00Z,15.26,86.05
2026-03-02T16:47:00Z,13.60,88.09
2026-03-02T16:48:00Z,12.16,89.93
2026-03-02T16:49:00Z,12.31,85.94
2026-03-02T16:50:00Z,11.44,89.92
2026-03-02T16:51:00Z,12.19,89.65
2026-03-02T16:52:00Z,11.58,87.36
2026-03-02T16:53:00Z,10.91,89.58
2026-03-02T16:54:00Z,11.00,90.00
2026-03-02T16:55:00Z,12.71,90.00
2026-03-02T16:56:00Z,12.90,87.00
2026-03-02T16:57:00Z,13.73,87.66
2026-03-02T16:58:00Z,11.75,88.00
2026-03-02T16:59:00Z,11.51,88.53
2026-03-02T17:00:00Z,12.00,88.90
2026-03-02T17:01:00Z,11.98,89.00
2026-03-02T17:02:00Z,12.04,89.00
2026-03-02T17:03:00Z,12.85,89.00
2026-03-02T17:04:00Z,10.54,89.04
2026-03-02T17:05:00Z,12.01,88.42
2026-03-02T17:06:00Z,10.42,91.70
2026-03-02T17:07:00Z,12.03,88.78
2026-03-02T17:08:00Z,12.65,85.34
2026-03-02T17:09:00Z,15.10,86.14
2026-03-02T17:10:00Z,13.73,86.99
2026-03-02T17:11:00Z,15.12,86.53
2026-03-02T17:12:00Z,18.43,80.21
2026-03-02T17:13:00Z,21.00,78.29
2026-03-02T17:14:00Z,26.83,72.54
2026-03-02T17:15:00Z,31.28,69.43
2026-03-02T17:16:00Z,32.61,65.61
2026-03-02T17:17:00Z,33.73,66.43
2026-03-02T17:18:00Z,33.00,68.00
2026-03-02T17:19:00Z,33.35,68.17
2026-03-02T17:20:00Z,32.34,69.92
2026-03-02T17:21:00Z,29.35,70.96
2026-03-02T17:22:00Z,29.48,71.80
2026-03-02T17:23:00Z,27.85,73.20
2026-03-02T17:24:00Z,26.66,75.23
2026-03-02T17:25:00Z,26.08,77.19
2026-03-02T17:26:00Z,29.13,71.86
2026-03-02T17:27:00Z,28.97,72.15
2026-03-02T17:28:00Z,30.29,72.42
2026-03-02T17:29:00Z,28.02,73.56
2026-03-02T17:30:00Z,32.33,68.36
2026-03-02T17:31:00Z,33.99,67.21
2026-03-02T17:32:00Z,34.38,67.14
2026-03-02T17:33:00Z,36.36,65.26
2026-03-02T17:34:00Z,36.54,65.90
2026-03-02T17:35:00Z,38.07,62.15
2026-03-02T17:36:00Z,33.48,65.56
2026-03-02T17:37:00Z,34.21,67.99
2026-03-02T17:38:00Z,37.87,63.85
2026-03-02T17:39:00Z,38.67,63.88
2026-03-02T17:40:00Z,33.94,69.23
2026-03-02T17:41:00Z,33.57,67.55
2026-03-02T17:42:00Z,34.01,68.12
2026-03-02T17:43:00Z,37.42,63.47
2026-03-02T17:44:00Z,38.15,63.19
2026-03-02T17:45:00Z,37.38,64.02
2026-03-02T17:46:00Z,37.25,65.04
2026-03-02T17:47:00Z,38.31,63.32
2026-03-02T17:48:00Z,36.99,64.14
2026-03-02T17:49:00Z,34.96,67.14
2026-03-02T17:50:00Z,34.46,66.04
2026-03-02T17:51:00Z,26.90,73.33
2026-03-02T17:52:00Z,30.55,69.92
2026-03-02T17:53:00Z,32.79,67.66
2026-03-02T17:54:00Z,30.94,71.42
2026-03-02T17:55:00Z,29.55,70.77
2026-03-02T17:56:00Z,22.29,75.27
2026-03-02T17:57:00Z,18.75,81.83
2026-03-02T17:58:00Z,19.69,81.22
2026-03-02T17:59:00Z,22.14,79.65
2026-03-02T18:00:00Z,24.38,75.72
2026-03-02T18:01:00Z,32.34,67.29
2026-03-02T18:02:00Z,40.72,58.01
2026-03-02T18:03:00Z,40.45,60.16
2026-03-02T18:04:00Z,38.89,61.03
2026-03-02T18:05:00Z,39.98,61.25
2026-03-02T18:06:00Z,40.80,60.91
2026-03-02T18:07:00Z,36.37,63.80
2026-03-02T18:08:00Z,38.71,65.90
2026-03-02T18:09:00Z,45.36,54.45
2026-03-02T18:10:00Z,47.29,53.43
2026-03-02T18:11:00Z,44.85,55.34
2026-03-02T18:12:00Z,54.48,46.38
2026-03-02T18:13:00Z,49.27,51.58
2026-03-02T18:14:00Z,41.10,58.45
2026-03-02T18:15:00Z,42.00,59.09
2026-03-02T18:16:00Z,45.56,54.65
2026-03-02T18:17:00Z,46.69,52.40
2026-03-02T18:18:00Z,46.93,52.12
2026-03-02T18:19:00Z,45.68,54.72
2026-03-02T18:20:00Z,55.97,44.41
2026-03-02T18:21:00Z,48.12,50.82
2026-03-02T18:22:00Z,46.67,55.75
2026-03-02T18:23:00Z,50.40,53.24
2026-03-02T18:24:00Z,51.48,51.82
2026-03-02T18:25:00Z,53.40,47.67
2026-03-02T18:26:00Z,52.02,48.83
2026-03-02T18:27:00Z,57.47,45.81
2026-03-02T18:28:00Z,58.66,43.76
2026-03-02T18:29:00Z,53.08,51.29
2026-03-02T18:30:00Z,52.69,49.91
2026-03-02T18:31:00Z,46.44,54.14
2026-03-02T18:32:00Z,34.42,67.03
2026-03-02T18:33:00Z,29.75,72.26
2026-03-02T18:34:00Z,15.33,85.64
2026-03-02T18:35:00Z,14.86,85.77
2026-03-02T18:36:00Z,15.13,84.08
2026-03-02T18:37:00Z,18.05,86.40
2026-03-02T18:38:00Z,13.06,86.93
2026-03-02T18:39:00Z,12.06,88.29
2026-03-02T18:40:00Z,7.45,92.85
2026-03-02T18:41:00Z,6.20,94.57
2026-03-02T18:42:00Z,8.20,94.34
2026-03-02T18:43:00Z,9.19,93.07
2026-03-02T18:44:00Z,7.11,92.52
2026-03-02T18:45:00Z,7.21,93.16
2026-03-02T18:46:00Z,8.81,92.73
2026-03-02T18:47:00Z,9.46,91.70
2026-03-02T18:48:00Z,7.09,94.42
2026-03-02T18:49:00Z,7.04,92.20
2026-03-02T18:50:00Z,17.92,82.38
2026-03-02T18:51:00Z,30.83,64.33
2026-03-02T18:52:00Z,24.43,74.22
2026-03-02T18:53:00Z,7.10,94.53
2026-03-02T18:54:00Z,8.49,90.53
2026-03-02T18:55:00Z,37.28,69.31
2026-03-02T18:56:00Z,42.61,57.99
2026-03-02T18:57:00Z,42.28,57.90
2026-03-02T18:58:00Z,50.66,42.83
2026-03-02T18:59:00Z,62.64,41.23
2026-03-02T19:00:00Z,56.83,43.82
2026-03-02T19:01:00Z,53.40,44.54
2026-03-02T19:02:00Z,46.66,50.96
2026-03-02T19:03:00Z,44.04,55.33
2026-03-02T19:04:00Z,42.95,56.12
