# event_ticker=KXATPCHALLENGERMATCH-26APR21BERJIA
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Filip Cristian Jianu
# fav_player=Remy Bertola
# dog_player=Filip Cristian Jianu
# kalshi_date=2026-04-21
timestamp,Remy Bertola,Filip Cristian Jianu
2026-04-20T21:55:00Z,59.00,
2026-04-21T01:33:00Z,59.00,45.00
2026-04-21T01:49:00Z,56.00,45.00
2026-04-21T02:03:00Z,56.00,45.00
2026-04-21T02:07:00Z,56.00,45.00
2026-04-21T02:09:00Z,56.00,45.00
2026-04-21T02:47:00Z,56.00,45.43
2026-04-21T03:35:00Z,56.00,45.43
2026-04-21T04:00:00Z,53.00,45.43
2026-04-21T04:22:00Z,56.00,45.43
2026-04-21T05:12:00Z,56.00,45.43
2026-04-21T05:20:00Z,56.91,45.43
2026-04-21T05:37:00Z,57.00,45.43
2026-04-21T05:48:00Z,57.00,45.00
2026-04-21T06:10:00Z,57.00,45.00
2026-04-21T06:19:00Z,57.00,45.00
2026-04-21T06:35:00Z,57.00,45.00
2026-04-21T06:38:00Z,57.00,45.00
2026-04-21T07:55:00Z,57.00,45.00
2026-04-21T08:00:00Z,57.00,45.00
2026-04-21T08:04:00Z,57.00,45.36
2026-04-21T08:07:00Z,58.00,45.36
2026-04-21T08:08:00Z,58.00,45.36
2026-04-21T08:09:00Z,58.00,45.36
2026-04-21T08:10:00Z,55.39,46.23
2026-04-21T08:11:00Z,47.06,54.00
2026-04-21T08:12:00Z,45.75,59.86
2026-04-21T08:13:00Z,43.02,57.36
2026-04-21T08:14:00Z,44.00,57.69
2026-04-21T08:15:00Z,47.02,56.22
2026-04-21T08:16:00Z,53.49,54.39
2026-04-21T08:17:00Z,53.14,50.00
2026-04-21T08:18:00Z,56.23,44.00
2026-04-21T08:19:00Z,59.72,43.98
2026-04-21T08:20:00Z,57.78,45.67
2026-04-21T08:21:00Z,58.16,43.03
2026-04-21T08:22:00Z,58.82,43.03
2026-04-21T08:23:00Z,57.77,45.39
2026-04-21T08:24:00Z,57.81,45.96
2026-04-21T08:25:00Z,59.92,42.09
2026-04-21T08:26:00Z,60.96,42.00
2026-04-21T08:27:00Z,62.53,39.51
2026-04-21T08:28:00Z,62.91,38.64
2026-04-21T08:29:00Z,56.47,44.95
2026-04-21T08:30:00Z,58.33,46.24
2026-04-21T08:31:00Z,58.35,45.73
2026-04-21T08:32:00Z,48.83,54.34
2026-04-21T08:33:00Z,42.69,60.51
2026-04-21T08:34:00Z,41.04,60.99
2026-04-21T08:35:00Z,49.69,49.86
2026-04-21T08:36:00Z,53.48,47.34
2026-04-21T08:37:00Z,47.07,57.24
2026-04-21T08:38:00Z,46.91,55.52
2026-04-21T08:39:00Z,44.71,53.90
2026-04-21T08:40:00Z,48.56,53.17
2026-04-21T08:41:00Z,47.90,53.70
2026-04-21T08:42:00Z,40.54,57.89
2026-04-21T08:43:00Z,39.43,61.38
2026-04-21T08:44:00Z,41.95,58.48
2026-04-21T08:45:00Z,38.09,61.02
2026-04-21T08:46:00Z,41.47,62.00
2026-04-21T08:47:00Z,42.03,58.04
2026-04-21T08:48:00Z,46.18,56.06
2026-04-21T08:49:00Z,52.27,50.93
2026-04-21T08:50:00Z,57.54,43.85
2026-04-21T08:51:00Z,58.15,41.72
2026-04-21T08:52:00Z,56.06,46.01
2026-04-21T08:53:00Z,39.52,56.43
2026-04-21T08:54:00Z,37.50,63.67
2026-04-21T08:55:00Z,32.31,67.78
2026-04-21T08:56:00Z,32.67,69.52
2026-04-21T08:57:00Z,31.57,69.87
2026-04-21T08:58:00Z,31.96,68.62
2026-04-21T08:59:00Z,31.77,69.00
2026-04-21T09:00:00Z,30.40,73.92
2026-04-21T09:01:00Z,25.87,75.19
2026-04-21T09:02:00Z,22.25,80.99
2026-04-21T09:03:00Z,17.38,84.32
2026-04-21T09:04:00Z,22.87,80.73
2026-04-21T09:05:00Z,18.05,83.47
2026-04-21T09:06:00Z,14.28,86.00
2026-04-21T09:07:00Z,16.25,84.06
2026-04-21T09:08:00Z,18.99,80.61
2026-04-21T09:09:00Z,19.08,81.06
2026-04-21T09:10:00Z,15.83,84.78
2026-04-21T09:11:00Z,11.99,87.86
2026-04-21T09:12:00Z,16.20,85.01
2026-04-21T09:13:00Z,14.03,86.05
2026-04-21T09:14:00Z,13.31,86.14
2026-04-21T09:15:00Z,12.87,88.12
2026-04-21T09:16:00Z,8.76,91.16
2026-04-21T09:17:00Z,8.17,90.82
2026-04-21T09:18:00Z,3.82,96.28
2026-04-21T09:19:00Z,3.99,95.16
2026-04-21T09:20:00Z,9.12,94.31
2026-04-21T09:21:00Z,4.12,96.88
2026-04-21T09:22:00Z,2.92,97.58
2026-04-21T09:23:00Z,1.37,98.92
2026-04-21T09:24:00Z,1.99,97.09
2026-04-21T09:25:00Z,2.00,97.98
2026-04-21T09:26:00Z,2.01,97.98
2026-04-21T09:27:00Z,1.00,98.11
2026-04-21T09:28:00Z,1.00,99.00
2026-04-21T09:29:00Z,1.00,99.00
2026-04-21T09:30:00Z,1.00,99.00
2026-04-21T09:31:00Z,1.00,99.00
2026-04-21T09:32:00Z,1.00,99.00
