# event_ticker=KXATPCHALLENGERMATCH-26FEB10BLAWEB
# final_score=6-1 6-3
# match_winner=Darwin Blanch
# fav_player=Darwin Blanch
# dog_player=Arthur Weber
# kalshi_date=2026-02-10
timestamp,Darwin Blanch,Arthur Weber
2026-02-10T15:40:00Z,,20.00
2026-02-10T15:48:00Z,75.00,20.00
2026-02-10T15:49:00Z,80.00,20.00
2026-02-10T15:55:00Z,80.00,20.00
2026-02-10T15:57:00Z,80.00,20.00
2026-02-10T16:55:00Z,80.00,23.00
2026-02-10T17:38:00Z,80.00,23.00
2026-02-10T17:39:00Z,80.00,23.00
2026-02-10T18:35:00Z,80.00,23.00
2026-02-10T18:36:00Z,80.00,23.00
2026-02-10T18:37:00Z,80.00,22.83
2026-02-10T18:53:00Z,80.00,22.75
2026-02-10T19:03:00Z,80.00,22.75
2026-02-10T19:05:00Z,80.00,22.75
2026-02-10T19:45:00Z,80.00,23.00
2026-02-10T19:56:00Z,79.00,23.00
2026-02-10T20:06:00Z,79.00,23.00
2026-02-10T20:56:00Z,79.00,22.00
2026-02-10T21:03:00Z,79.00,20.00
2026-02-10T21:13:00Z,78.44,20.00
2026-02-10T21:18:00Z,78.44,21.88
2026-02-10T21:31:00Z,79.00,21.88
2026-02-10T21:32:00Z,79.00,21.88
2026-02-10T21:51:00Z,79.00,21.00
2026-02-10T21:52:00Z,79.00,21.00
2026-02-10T22:01:00Z,79.00,22.00
2026-02-10T22:16:00Z,79.00,22.99
2026-02-10T22:27:00Z,79.00,20.00
2026-02-10T22:45:00Z,79.00,23.00
2026-02-10T22:53:00Z,79.00,23.00
2026-02-10T22:59:00Z,79.00,23.00
2026-02-10T23:04:00Z,79.00,23.00
2026-02-10T23:14:00Z,79.00,23.00
2026-02-10T23:25:00Z,79.00,23.00
2026-02-10T23:51:00Z,79.00,22.00
2026-02-10T23:57:00Z,79.87,22.00
2026-02-10T23:58:00Z,79.87,22.00
2026-02-11T00:02:00Z,79.87,22.30
2026-02-11T00:07:00Z,79.87,23.00
2026-02-11T00:09:00Z,80.00,23.00
2026-02-11T00:14:00Z,80.00,20.00
2026-02-11T00:17:00Z,80.00,20.00
2026-02-11T00:26:00Z,80.00,20.00
2026-02-11T00:27:00Z,80.00,20.00
2026-02-11T00:33:00Z,80.00,20.00
2026-02-11T00:46:00Z,80.62,20.00
2026-02-11T00:47:00Z,81.00,20.00
2026-02-11T00:50:00Z,81.00,20.00
2026-02-11T00:53:00Z,81.00,20.00
2026-02-11T00:59:00Z,81.00,22.00
2026-02-11T01:01:00Z,81.00,22.00
2026-02-11T01:08:00Z,81.00,22.00
2026-02-11T01:13:00Z,81.33,22.00
2026-02-11T01:16:00Z,81.33,21.00
2026-02-11T01:17:00Z,81.00,21.00
2026-02-11T01:18:00Z,81.83,21.00
2026-02-11T01:23:00Z,81.00,21.00
2026-02-11T01:30:00Z,81.00,20.00
2026-02-11T01:31:00Z,83.00,20.00
2026-02-11T01:39:00Z,83.00,20.00
2026-02-11T01:51:00Z,83.00,20.00
