# event_ticker=KXATPMATCH-26JAN12VAVDIA
# final_score=6-3 7-6(4)
# score_resolution=6-3 7-6
# match_winner=Andrea Vavassori
# fav_player=Andrea Vavassori
# dog_player=Gabriel Diallo
# kalshi_date=2026-01-12
timestamp,Andrea Vavassori,Gabriel Diallo
2026-01-12T17:23:00Z,,74.00
2026-01-12T17:48:00Z,,74.00
2026-01-12T18:31:00Z,28.62,74.00
2026-01-12T20:14:00Z,28.62,74.00
2026-01-12T22:06:00Z,28.62,73.00
2026-01-12T22:11:00Z,28.62,74.00
2026-01-12T22:12:00Z,28.62,74.00
2026-01-12T22:35:00Z,29.00,74.00
2026-01-13T00:14:00Z,29.00,74.00
2026-01-13T02:34:00Z,29.00,74.00
2026-01-13T02:38:00Z,27.00,74.00
2026-01-13T03:18:00Z,27.00,74.00
2026-01-13T03:22:00Z,29.00,74.00
2026-01-13T03:23:00Z,29.00,74.00
2026-01-13T03:32:00Z,29.00,74.00
2026-01-13T03:49:00Z,29.00,74.00
2026-01-13T03:51:00Z,27.00,74.00
2026-01-13T03:55:00Z,29.00,74.00
2026-01-13T03:56:00Z,29.00,74.00
2026-01-13T03:57:00Z,29.00,74.00
2026-01-13T04:00:00Z,29.00,74.00
2026-01-13T04:02:00Z,29.00,74.00
2026-01-13T04:03:00Z,29.00,74.00
2026-01-13T04:10:00Z,28.00,74.00
2026-01-13T04:11:00Z,28.00,74.00
2026-01-13T04:15:00Z,28.00,74.00
2026-01-13T04:16:00Z,28.00,74.00
2026-01-13T04:18:00Z,28.00,74.00
2026-01-13T04:20:00Z,28.00,74.00
2026-01-13T04:24:00Z,28.00,74.00
2026-01-13T04:33:00Z,28.00,74.00
2026-01-13T04:35:00Z,28.00,74.00
2026-01-13T04:44:00Z,28.00,74.00
2026-01-13T04:45:00Z,28.00,74.00
2026-01-13T04:46:00Z,28.00,74.00
2026-01-13T04:47:00Z,28.00,74.00
2026-01-13T04:50:00Z,27.00,74.00
2026-01-13T04:53:00Z,26.00,75.00
2026-01-13T04:54:00Z,26.00,75.00
2026-01-13T04:55:00Z,26.00,75.61
2026-01-13T04:57:00Z,26.40,73.00
2026-01-13T04:58:00Z,31.21,72.00
2026-01-13T04:59:00Z,26.81,73.50
2026-01-13T05:00:00Z,30.00,73.00
2026-01-13T05:01:00Z,29.00,67.00
2026-01-13T05:03:00Z,33.00,67.00
2026-01-13T05:04:00Z,26.00,77.16
