# event_ticker=KXATPMATCH-25SEP22MUSSHE
# final_score=6-3 6-1
# score_resolution=3-6 1-6
# match_winner=Lorenzo Musetti
# fav_player=Alexander Shevchenko
# dog_player=Lorenzo Musetti
# kalshi_date=2025-09-22
timestamp,Alexander Shevchenko,Lorenzo Musetti
2025-09-22T01:13:00Z,,81.00
2025-09-22T01:14:00Z,20.00,81.00
2025-09-22T01:16:00Z,20.00,81.00
2025-09-22T01:23:00Z,20.00,81.00
2025-09-22T01:25:00Z,20.00,81.00
2025-09-22T01:30:00Z,20.00,81.00
2025-09-22T01:38:00Z,20.00,81.00
2025-09-22T01:41:00Z,20.00,81.00
2025-09-22T01:43:00Z,20.00,81.00
2025-09-22T01:44:00Z,20.00,79.00
2025-09-22T01:45:00Z,20.00,79.00
2025-09-22T01:51:00Z,20.73,81.00
2025-09-22T02:06:00Z,20.95,81.00
2025-09-22T02:07:00Z,21.00,81.00
2025-09-22T02:08:00Z,21.00,81.00
2025-09-22T02:09:00Z,21.00,81.00
2025-09-22T02:10:00Z,21.00,81.00
2025-09-22T02:13:00Z,21.00,81.00
2025-09-22T02:17:00Z,21.00,81.00
2025-09-22T02:19:00Z,20.00,81.00
2025-09-22T02:27:00Z,20.00,81.00
2025-09-22T02:28:00Z,20.00,81.00
2025-09-22T02:30:00Z,20.00,81.00
2025-09-22T02:31:00Z,20.00,81.00
2025-09-22T02:35:00Z,20.00,81.29
2025-09-22T02:36:00Z,20.00,81.58
2025-09-22T02:37:00Z,20.00,81.58
2025-09-22T02:38:00Z,20.00,81.99
2025-09-22T02:39:00Z,20.00,81.99
2025-09-22T02:44:00Z,20.00,81.99
2025-09-22T02:53:00Z,20.00,81.99
2025-09-22T02:57:00Z,20.00,81.99
2025-09-22T02:58:00Z,20.00,81.99
2025-09-22T03:02:00Z,20.00,81.00
2025-09-22T03:06:00Z,20.00,81.00
2025-09-22T03:08:00Z,20.00,82.00
2025-09-22T03:10:00Z,20.00,82.00
2025-09-22T03:11:00Z,20.00,82.00
2025-09-22T03:12:00Z,20.00,82.00
2025-09-22T03:13:00Z,20.00,82.00
2025-09-22T03:14:00Z,20.00,82.00
2025-09-22T03:16:00Z,20.00,82.00
2025-09-22T03:20:00Z,20.00,82.00
2025-09-22T03:22:00Z,20.00,82.00
2025-09-22T03:24:00Z,20.00,81.70
2025-09-22T03:26:00Z,20.00,82.00
2025-09-22T03:27:00Z,20.00,82.00
2025-09-22T03:30:00Z,20.00,82.00
2025-09-22T03:31:00Z,19.00,82.00
2025-09-22T03:32:00Z,19.00,82.00
2025-09-22T03:33:00Z,19.00,82.00
2025-09-22T03:35:00Z,19.85,82.00
2025-09-22T03:36:00Z,19.85,82.00
2025-09-22T03:37:00Z,20.00,82.00
2025-09-22T03:39:00Z,20.00,82.00
2025-09-22T03:40:00Z,20.00,82.00
2025-09-22T03:41:00Z,20.00,82.00
2025-09-22T03:43:00Z,20.00,82.00
2025-09-22T03:44:00Z,20.00,82.00
2025-09-22T03:46:00Z,20.00,82.00
2025-09-22T03:47:00Z,20.00,82.00
2025-09-22T03:48:00Z,20.00,82.00
2025-09-22T03:49:00Z,20.00,82.00
2025-09-22T03:51:00Z,20.00,82.00
2025-09-22T03:52:00Z,20.00,82.00
2025-09-22T03:53:00Z,20.00,82.00
