# event_ticker=KXATPMATCH-26MAR06BERPAU
# final_score=6-1 6-2
# match_winner=Tommy Paul
# fav_player=Tommy Paul
# dog_player=Zizou Bergs
# kalshi_date=2026-03-06
timestamp,Tommy Paul,Zizou Bergs
2026-03-06T16:06:00Z,80.00,
2026-03-06T16:07:00Z,80.00,
2026-03-06T16:15:00Z,80.00,
2026-03-06T16:18:00Z,80.00,
2026-03-06T16:25:00Z,80.00,
2026-03-06T16:34:00Z,80.00,
2026-03-06T16:44:00Z,80.00,21.00
2026-03-06T16:57:00Z,80.00,21.00
2026-03-06T17:04:00Z,80.00,21.00
2026-03-06T17:14:00Z,80.00,21.00
2026-03-06T17:24:00Z,80.00,21.00
2026-03-06T17:32:00Z,80.00,21.00
2026-03-06T17:34:00Z,80.00,21.00
2026-03-06T17:58:00Z,80.00,21.00
2026-03-06T18:23:00Z,80.00,21.00
2026-03-06T18:28:00Z,80.00,21.00
2026-03-06T18:34:00Z,77.00,21.00
2026-03-06T18:37:00Z,78.00,21.00
2026-03-06T18:41:00Z,78.00,21.00
2026-03-06T18:50:00Z,78.00,21.00
2026-03-06T18:55:00Z,78.00,21.00
2026-03-06T18:58:00Z,78.00,21.00
2026-03-06T18:59:00Z,78.00,21.00
2026-03-06T19:02:00Z,78.00,21.00
2026-03-06T19:11:00Z,79.00,21.00
2026-03-06T19:13:00Z,79.00,21.00
2026-03-06T19:18:00Z,79.00,21.00
2026-03-06T19:22:00Z,79.00,21.00
2026-03-06T19:29:00Z,79.00,21.00
2026-03-06T19:31:00Z,79.00,21.00
2026-03-06T19:48:00Z,79.00,21.00
2026-03-06T19:51:00Z,79.00,21.00
2026-03-06T19:57:00Z,79.00,20.00
2026-03-06T20:16:00Z,79.00,20.00
2026-03-06T20:18:00Z,78.00,21.00
2026-03-06T20:27:00Z,78.00,21.00
2026-03-06T20:30:00Z,78.00,21.00
2026-03-06T20:33:00Z,78.00,21.00
2026-03-06T20:41:00Z,78.00,21.00
2026-03-06T20:42:00Z,77.00,21.00
2026-03-06T20:48:00Z,77.00,21.00
