# event_ticker=KXATPCHALLENGERMATCH-26JUN02STRHUR
# final_score=6-7(5) 6-3 7-6(4)
# score_resolution=6-7 6-3 7-6
# match_winner=Robert Strombachs
# fav_player=Robert Strombachs
# dog_player=Millen Hurrion
# kalshi_date=2026-06-02
timestamp,Robert Strombachs,Millen Hurrion
2026-06-02T03:05:00Z,57.00,
2026-06-02T03:06:00Z,57.00,
2026-06-02T03:18:00Z,57.00,44.00
2026-06-02T03:59:00Z,57.00,44.00
2026-06-02T04:50:00Z,57.00,44.00
2026-06-02T05:02:00Z,57.00,44.00
2026-06-02T05:29:00Z,57.00,44.00
2026-06-02T07:39:00Z,58.00,44.00
2026-06-02T08:03:00Z,58.00,43.00
2026-06-02T08:34:00Z,58.00,43.00
2026-06-02T10:11:00Z,60.00,43.00
2026-06-02T10:49:00Z,61.00,43.00
2026-06-02T11:17:00Z,62.00,43.00
2026-06-02T11:22:00Z,62.00,43.00
2026-06-02T11:36:00Z,57.96,43.00
2026-06-02T11:37:00Z,56.60,43.00
2026-06-02T11:38:00Z,60.00,43.00
2026-06-02T11:41:00Z,59.00,43.00
2026-06-02T11:42:00Z,57.00,43.00
2026-06-02T11:45:00Z,60.39,43.00
2026-06-02T11:47:00Z,61.94,38.00
2026-06-02T11:48:00Z,59.00,42.49
2026-06-02T11:49:00Z,59.00,42.49
2026-06-02T11:50:00Z,59.86,40.00
2026-06-02T11:52:00Z,57.00,43.00
2026-06-02T11:53:00Z,61.00,43.00
2026-06-02T11:54:00Z,64.00,40.00
2026-06-02T11:55:00Z,63.84,40.00
2026-06-02T11:56:00Z,63.84,41.90
2026-06-02T11:57:00Z,60.00,42.00
2026-06-02T11:58:00Z,57.32,42.00
2026-06-02T11:59:00Z,56.99,42.00
2026-06-02T12:00:00Z,59.04,43.44
2026-06-02T12:01:00Z,61.00,43.44
2026-06-02T12:03:00Z,64.00,36.00
2026-06-02T12:04:00Z,61.40,38.59
2026-06-02T12:06:00Z,60.11,40.18
2026-06-02T12:07:00Z,56.00,40.18
2026-06-02T12:08:00Z,51.60,48.00
2026-06-02T12:09:00Z,55.00,49.00
2026-06-02T12:10:00Z,57.00,41.00
2026-06-02T12:11:00Z,58.00,44.00
2026-06-02T12:12:00Z,60.52,42.00
2026-06-02T12:13:00Z,65.39,35.99
2026-06-02T12:14:00Z,61.44,39.01
2026-06-02T12:15:00Z,58.00,39.01
2026-06-02T12:16:00Z,54.74,44.00
2026-06-02T12:17:00Z,54.00,45.92
2026-06-02T12:18:00Z,53.93,45.47
2026-06-02T12:19:00Z,62.64,37.00
2026-06-02T12:20:00Z,71.42,27.38
2026-06-02T12:21:00Z,74.00,25.50
2026-06-02T12:22:00Z,71.74,31.99
2026-06-02T12:23:00Z,67.67,32.47
2026-06-02T12:24:00Z,65.34,37.26
2026-06-02T12:25:00Z,46.65,53.01
2026-06-02T12:26:00Z,41.01,58.75
2026-06-02T12:27:00Z,36.51,61.83
2026-06-02T12:28:00Z,34.00,67.00
2026-06-02T12:29:00Z,31.45,69.00
2026-06-02T12:30:00Z,35.00,68.00
2026-06-02T12:31:00Z,33.31,64.00
2026-06-02T12:32:00Z,35.17,66.09
2026-06-02T12:33:00Z,37.06,66.09
2026-06-02T12:34:00Z,38.42,62.08
2026-06-02T12:35:00Z,47.44,53.16
2026-06-02T12:36:00Z,54.62,46.00
2026-06-02T12:37:00Z,55.74,47.00
2026-06-02T12:38:00Z,56.00,47.00
2026-06-02T12:39:00Z,56.27,47.00
2026-06-02T12:40:00Z,54.12,46.00
2026-06-02T12:41:00Z,54.94,45.00
2026-06-02T12:42:00Z,56.00,46.00
2026-06-02T12:43:00Z,58.99,44.00
2026-06-02T12:44:00Z,59.00,44.00
2026-06-02T12:45:00Z,58.87,40.58
2026-06-02T12:46:00Z,58.00,40.58
2026-06-02T12:47:00Z,58.94,43.35
2026-06-02T12:48:00Z,55.02,46.00
2026-06-02T12:49:00Z,53.85,46.00
2026-06-02T12:50:00Z,51.45,49.98
2026-06-02T12:51:00Z,54.13,48.95
2026-06-02T12:52:00Z,56.12,48.44
2026-06-02T12:53:00Z,53.43,49.94
2026-06-02T12:54:00Z,58.00,42.43
2026-06-02T12:55:00Z,58.79,42.43
2026-06-02T12:56:00Z,60.57,42.43
2026-06-02T12:57:00Z,61.00,39.00
2026-06-02T12:58:00Z,60.88,40.91
2026-06-02T12:59:00Z,60.93,39.00
2026-06-02T13:00:00Z,60.64,39.00
2026-06-02T13:01:00Z,59.75,39.00
2026-06-02T13:02:00Z,61.00,39.00
2026-06-02T13:03:00Z,63.00,39.92
2026-06-02T13:04:00Z,63.00,39.92
2026-06-02T13:05:00Z,62.97,39.73
2026-06-02T13:06:00Z,61.39,40.32
2026-06-02T13:07:00Z,63.13,41.00
2026-06-02T13:08:00Z,63.39,40.22
2026-06-02T13:09:00Z,56.21,44.65
2026-06-02T13:10:00Z,53.71,47.00
2026-06-02T13:11:00Z,46.40,50.81
2026-06-02T13:12:00Z,39.56,60.39
2026-06-02T13:13:00Z,38.96,64.24
2026-06-02T13:14:00Z,44.63,57.79
2026-06-02T13:15:00Z,44.20,57.89
2026-06-02T13:16:00Z,53.76,49.40
2026-06-02T13:17:00Z,58.90,41.39
2026-06-02T13:18:00Z,56.36,46.13
2026-06-02T13:19:00Z,52.00,48.03
2026-06-02T13:20:00Z,50.52,48.73
2026-06-02T13:21:00Z,49.00,52.00
2026-06-02T13:22:00Z,49.61,53.12
2026-06-02T13:23:00Z,51.34,49.51
2026-06-02T13:24:00Z,52.19,47.00
2026-06-02T13:25:00Z,49.40,49.95
2026-06-02T13:26:00Z,45.11,55.00
2026-06-02T13:27:00Z,42.84,55.00
2026-06-02T13:28:00Z,45.87,54.59
2026-06-02T13:29:00Z,48.02,53.30
2026-06-02T13:30:00Z,50.61,49.00
2026-06-02T13:31:00Z,51.50,48.79
2026-06-02T13:32:00Z,43.57,51.78
2026-06-02T13:33:00Z,42.93,57.00
2026-06-02T13:34:00Z,45.36,54.22
2026-06-02T13:35:00Z,49.52,51.00
2026-06-02T13:36:00Z,49.93,51.73
2026-06-02T13:37:00Z,42.38,58.58
2026-06-02T13:38:00Z,42.23,57.79
2026-06-02T13:39:00Z,31.48,65.98
2026-06-02T13:40:00Z,23.81,76.86
2026-06-02T13:41:00Z,34.91,63.56
2026-06-02T13:42:00Z,45.47,53.03
2026-06-02T13:43:00Z,48.19,52.30
2026-06-02T13:44:00Z,41.99,57.62
2026-06-02T13:45:00Z,40.98,59.00
2026-06-02T13:46:00Z,36.41,63.18
2026-06-02T13:47:00Z,40.14,59.50
2026-06-02T13:48:00Z,44.27,56.11
2026-06-02T13:49:00Z,46.71,53.92
2026-06-02T13:50:00Z,55.38,55.33
2026-06-02T13:51:00Z,70.18,37.30
2026-06-02T13:52:00Z,90.18,10.83
2026-06-02T13:53:00Z,94.98,4.91
2026-06-02T13:54:00Z,97.69,1.42
