# event_ticker=KXATPCHALLENGERMATCH-26JUN02DALBIT
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Guillaume Dalmasso
# fav_player=Constantin Bittoun Kouzmine
# dog_player=Guillaume Dalmasso
# kalshi_date=2026-06-02
timestamp,Guillaume Dalmasso,Constantin Bittoun Kouzmine
2026-06-02T03:04:00Z,,58.00
2026-06-02T03:05:00Z,43.00,58.00
2026-06-02T03:18:00Z,43.00,58.00
2026-06-02T03:44:00Z,43.00,58.00
2026-06-02T03:47:00Z,43.00,58.00
2026-06-02T03:59:00Z,43.00,58.00
2026-06-02T04:27:00Z,43.00,58.00
2026-06-02T04:33:00Z,43.00,58.00
2026-06-02T04:37:00Z,43.00,57.00
2026-06-02T04:49:00Z,43.00,58.00
2026-06-02T05:03:00Z,43.00,58.00
2026-06-02T05:06:00Z,43.00,56.00
2026-06-02T05:10:00Z,43.00,56.00
2026-06-02T05:15:00Z,43.00,58.00
2026-06-02T05:35:00Z,43.00,58.00
2026-06-02T05:37:00Z,43.00,58.00
2026-06-02T06:22:00Z,43.00,59.00
2026-06-02T07:11:00Z,43.00,59.00
2026-06-02T07:18:00Z,43.00,59.00
2026-06-02T07:38:00Z,43.00,58.00
2026-06-02T08:02:00Z,43.00,59.00
2026-06-02T08:05:00Z,43.00,59.00
2026-06-02T08:31:00Z,43.00,59.00
2026-06-02T08:40:00Z,43.00,59.00
2026-06-02T08:47:00Z,43.00,59.00
2026-06-02T08:48:00Z,43.00,59.00
2026-06-02T08:49:00Z,43.00,59.00
2026-06-02T08:54:00Z,43.00,58.00
2026-06-02T08:55:00Z,43.00,58.00
2026-06-02T09:05:00Z,43.00,58.00
2026-06-02T09:06:00Z,43.01,58.00
2026-06-02T09:11:00Z,43.00,58.00
2026-06-02T09:25:00Z,43.00,56.96
2026-06-02T09:26:00Z,43.00,58.00
2026-06-02T09:36:00Z,40.00,58.00
2026-06-02T09:37:00Z,44.95,58.00
2026-06-02T09:40:00Z,44.00,58.00
2026-06-02T09:41:00Z,44.00,60.00
2026-06-02T09:50:00Z,52.00,48.00
2026-06-02T09:51:00Z,57.07,42.68
2026-06-02T09:52:00Z,57.00,43.00
2026-06-02T09:53:00Z,54.55,47.89
2026-06-02T09:54:00Z,47.46,52.00
2026-06-02T09:55:00Z,51.40,48.78
2026-06-02T09:56:00Z,52.00,50.18
2026-06-02T09:58:00Z,48.00,50.18
2026-06-02T09:59:00Z,51.86,50.18
2026-06-02T10:03:00Z,46.00,50.18
2026-06-02T10:04:00Z,49.01,50.18
2026-06-02T10:06:00Z,53.33,44.68
2026-06-02T10:07:00Z,62.03,37.03
2026-06-02T10:08:00Z,70.01,30.51
2026-06-02T10:09:00Z,75.00,24.00
2026-06-02T10:10:00Z,75.00,24.00
2026-06-02T10:12:00Z,75.00,24.00
2026-06-02T10:14:00Z,75.00,24.00
2026-06-02T10:15:00Z,75.00,25.71
2026-06-02T10:16:00Z,77.03,23.00
2026-06-02T10:17:00Z,78.05,22.54
2026-06-02T10:18:00Z,78.98,21.92
2026-06-02T10:19:00Z,77.00,21.92
2026-06-02T10:20:00Z,78.00,21.92
2026-06-02T10:21:00Z,76.99,23.26
2026-06-02T10:22:00Z,73.80,26.04
2026-06-02T10:23:00Z,75.00,26.04
2026-06-02T10:25:00Z,75.00,25.00
2026-06-02T10:27:00Z,75.00,25.00
2026-06-02T10:28:00Z,77.00,23.21
2026-06-02T10:29:00Z,77.00,26.00
2026-06-02T10:31:00Z,78.70,26.00
2026-06-02T10:32:00Z,80.00,21.00
2026-06-02T10:33:00Z,80.99,18.52
2026-06-02T10:34:00Z,80.75,20.60
2026-06-02T10:35:00Z,78.00,21.67
2026-06-02T10:37:00Z,75.57,26.38
2026-06-02T10:38:00Z,72.57,27.98
2026-06-02T10:39:00Z,79.00,27.98
2026-06-02T10:40:00Z,79.00,22.00
2026-06-02T10:41:00Z,83.96,19.68
2026-06-02T10:42:00Z,90.73,8.79
2026-06-02T10:43:00Z,94.00,10.00
2026-06-02T10:44:00Z,96.01,4.30
2026-06-02T10:45:00Z,98.07,3.62
2026-06-02T10:46:00Z,98.46,2.77
2026-06-02T10:47:00Z,99.00,1.00
2026-06-02T10:48:00Z,99.00,1.00
