# event_ticker=KXATPCHALLENGERMATCH-26MAR03ROCAGA
# final_score=7-5 6-2
# score_resolution=5-7 2-6
# match_winner=Henrique Rocha
# fav_player=Franco Agamenone
# dog_player=Henrique Rocha
# kalshi_date=2026-03-03
timestamp,Franco Agamenone,Henrique Rocha
2026-03-03T01:51:00Z,,72.00
2026-03-03T03:56:00Z,30.00,72.00
2026-03-03T04:38:00Z,30.00,70.00
2026-03-03T04:46:00Z,30.00,70.00
2026-03-03T05:16:00Z,30.00,70.00
2026-03-03T06:05:00Z,30.00,70.85
2026-03-03T06:16:00Z,30.00,71.00
2026-03-03T06:27:00Z,30.81,71.51
2026-03-03T06:42:00Z,31.00,71.51
2026-03-03T06:52:00Z,31.00,72.00
2026-03-03T07:01:00Z,31.00,72.00
2026-03-03T07:44:00Z,31.00,72.00
2026-03-03T07:45:00Z,32.00,72.00
2026-03-03T07:48:00Z,32.00,70.00
2026-03-03T09:54:00Z,32.00,70.00
2026-03-03T10:06:00Z,32.00,70.00
2026-03-03T10:43:00Z,32.00,70.00
2026-03-03T10:56:00Z,31.24,70.00
2026-03-03T11:15:00Z,31.00,70.00
2026-03-03T11:23:00Z,31.00,70.00
2026-03-03T12:04:00Z,31.00,70.00
2026-03-03T12:21:00Z,31.00,70.00
2026-03-03T12:24:00Z,31.93,70.00
2026-03-03T12:33:00Z,31.00,70.00
2026-03-03T12:34:00Z,31.90,70.00
2026-03-03T12:35:00Z,32.00,70.00
2026-03-03T12:36:00Z,32.00,70.00
2026-03-03T12:37:00Z,32.00,70.00
2026-03-03T12:38:00Z,32.00,70.00
2026-03-03T12:41:00Z,32.00,70.00
2026-03-03T12:43:00Z,32.00,70.00
2026-03-03T12:44:00Z,32.00,70.00
2026-03-03T12:46:00Z,32.00,70.00
2026-03-03T12:48:00Z,32.00,70.00
2026-03-03T12:50:00Z,32.00,70.00
2026-03-03T12:51:00Z,32.00,70.00
2026-03-03T13:03:00Z,31.00,70.00
2026-03-03T13:05:00Z,31.89,70.00
2026-03-03T13:07:00Z,31.96,70.00
2026-03-03T13:11:00Z,32.00,70.00
2026-03-03T13:13:00Z,32.00,70.00
2026-03-03T13:16:00Z,31.00,70.00
2026-03-03T13:22:00Z,32.00,70.00
2026-03-03T13:26:00Z,32.00,70.00
2026-03-03T13:31:00Z,31.00,70.00
2026-03-03T13:34:00Z,31.00,70.00
2026-03-03T13:36:00Z,31.00,70.00
2026-03-03T13:39:00Z,30.00,70.00
2026-03-03T13:40:00Z,30.00,72.00
2026-03-03T13:41:00Z,30.00,72.00
2026-03-03T13:42:00Z,30.00,72.00
2026-03-03T13:43:00Z,30.00,73.71
2026-03-03T13:45:00Z,29.65,76.98
2026-03-03T13:46:00Z,28.33,71.00
2026-03-03T13:47:00Z,28.33,69.00
2026-03-03T13:48:00Z,35.00,66.54
2026-03-03T13:49:00Z,36.00,65.00
2026-03-03T13:50:00Z,39.66,60.08
2026-03-03T13:51:00Z,35.76,66.00
2026-03-03T13:52:00Z,32.35,66.07
2026-03-03T13:53:00Z,30.07,69.26
2026-03-03T13:54:00Z,30.28,69.26
2026-03-03T13:55:00Z,37.00,66.00
2026-03-03T13:56:00Z,37.00,66.00
2026-03-03T13:57:00Z,32.80,69.74
2026-03-03T13:58:00Z,31.03,69.74
2026-03-03T13:59:00Z,30.16,69.74
2026-03-03T14:00:00Z,30.91,70.71
2026-03-03T14:01:00Z,36.00,67.00
2026-03-03T14:02:00Z,36.00,63.00
2026-03-03T14:03:00Z,38.02,63.00
2026-03-03T14:04:00Z,36.00,65.00
2026-03-03T14:05:00Z,40.00,62.11
2026-03-03T14:06:00Z,33.17,67.04
2026-03-03T14:07:00Z,31.49,66.30
2026-03-03T14:08:00Z,36.53,66.30
2026-03-03T14:09:00Z,40.92,66.30
2026-03-03T14:10:00Z,41.00,60.68
2026-03-03T14:11:00Z,37.04,62.12
2026-03-03T14:12:00Z,35.96,65.82
2026-03-03T14:13:00Z,32.53,69.51
2026-03-03T14:14:00Z,25.80,78.59
2026-03-03T14:15:00Z,21.66,78.14
