# event_ticker=KXATPMATCH-26FEB17BARBER
# final_score=7-6(1) 7-5
# score_resolution=6-7 5-7
# match_winner=Matteo Berrettini
# fav_player=Marcelo Tomas Barrios Vera
# dog_player=Matteo Berrettini
# kalshi_date=2026-02-17
timestamp,Marcelo Tomas Barrios Vera,Matteo Berrettini
2026-02-17T08:33:00Z,,76.00
2026-02-17T09:36:00Z,,77.00
2026-02-17T09:42:00Z,25.00,77.00
2026-02-17T09:45:00Z,25.00,77.00
2026-02-17T10:39:00Z,25.00,77.00
2026-02-17T11:29:00Z,25.00,77.00
2026-02-17T11:35:00Z,25.00,77.00
2026-02-17T12:51:00Z,25.00,77.00
2026-02-17T12:55:00Z,25.00,77.00
2026-02-17T12:58:00Z,25.00,77.00
2026-02-17T13:11:00Z,25.00,77.00
2026-02-17T13:18:00Z,25.00,77.00
2026-02-17T13:34:00Z,25.00,76.00
2026-02-17T13:42:00Z,25.00,77.00
2026-02-17T14:00:00Z,25.00,77.00
2026-02-17T14:32:00Z,25.00,77.00
2026-02-17T14:55:00Z,25.00,77.00
2026-02-17T14:58:00Z,25.00,77.00
2026-02-17T15:01:00Z,25.00,77.00
2026-02-17T15:03:00Z,25.00,77.00
2026-02-17T15:10:00Z,25.00,76.00
2026-02-17T15:13:00Z,25.00,76.56
2026-02-17T15:15:00Z,25.00,76.00
2026-02-17T15:16:00Z,25.00,76.00
2026-02-17T15:27:00Z,25.00,77.00
2026-02-17T15:31:00Z,25.00,77.00
2026-02-17T15:38:00Z,25.00,77.00
2026-02-17T15:42:00Z,25.00,77.00
2026-02-17T15:44:00Z,25.00,77.00
2026-02-17T15:50:00Z,25.00,77.00
2026-02-17T15:54:00Z,25.00,77.00
2026-02-17T16:01:00Z,25.00,76.00
2026-02-17T16:03:00Z,25.00,77.00
2026-02-17T16:26:00Z,25.00,77.00
2026-02-17T17:04:00Z,25.00,77.00
2026-02-17T17:17:00Z,25.00,77.00
2026-02-17T17:26:00Z,25.00,77.00
2026-02-17T17:36:00Z,25.00,77.00
2026-02-17T17:45:00Z,25.00,77.00
2026-02-17T17:49:00Z,25.00,77.00
2026-02-17T17:57:00Z,25.00,77.00
2026-02-17T18:02:00Z,25.00,77.00
2026-02-17T18:07:00Z,24.00,77.00
2026-02-17T18:12:00Z,24.00,77.00
2026-02-17T18:14:00Z,24.00,77.00
2026-02-17T18:17:00Z,25.00,77.00
2026-02-17T18:19:00Z,25.00,77.00
2026-02-17T18:23:00Z,25.00,76.00
2026-02-17T18:27:00Z,25.00,77.00
2026-02-17T18:28:00Z,25.00,77.00
