# event_ticker=KXATPMATCH-26MAR29SHETUR
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Alexander Shevchenko
# fav_player=Radu David Turcanu
# dog_player=Alexander Shevchenko
# kalshi_date=2026-03-29
timestamp,Radu David Turcanu,Alexander Shevchenko
2026-03-30T20:19:00Z,14.00,
2026-03-30T20:44:00Z,14.00,88.00
2026-03-30T20:51:00Z,14.00,88.00
2026-03-30T20:53:00Z,13.00,88.00
2026-03-30T21:33:00Z,13.00,88.00
2026-03-30T21:37:00Z,13.00,88.00
2026-03-30T22:11:00Z,13.00,88.00
2026-03-30T22:38:00Z,13.00,88.00
2026-03-30T23:25:00Z,14.00,88.00
2026-03-30T23:34:00Z,14.00,88.00
2026-03-30T23:35:00Z,14.00,88.00
2026-03-31T00:02:00Z,14.00,89.00
2026-03-31T00:07:00Z,14.00,89.00
2026-03-31T00:43:00Z,13.00,89.00
2026-03-31T01:09:00Z,13.00,89.00
2026-03-31T01:12:00Z,13.00,89.00
2026-03-31T01:18:00Z,13.00,89.00
2026-03-31T01:46:00Z,13.00,89.00
2026-03-31T02:06:00Z,13.00,89.00
2026-03-31T02:07:00Z,13.00,89.00
2026-03-31T02:19:00Z,13.00,89.00
2026-03-31T02:46:00Z,13.00,89.00
2026-03-31T02:49:00Z,13.00,89.00
2026-03-31T02:56:00Z,12.00,89.00
2026-03-31T02:57:00Z,11.00,89.00
2026-03-31T03:15:00Z,13.00,89.00
2026-03-31T03:19:00Z,13.00,89.00
2026-03-31T03:32:00Z,13.00,89.00
2026-03-31T03:38:00Z,13.00,89.00
2026-03-31T03:39:00Z,13.00,89.00
2026-03-31T03:45:00Z,12.00,89.00
2026-03-31T04:10:00Z,12.26,89.00
2026-03-31T04:16:00Z,12.26,89.00
2026-03-31T04:18:00Z,13.00,89.00
2026-03-31T04:25:00Z,13.00,89.00
2026-03-31T04:29:00Z,13.00,89.00
2026-03-31T04:38:00Z,13.00,89.00
2026-03-31T04:39:00Z,13.00,89.00
2026-03-31T04:40:00Z,13.00,89.00
2026-03-31T04:46:00Z,11.00,89.00
2026-03-31T04:47:00Z,12.00,89.00
2026-03-31T04:49:00Z,12.00,87.00
2026-03-31T04:53:00Z,12.00,87.00
2026-03-31T04:58:00Z,12.00,87.00
2026-03-31T05:04:00Z,12.00,87.00
2026-03-31T05:06:00Z,12.00,87.00
2026-03-31T05:12:00Z,12.00,89.47
2026-03-31T05:29:00Z,12.00,89.47
2026-03-31T05:32:00Z,12.00,89.47
2026-03-31T05:44:00Z,12.00,89.47
2026-03-31T05:45:00Z,12.00,89.47
2026-03-31T05:49:00Z,12.00,89.47
2026-03-31T05:54:00Z,12.00,89.47
2026-03-31T05:57:00Z,12.00,90.00
2026-03-31T06:02:00Z,12.00,90.00
2026-03-31T06:16:00Z,12.00,90.00
2026-03-31T06:20:00Z,11.96,90.00
2026-03-31T06:21:00Z,11.96,89.00
2026-03-31T06:35:00Z,12.00,89.00
2026-03-31T06:38:00Z,12.00,89.00
2026-03-31T06:39:00Z,11.00,89.00
2026-03-31T06:45:00Z,11.00,90.00
2026-03-31T06:46:00Z,12.00,90.00
2026-03-31T06:50:00Z,12.00,90.00
2026-03-31T06:51:00Z,11.00,90.00
2026-03-31T06:52:00Z,12.00,90.00
2026-03-31T06:55:00Z,12.00,90.00
2026-03-31T07:01:00Z,12.00,90.00
2026-03-31T07:05:00Z,12.00,90.00
2026-03-31T07:16:00Z,11.00,90.00
2026-03-31T07:17:00Z,10.00,90.00
2026-03-31T07:22:00Z,11.00,90.00
2026-03-31T07:24:00Z,11.00,90.00
2026-03-31T07:29:00Z,11.00,90.00
2026-03-31T07:35:00Z,10.00,90.00
2026-03-31T07:36:00Z,10.00,90.00
2026-03-31T07:38:00Z,10.00,90.00
2026-03-31T07:41:00Z,10.00,91.00
2026-03-31T07:42:00Z,9.00,91.00
2026-03-31T07:50:00Z,9.00,91.00
2026-03-31T07:51:00Z,9.00,91.00
2026-03-31T07:54:00Z,9.00,91.00
2026-03-31T07:56:00Z,7.00,91.00
2026-03-31T07:59:00Z,9.00,91.00
2026-03-31T08:00:00Z,8.86,91.00
2026-03-31T08:01:00Z,8.00,93.00
2026-03-31T08:03:00Z,8.00,93.00
2026-03-31T08:05:00Z,8.00,93.00
2026-03-31T08:06:00Z,8.00,93.00
2026-03-31T08:08:00Z,11.61,91.84
2026-03-31T08:09:00Z,8.64,93.00
2026-03-31T08:10:00Z,6.38,94.00
2026-03-31T08:11:00Z,5.00,95.01
2026-03-31T08:12:00Z,4.41,96.00
2026-03-31T08:13:00Z,4.00,97.00
2026-03-31T08:14:00Z,4.11,97.00
2026-03-31T08:15:00Z,6.71,95.00
2026-03-31T08:16:00Z,4.00,97.00
2026-03-31T08:17:00Z,4.00,97.00
2026-03-31T08:18:00Z,3.00,97.75
2026-03-31T08:19:00Z,2.60,97.75
2026-03-31T08:20:00Z,3.00,97.75
2026-03-31T08:21:00Z,3.00,97.00
2026-03-31T08:22:00Z,2.90,97.00
2026-03-31T08:24:00Z,3.00,97.00
2026-03-31T08:25:00Z,3.56,98.00
2026-03-31T08:26:00Z,3.00,98.00
2026-03-31T08:27:00Z,3.00,98.00
2026-03-31T08:28:00Z,3.00,98.00
2026-03-31T08:29:00Z,3.00,98.00
2026-03-31T08:30:00Z,3.00,98.00
2026-03-31T08:32:00Z,3.00,97.04
2026-03-31T08:33:00Z,3.28,97.04
2026-03-31T08:34:00Z,3.43,97.04
2026-03-31T08:35:00Z,3.07,97.34
2026-03-31T08:36:00Z,3.62,97.34
2026-03-31T08:37:00Z,3.00,97.34
2026-03-31T08:39:00Z,3.00,97.34
2026-03-31T08:40:00Z,2.81,97.34
2026-03-31T08:41:00Z,3.00,97.34
2026-03-31T08:42:00Z,3.00,97.34
2026-03-31T08:43:00Z,2.00,98.01
2026-03-31T08:44:00Z,1.34,99.00
2026-03-31T08:46:00Z,2.00,99.00
2026-03-31T08:47:00Z,1.00,99.00
2026-03-31T08:48:00Z,1.00,99.00
2026-03-31T08:49:00Z,1.00,99.00
2026-03-31T08:50:00Z,1.00,99.00
2026-03-31T08:51:00Z,1.60,98.03
2026-03-31T08:52:00Z,2.98,99.00
2026-03-31T08:53:00Z,2.43,99.00
