# event_ticker=KXATPMATCH-26FEB13UGOBAE
# final_score=7-6(5) 6-2
# score_resolution=6-7 2-6
# match_winner=Sebastian Baez
# fav_player=Camilo Ugo Carabelli
# dog_player=Sebastian Baez
# kalshi_date=2026-02-13
timestamp,Camilo Ugo Carabelli,Sebastian Baez
2026-02-13T09:53:00Z,,62.00
2026-02-13T10:00:00Z,39.00,62.00
2026-02-13T10:05:00Z,39.00,62.00
2026-02-13T10:06:00Z,39.00,62.00
2026-02-13T10:23:00Z,39.00,62.00
2026-02-13T11:03:00Z,39.00,62.00
2026-02-13T11:04:00Z,39.00,62.00
2026-02-13T11:08:00Z,39.00,62.00
2026-02-13T11:10:00Z,39.00,62.00
2026-02-13T11:28:00Z,39.00,62.00
2026-02-13T11:44:00Z,39.00,62.00
2026-02-13T12:02:00Z,39.00,62.00
2026-02-13T12:08:00Z,39.00,62.00
2026-02-13T12:12:00Z,39.00,62.00
2026-02-13T12:33:00Z,39.00,62.00
2026-02-13T12:47:00Z,39.00,62.00
2026-02-13T12:49:00Z,39.00,62.00
2026-02-13T12:50:00Z,39.00,62.00
2026-02-13T12:56:00Z,39.00,62.00
2026-02-13T13:04:00Z,39.00,63.00
2026-02-13T13:15:00Z,39.00,63.00
2026-02-13T13:22:00Z,38.00,63.00
2026-02-13T13:24:00Z,38.00,63.00
2026-02-13T13:26:00Z,38.00,63.00
2026-02-13T13:30:00Z,38.00,63.00
2026-02-13T13:31:00Z,38.00,63.00
2026-02-13T13:36:00Z,38.00,63.00
2026-02-13T13:37:00Z,38.00,63.00
2026-02-13T13:38:00Z,38.00,63.00
2026-02-13T13:42:00Z,38.00,63.00
2026-02-13T13:44:00Z,38.00,63.00
2026-02-13T13:45:00Z,38.00,63.00
2026-02-13T13:47:00Z,38.00,63.00
2026-02-13T13:57:00Z,38.00,63.00
2026-02-13T13:59:00Z,38.00,63.00
2026-02-13T14:02:00Z,38.00,63.00
2026-02-13T14:05:00Z,38.00,63.00
2026-02-13T14:08:00Z,38.00,63.00
2026-02-13T14:17:00Z,38.00,63.00
2026-02-13T14:19:00Z,38.00,63.00
2026-02-13T14:20:00Z,37.00,63.00
2026-02-13T14:23:00Z,36.00,63.00
2026-02-13T14:39:00Z,36.00,63.00
2026-02-13T14:40:00Z,36.00,64.00
2026-02-13T14:41:00Z,36.00,64.00
2026-02-13T14:46:00Z,36.00,64.00
2026-02-13T14:52:00Z,37.00,64.00
2026-02-13T15:03:00Z,37.00,64.00
2026-02-13T15:04:00Z,37.00,64.00
2026-02-13T15:05:00Z,37.00,64.00
2026-02-13T15:09:00Z,37.00,64.00
2026-02-13T15:13:00Z,37.00,62.00
2026-02-13T15:14:00Z,37.00,64.00
2026-02-13T15:18:00Z,37.00,64.00
2026-02-13T15:21:00Z,37.00,64.00
2026-02-13T15:25:00Z,37.00,64.00
2026-02-13T15:35:00Z,37.00,64.00
2026-02-13T15:41:00Z,37.00,64.00
2026-02-13T15:44:00Z,37.00,64.00
2026-02-13T15:49:00Z,37.00,64.00
