# event_ticker=KXATPCHALLENGERMATCH-26MAR24RONHER
# final_score=4-6 6-3 6-4
# match_winner=Franco Roncadelli
# fav_player=Franco Roncadelli
# dog_player=Samuel Heredia
# kalshi_date=2026-03-24
timestamp,Franco Roncadelli,Samuel Heredia
2026-03-24T09:24:00Z,,17.00
2026-03-24T10:45:00Z,85.00,17.00
2026-03-24T11:12:00Z,86.00,17.00
2026-03-24T11:55:00Z,86.00,15.00
2026-03-24T14:11:00Z,86.00,14.00
2026-03-24T14:52:00Z,85.00,14.00
2026-03-24T15:25:00Z,85.00,14.00
2026-03-24T15:31:00Z,85.00,15.00
2026-03-24T15:37:00Z,85.00,16.00
2026-03-24T16:03:00Z,86.00,16.00
2026-03-24T16:12:00Z,84.00,16.00
2026-03-24T16:24:00Z,86.00,16.00
2026-03-24T16:43:00Z,86.00,16.00
2026-03-24T16:47:00Z,86.00,16.00
2026-03-24T16:56:00Z,84.00,16.00
2026-03-24T17:16:00Z,86.00,16.00
2026-03-24T18:00:00Z,86.00,16.00
2026-03-24T18:19:00Z,86.00,16.00
2026-03-24T18:24:00Z,86.00,14.00
2026-03-24T18:42:00Z,86.00,14.00
2026-03-24T18:51:00Z,86.00,16.00
2026-03-24T19:10:00Z,86.00,16.00
2026-03-24T19:18:00Z,86.00,16.00
2026-03-24T19:23:00Z,86.00,16.00
2026-03-24T19:28:00Z,86.00,16.00
2026-03-24T19:33:00Z,86.00,16.00
2026-03-24T19:51:00Z,86.00,16.00
2026-03-24T20:11:00Z,86.00,15.00
2026-03-24T20:21:00Z,85.00,15.00
2026-03-24T20:27:00Z,85.00,16.00
2026-03-24T20:32:00Z,85.00,16.00
2026-03-24T20:37:00Z,85.00,15.00
2026-03-24T20:55:00Z,85.00,15.00
2026-03-24T20:56:00Z,85.00,15.00
2026-03-24T20:57:00Z,86.00,15.78
2026-03-24T20:58:00Z,86.00,15.00
2026-03-24T20:59:00Z,86.00,15.00
2026-03-24T21:00:00Z,86.00,14.68
2026-03-24T21:01:00Z,85.21,16.00
2026-03-24T21:02:00Z,85.21,14.00
2026-03-24T21:03:00Z,85.21,14.00
2026-03-24T21:04:00Z,87.00,15.00
2026-03-24T21:06:00Z,87.00,17.00
2026-03-24T21:07:00Z,82.90,20.62
2026-03-24T21:08:00Z,81.93,18.89
2026-03-24T21:09:00Z,84.00,16.00
2026-03-24T21:10:00Z,84.00,16.00
2026-03-24T21:11:00Z,81.02,17.00
2026-03-24T21:12:00Z,83.00,17.19
2026-03-24T21:13:00Z,82.89,16.63
2026-03-24T21:14:00Z,83.30,18.20
