# event_ticker=KXATPCHALLENGERMATCH-26MAR03GEEPER
# final_score=6-4 6-4
# match_winner=Michael Geerts
# fav_player=Michael Geerts
# dog_player=Tiago Pereira
# kalshi_date=2026-03-03
timestamp,Michael Geerts,Tiago Pereira
2026-03-03T02:29:00Z,60.00,
2026-03-03T02:36:00Z,60.00,
2026-03-03T03:22:00Z,60.00,41.00
2026-03-03T03:48:00Z,60.00,41.00
2026-03-03T03:55:00Z,60.00,41.00
2026-03-03T03:57:00Z,60.00,41.00
2026-03-03T04:15:00Z,61.00,41.00
2026-03-03T04:21:00Z,61.00,41.00
2026-03-03T04:28:00Z,61.00,41.00
2026-03-03T05:01:00Z,61.00,41.00
2026-03-03T05:20:00Z,61.00,41.00
2026-03-03T05:31:00Z,58.00,41.00
2026-03-03T05:54:00Z,60.00,41.00
2026-03-03T06:08:00Z,60.00,41.00
2026-03-03T06:09:00Z,58.00,41.00
2026-03-03T06:22:00Z,60.00,41.00
2026-03-03T06:46:00Z,60.00,42.00
2026-03-03T06:53:00Z,60.00,42.00
2026-03-03T06:57:00Z,60.00,42.00
2026-03-03T07:11:00Z,60.00,42.00
2026-03-03T07:15:00Z,60.36,42.00
2026-03-03T08:06:00Z,61.00,42.00
2026-03-03T08:23:00Z,61.00,42.00
2026-03-03T09:17:00Z,61.00,42.00
2026-03-03T09:21:00Z,61.00,42.00
2026-03-03T09:22:00Z,61.00,42.00
2026-03-03T09:48:00Z,61.00,40.00
2026-03-03T10:27:00Z,62.00,40.00
2026-03-03T10:29:00Z,62.00,40.00
2026-03-03T10:32:00Z,62.26,40.00
2026-03-03T10:33:00Z,63.00,40.00
2026-03-03T10:34:00Z,63.00,40.00
2026-03-03T10:38:00Z,63.00,40.00
2026-03-03T10:42:00Z,63.00,40.00
2026-03-03T10:43:00Z,63.00,40.00
2026-03-03T10:54:00Z,64.00,36.00
2026-03-03T10:57:00Z,64.00,36.00
2026-03-03T11:03:00Z,64.00,36.00
2026-03-03T11:11:00Z,63.56,36.00
2026-03-03T11:15:00Z,63.97,36.00
2026-03-03T11:16:00Z,64.00,39.00
