# event_ticker=KXATPCHALLENGERMATCH-26JUN04ROCLAJ
# final_score=6-4 7-5
# score_resolution=4-6 5-7
# match_winner=Henrique Rocha
# fav_player=Dusan Lajovic
# dog_player=Henrique Rocha
# kalshi_date=2026-06-04
timestamp,Henrique Rocha,Dusan Lajovic
2026-06-04T01:46:00Z,51.00,
2026-06-04T03:05:00Z,50.00,
2026-06-04T03:21:00Z,50.00,50.00
2026-06-04T03:29:00Z,50.00,50.00
2026-06-04T03:43:00Z,50.00,50.00
2026-06-04T03:49:00Z,51.00,50.00
2026-06-04T03:57:00Z,51.00,50.00
2026-06-04T04:26:00Z,51.00,50.00
2026-06-04T04:35:00Z,51.00,50.00
2026-06-04T04:46:00Z,51.00,50.00
2026-06-04T05:52:00Z,51.00,50.00
2026-06-04T06:04:00Z,51.00,50.00
2026-06-04T06:14:00Z,51.00,50.71
2026-06-04T06:22:00Z,51.00,50.91
2026-06-04T06:27:00Z,51.00,51.00
2026-06-04T06:30:00Z,51.00,51.00
2026-06-04T06:39:00Z,51.00,50.00
2026-06-04T06:51:00Z,51.00,50.00
2026-06-04T06:56:00Z,51.00,51.00
2026-06-04T06:57:00Z,51.00,51.00
2026-06-04T09:02:00Z,51.00,51.00
2026-06-04T09:06:00Z,51.00,51.00
2026-06-04T09:09:00Z,51.00,52.00
2026-06-04T09:12:00Z,51.00,52.00
2026-06-04T10:19:00Z,51.00,52.00
2026-06-04T11:11:00Z,51.00,51.00
2026-06-04T12:15:00Z,51.00,52.00
2026-06-04T12:17:00Z,51.00,52.00
2026-06-04T12:27:00Z,51.00,52.00
2026-06-04T12:28:00Z,51.00,52.00
2026-06-04T12:33:00Z,51.00,52.00
2026-06-04T12:41:00Z,51.00,52.00
2026-06-04T12:42:00Z,51.00,51.00
2026-06-04T12:44:00Z,51.00,51.00
2026-06-04T12:58:00Z,51.00,51.18
2026-06-04T13:00:00Z,50.00,51.18
2026-06-04T13:07:00Z,51.00,51.18
2026-06-04T13:14:00Z,51.00,49.00
2026-06-04T13:16:00Z,51.00,49.00
2026-06-04T13:19:00Z,51.00,49.00
2026-06-04T13:20:00Z,51.00,49.00
2026-06-04T13:21:00Z,51.00,51.00
2026-06-04T13:22:00Z,51.00,51.00
2026-06-04T13:23:00Z,50.00,50.98
2026-06-04T13:24:00Z,50.00,51.46
2026-06-04T13:27:00Z,51.00,51.00
2026-06-04T13:28:00Z,51.00,51.00
2026-06-04T13:29:00Z,51.00,51.00
2026-06-04T13:30:00Z,50.94,51.97
2026-06-04T13:31:00Z,50.98,51.97
2026-06-04T13:32:00Z,47.00,53.23
2026-06-04T13:33:00Z,49.76,52.00
2026-06-04T13:34:00Z,46.96,53.44
2026-06-04T13:35:00Z,47.96,53.52
2026-06-04T13:36:00Z,47.42,53.94
2026-06-04T13:37:00Z,47.89,54.99
2026-06-04T13:38:00Z,47.59,53.06
2026-06-04T13:39:00Z,49.02,54.59
2026-06-04T13:40:00Z,50.00,50.72
2026-06-04T13:41:00Z,46.80,55.93
2026-06-04T13:42:00Z,44.81,56.99
2026-06-04T13:43:00Z,44.01,57.00
2026-06-04T13:44:00Z,47.36,53.30
2026-06-04T13:45:00Z,46.47,55.14
