# event_ticker=KXATPCHALLENGERMATCH-26MAR04HERARN
# final_score=6-3 6-7(3) 6-3
# score_resolution=6-3 6-7 6-3
# match_winner=Pierre-Hugues Herbert
# fav_player=Pierre-Hugues Herbert
# dog_player=Gilles Arnaud Bailly
# kalshi_date=2026-03-04
timestamp,Pierre-Hugues Herbert,Gilles Arnaud Bailly
2026-03-04T14:06:00Z,64.00,37.00
2026-03-04T14:07:00Z,64.00,37.00
2026-03-04T14:08:00Z,64.00,37.00
2026-03-04T14:09:00Z,64.00,37.00
2026-03-04T14:10:00Z,64.00,37.00
2026-03-04T14:11:00Z,64.00,37.00
2026-03-04T14:14:00Z,64.00,40.00
2026-03-04T14:16:00Z,60.50,41.53
2026-03-04T14:17:00Z,60.50,44.00
2026-03-04T14:18:00Z,66.00,44.00
2026-03-04T14:23:00Z,66.00,44.00
2026-03-04T14:24:00Z,68.00,44.97
2026-03-04T14:25:00Z,68.00,44.90
2026-03-04T14:26:00Z,66.00,44.89
2026-03-04T14:27:00Z,65.62,42.41
2026-03-04T14:28:00Z,64.10,40.33
2026-03-04T14:29:00Z,64.12,38.45
2026-03-04T14:30:00Z,65.00,38.45
2026-03-04T14:31:00Z,64.29,37.00
2026-03-04T14:32:00Z,66.20,35.00
2026-03-04T14:33:00Z,68.00,33.62
2026-03-04T14:34:00Z,79.40,20.00
2026-03-04T14:35:00Z,83.80,21.90
2026-03-04T14:36:00Z,83.58,21.90
2026-03-04T14:37:00Z,87.00,13.43
2026-03-04T14:38:00Z,86.00,13.34
2026-03-04T14:39:00Z,86.22,15.00
2026-03-04T14:40:00Z,84.46,14.29
2026-03-04T14:41:00Z,90.35,12.37
2026-03-04T14:42:00Z,90.99,11.11
2026-03-04T14:43:00Z,90.94,10.40
2026-03-04T14:44:00Z,90.64,11.17
2026-03-04T14:45:00Z,90.00,11.00
2026-03-04T14:46:00Z,88.99,12.04
2026-03-04T14:47:00Z,90.00,13.09
2026-03-04T14:48:00Z,91.00,10.00
2026-03-04T14:49:00Z,91.00,11.00
2026-03-04T14:50:00Z,91.63,11.00
2026-03-04T14:51:00Z,90.00,10.86
2026-03-04T14:52:00Z,91.47,11.00
2026-03-04T14:53:00Z,88.00,11.25
2026-03-04T14:54:00Z,88.15,13.31
2026-03-04T14:55:00Z,88.01,12.28
2026-03-04T14:56:00Z,89.00,13.33
2026-03-04T14:57:00Z,91.08,9.61
2026-03-04T14:58:00Z,91.00,10.00
2026-03-04T14:59:00Z,90.22,9.07
2026-03-04T15:00:00Z,91.00,10.00
2026-03-04T15:01:00Z,91.00,10.00
2026-03-04T15:02:00Z,92.00,8.89
2026-03-04T15:03:00Z,92.81,7.85
2026-03-04T15:04:00Z,93.17,6.76
2026-03-04T15:05:00Z,94.57,8.81
2026-03-04T15:06:00Z,93.51,7.91
2026-03-04T15:07:00Z,96.99,3.11
2026-03-04T15:08:00Z,96.99,3.01
2026-03-04T15:09:00Z,97.00,2.94
2026-03-04T15:10:00Z,98.00,2.18
2026-03-04T15:11:00Z,97.86,2.47
2026-03-04T15:12:00Z,98.00,2.26
2026-03-04T15:13:00Z,98.00,2.14
2026-03-04T15:14:00Z,98.89,2.18
2026-03-04T15:15:00Z,97.02,2.87
2026-03-04T15:16:00Z,97.00,3.00
2026-03-04T15:17:00Z,97.94,2.90
2026-03-04T15:18:00Z,98.61,2.83
2026-03-04T15:19:00Z,98.55,2.99
2026-03-04T15:20:00Z,99.00,1.73
2026-03-04T15:21:00Z,98.41,2.23
2026-03-04T15:22:00Z,98.00,2.07
2026-03-04T15:23:00Z,97.00,2.00
2026-03-04T15:24:00Z,96.66,4.41
2026-03-04T15:25:00Z,93.30,8.60
2026-03-04T15:26:00Z,91.00,9.11
2026-03-04T15:27:00Z,89.91,10.24
2026-03-04T15:28:00Z,86.66,13.98
2026-03-04T15:29:00Z,86.09,14.00
2026-03-04T15:30:00Z,87.81,12.15
2026-03-04T15:31:00Z,88.04,12.04
2026-03-04T15:32:00Z,86.99,14.18
2026-03-04T15:33:00Z,89.85,11.69
2026-03-04T15:34:00Z,88.48,13.81
2026-03-04T15:35:00Z,88.02,12.45
2026-03-04T15:36:00Z,85.11,16.08
2026-03-04T15:37:00Z,84.44,16.46
2026-03-04T15:38:00Z,82.70,18.58
2026-03-04T15:39:00Z,82.65,18.03
2026-03-04T15:40:00Z,84.11,16.86
2026-03-04T15:41:00Z,86.81,14.50
2026-03-04T15:42:00Z,85.47,17.31
2026-03-04T15:43:00Z,82.63,18.03
2026-03-04T15:44:00Z,81.93,18.34
2026-03-04T15:45:00Z,80.24,22.95
2026-03-04T15:46:00Z,77.46,24.03
2026-03-04T15:47:00Z,73.35,25.60
2026-03-04T15:48:00Z,83.14,16.92
2026-03-04T15:49:00Z,86.86,14.41
2026-03-04T15:50:00Z,90.78,9.10
2026-03-04T15:51:00Z,93.84,5.54
2026-03-04T15:52:00Z,94.83,6.43
2026-03-04T15:53:00Z,92.01,10.13
2026-03-04T15:54:00Z,86.43,12.87
2026-03-04T15:55:00Z,78.94,22.06
2026-03-04T15:56:00Z,71.60,30.34
2026-03-04T15:57:00Z,64.33,34.27
2026-03-04T15:58:00Z,65.81,33.00
2026-03-04T15:59:00Z,62.82,38.39
2026-03-04T16:00:00Z,63.25,37.60
2026-03-04T16:01:00Z,68.10,31.23
2026-03-04T16:02:00Z,66.74,31.19
2026-03-04T16:03:00Z,69.38,31.50
2026-03-04T16:04:00Z,68.08,33.10
2026-03-04T16:05:00Z,64.48,35.12
2026-03-04T16:06:00Z,64.63,34.77
2026-03-04T16:07:00Z,68.97,29.59
2026-03-04T16:08:00Z,69.21,30.79
2026-03-04T16:09:00Z,69.99,30.99
2026-03-04T16:10:00Z,67.10,33.77
2026-03-04T16:11:00Z,69.86,30.70
2026-03-04T16:12:00Z,71.27,28.98
2026-03-04T16:13:00Z,68.35,32.63
2026-03-04T16:14:00Z,70.09,30.60
2026-03-04T16:15:00Z,69.71,31.95
2026-03-04T16:16:00Z,65.22,33.48
2026-03-04T16:17:00Z,71.58,29.78
2026-03-04T16:18:00Z,72.72,28.89
2026-03-04T16:19:00Z,71.98,29.02
2026-03-04T16:20:00Z,69.35,31.10
2026-03-04T16:21:00Z,70.05,30.20
2026-03-04T16:22:00Z,72.43,29.18
2026-03-04T16:23:00Z,71.74,31.70
2026-03-04T16:24:00Z,66.09,34.63
2026-03-04T16:25:00Z,68.87,30.80
2026-03-04T16:26:00Z,71.99,27.89
2026-03-04T16:27:00Z,72.97,27.39
2026-03-04T16:28:00Z,74.85,25.03
2026-03-04T16:29:00Z,78.77,19.37
2026-03-04T16:30:00Z,75.77,23.83
2026-03-04T16:31:00Z,71.98,26.66
2026-03-04T16:32:00Z,76.08,28.12
2026-03-04T16:33:00Z,82.63,16.79
