# event_ticker=KXATPCHALLENGERMATCH-26APR28BUTNUR
# final_score=6-0 6-3
# match_winner=Edas Butvilas
# fav_player=Edas Butvilas
# dog_player=Zangar Nurlanuly
# kalshi_date=2026-04-28
timestamp,Edas Butvilas,Zangar Nurlanuly
2026-04-27T21:34:00Z,,9.00
2026-04-27T21:38:00Z,92.00,9.00
2026-04-27T22:37:00Z,92.00,10.00
2026-04-28T00:05:00Z,92.00,10.00
2026-04-28T00:27:00Z,92.00,10.00
2026-04-28T00:55:00Z,92.00,10.00
2026-04-28T03:14:00Z,92.00,9.00
2026-04-28T05:18:00Z,92.00,10.00
2026-04-28T05:19:00Z,92.00,10.00
2026-04-28T06:10:00Z,92.00,10.00
2026-04-28T06:42:00Z,92.00,10.00
2026-04-28T07:42:00Z,92.00,9.00
2026-04-28T07:59:00Z,92.00,10.00
2026-04-28T08:02:00Z,92.00,10.00
2026-04-28T08:29:00Z,92.00,10.00
2026-04-28T08:42:00Z,92.00,9.00
2026-04-28T08:51:00Z,92.00,11.37
2026-04-28T08:54:00Z,92.00,11.87
2026-04-28T08:55:00Z,92.00,11.82
2026-04-28T08:56:00Z,92.00,8.00
2026-04-28T08:57:00Z,92.00,6.00
2026-04-28T08:58:00Z,92.00,5.00
2026-04-28T08:59:00Z,96.00,4.20
2026-04-28T09:00:00Z,96.00,5.37
2026-04-28T09:01:00Z,97.00,3.01
2026-04-28T09:02:00Z,97.00,4.00
2026-04-28T09:03:00Z,97.00,4.46
2026-04-28T09:05:00Z,97.00,4.00
2026-04-28T09:06:00Z,98.00,2.08
2026-04-28T09:10:00Z,98.00,2.08
2026-04-28T09:12:00Z,98.00,4.00
2026-04-28T09:15:00Z,98.00,3.00
2026-04-28T09:18:00Z,98.00,3.00
2026-04-28T09:20:00Z,98.00,3.00
2026-04-28T09:21:00Z,98.00,4.00
2026-04-28T09:22:00Z,98.00,4.00
2026-04-28T09:23:00Z,98.00,4.00
2026-04-28T09:24:00Z,98.00,4.00
2026-04-28T09:25:00Z,98.00,3.46
2026-04-28T09:27:00Z,99.00,3.46
2026-04-28T09:28:00Z,99.00,3.46
2026-04-28T09:30:00Z,99.00,1.00
2026-04-28T09:31:00Z,99.00,1.00
2026-04-28T09:32:00Z,99.00,1.00
2026-04-28T09:33:00Z,99.00,1.00
2026-04-28T09:34:00Z,99.00,3.00
2026-04-28T09:35:00Z,99.00,3.00
2026-04-28T09:36:00Z,99.00,1.00
2026-04-28T09:48:00Z,99.00,1.00
