# event_ticker=KXATPCHALLENGERMATCH-26MAR30CATZHU
# final_score=7-6(7) 1-6 6-4
# score_resolution=7-6 1-6 6-4
# match_winner=Beibit Zhukayev
# fav_player=Beibit Zhukayev
# dog_player=Robin Catry
# kalshi_date=2026-03-30
timestamp,Beibit Zhukayev,Robin Catry
2026-03-30T16:00:00Z,59.05,
2026-03-30T16:01:00Z,59.00,
2026-03-30T16:17:00Z,62.00,
2026-03-30T17:46:00Z,62.00,
2026-03-30T20:01:00Z,62.00,41.00
2026-03-30T20:33:00Z,62.00,41.00
2026-03-30T20:38:00Z,62.00,41.00
2026-03-30T21:15:00Z,62.00,41.00
2026-03-30T22:39:00Z,65.00,41.00
2026-03-30T23:02:00Z,66.00,41.00
2026-03-30T23:31:00Z,65.00,41.00
2026-03-31T00:18:00Z,65.00,41.00
2026-03-31T00:42:00Z,65.00,41.00
2026-03-31T01:06:00Z,62.00,41.00
2026-03-31T01:28:00Z,62.00,37.80
2026-03-31T01:33:00Z,64.96,37.99
2026-03-31T01:37:00Z,65.00,37.99
2026-03-31T01:38:00Z,65.00,37.67
2026-03-31T01:41:00Z,65.00,37.40
2026-03-31T01:42:00Z,64.90,37.40
2026-03-31T01:43:00Z,64.00,37.40
2026-03-31T01:44:00Z,65.00,37.40
2026-03-31T01:45:00Z,65.00,37.00
2026-03-31T01:50:00Z,65.00,37.00
2026-03-31T01:52:00Z,65.00,37.00
2026-03-31T01:53:00Z,65.00,37.00
2026-03-31T01:54:00Z,65.00,37.00
2026-03-31T01:56:00Z,65.00,37.00
2026-03-31T01:57:00Z,65.00,37.00
2026-03-31T01:58:00Z,64.93,37.00
2026-03-31T01:59:00Z,65.40,37.00
2026-03-31T02:00:00Z,65.40,37.68
2026-03-31T02:02:00Z,65.00,37.68
2026-03-31T02:05:00Z,65.00,37.68
2026-03-31T02:08:00Z,68.08,34.53
2026-03-31T02:15:00Z,68.08,36.94
2026-03-31T02:16:00Z,66.57,36.94
2026-03-31T02:17:00Z,66.57,36.00
2026-03-31T02:18:00Z,66.57,36.00
2026-03-31T02:19:00Z,67.00,36.00
