# event_ticker=KXATPCHALLENGERMATCH-26MAR17ZHUMEN
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Facundo Mena
# fav_player=Beibit Zhukayev
# dog_player=Facundo Mena
# kalshi_date=2026-03-17
timestamp,Beibit Zhukayev,Facundo Mena
2026-03-17T08:04:00Z,63.00,35.00
2026-03-17T08:50:00Z,64.00,37.00
2026-03-17T10:26:00Z,64.00,40.00
2026-03-17T11:04:00Z,65.00,40.00
2026-03-17T11:22:00Z,65.00,40.00
2026-03-17T11:27:00Z,65.00,40.00
2026-03-17T11:38:00Z,65.00,40.00
2026-03-17T11:49:00Z,65.00,40.00
2026-03-17T11:55:00Z,65.00,40.00
2026-03-17T12:47:00Z,65.00,40.00
2026-03-17T12:57:00Z,65.00,40.00
2026-03-17T14:09:00Z,65.00,41.00
2026-03-17T16:00:00Z,62.00,41.00
2026-03-17T16:05:00Z,62.00,41.00
2026-03-17T16:06:00Z,61.23,41.00
2026-03-17T16:36:00Z,60.00,41.00
2026-03-17T16:41:00Z,60.00,41.00
2026-03-17T17:29:00Z,59.00,41.00
2026-03-17T17:57:00Z,59.00,41.00
2026-03-17T17:58:00Z,59.00,42.00
2026-03-17T17:59:00Z,59.00,42.00
2026-03-17T18:01:00Z,58.00,42.50
2026-03-17T18:03:00Z,58.00,42.00
2026-03-17T18:05:00Z,58.00,42.00
2026-03-17T18:08:00Z,59.83,42.00
2026-03-17T18:16:00Z,59.83,43.00
2026-03-17T18:22:00Z,59.83,43.00
2026-03-17T18:33:00Z,59.00,43.00
2026-03-17T18:58:00Z,59.00,43.00
2026-03-17T19:06:00Z,59.00,43.00
2026-03-17T19:12:00Z,59.37,43.00
2026-03-17T19:14:00Z,61.00,43.00
2026-03-17T19:23:00Z,64.80,40.00
2026-03-17T19:26:00Z,62.00,40.00
2026-03-17T19:51:00Z,61.99,40.00
2026-03-17T19:52:00Z,62.96,40.00
2026-03-17T19:53:00Z,59.00,43.00
2026-03-17T19:54:00Z,50.01,49.16
2026-03-17T19:55:00Z,47.04,54.48
2026-03-17T19:56:00Z,56.03,49.00
2026-03-17T19:57:00Z,58.13,44.00
2026-03-17T19:58:00Z,58.00,43.00
2026-03-17T19:59:00Z,58.60,42.22
2026-03-17T20:00:00Z,59.05,39.51
2026-03-17T20:01:00Z,59.53,42.00
2026-03-17T20:02:00Z,56.30,45.00
2026-03-17T20:03:00Z,61.00,45.00
2026-03-17T20:04:00Z,59.01,45.00
2026-03-17T20:05:00Z,59.01,39.00
2026-03-17T20:06:00Z,57.02,45.00
2026-03-17T20:07:00Z,57.00,45.00
2026-03-17T20:08:00Z,55.00,45.00
2026-03-17T20:09:00Z,55.00,45.00
2026-03-17T20:11:00Z,59.00,43.00
2026-03-17T20:12:00Z,58.00,42.00
2026-03-17T20:13:00Z,58.02,47.67
2026-03-17T20:14:00Z,58.02,46.00
2026-03-17T20:15:00Z,56.93,46.00
2026-03-17T20:16:00Z,57.81,46.00
2026-03-17T20:18:00Z,57.81,44.00
2026-03-17T20:19:00Z,55.00,44.00
2026-03-17T20:20:00Z,55.00,45.00
2026-03-17T20:22:00Z,48.99,51.71
2026-03-17T20:23:00Z,54.06,46.71
2026-03-17T20:24:00Z,48.51,47.55
2026-03-17T20:25:00Z,50.00,49.69
2026-03-17T20:26:00Z,37.55,64.97
2026-03-17T20:27:00Z,30.46,64.97
2026-03-17T20:28:00Z,29.85,68.08
2026-03-17T20:29:00Z,29.85,68.00
2026-03-17T20:30:00Z,34.96,69.00
2026-03-17T20:31:00Z,34.86,69.00
2026-03-17T20:32:00Z,27.76,72.86
2026-03-17T20:33:00Z,29.00,71.00
2026-03-17T20:34:00Z,21.75,76.06
2026-03-17T20:35:00Z,19.73,83.82
2026-03-17T20:36:00Z,11.11,86.48
2026-03-17T20:37:00Z,11.00,89.08
2026-03-17T20:38:00Z,11.00,91.91
2026-03-17T20:39:00Z,6.53,93.00
2026-03-17T20:40:00Z,8.06,93.00
2026-03-17T20:41:00Z,9.00,92.00
2026-03-17T20:42:00Z,9.81,90.00
2026-03-17T20:43:00Z,17.95,78.27
2026-03-17T20:44:00Z,21.17,78.19
2026-03-17T20:45:00Z,13.85,83.87
2026-03-17T20:46:00Z,7.82,90.22
2026-03-17T20:47:00Z,13.09,90.15
2026-03-17T20:48:00Z,11.00,89.86
2026-03-17T20:49:00Z,10.00,90.19
2026-03-17T20:50:00Z,10.00,91.00
2026-03-17T20:51:00Z,8.03,91.24
2026-03-17T20:52:00Z,6.15,92.65
2026-03-17T20:53:00Z,4.84,94.41
2026-03-17T20:54:00Z,7.00,95.00
2026-03-17T20:55:00Z,7.00,94.50
2026-03-17T20:56:00Z,3.65,95.26
2026-03-17T20:57:00Z,3.97,96.92
2026-03-17T20:58:00Z,1.66,98.47
2026-03-17T20:59:00Z,1.00,98.07
2026-03-17T21:00:00Z,1.00,99.00
2026-03-17T21:01:00Z,1.23,98.58
2026-03-17T21:02:00Z,3.24,97.90
2026-03-17T21:03:00Z,3.69,94.75
2026-03-17T21:04:00Z,1.50,98.04
2026-03-17T21:05:00Z,1.00,99.00
2026-03-17T21:07:00Z,1.00,99.00
