# event_ticker=KXATPCHALLENGERMATCH-26APR21ONCSTR
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Gauthier Onclin
# fav_player=Robert Strombachs
# dog_player=Gauthier Onclin
# kalshi_date=2026-04-21
timestamp,Gauthier Onclin,Robert Strombachs
2026-04-21T07:46:00Z,,21.00
2026-04-21T10:55:00Z,82.00,21.00
2026-04-21T11:05:00Z,82.00,21.00
2026-04-21T11:27:00Z,81.00,19.00
2026-04-21T12:22:00Z,81.00,21.00
2026-04-21T12:31:00Z,81.00,21.00
2026-04-21T12:37:00Z,81.00,21.00
2026-04-21T14:18:00Z,79.06,21.00
2026-04-21T14:30:00Z,82.00,21.00
2026-04-21T15:33:00Z,82.00,20.00
2026-04-21T16:26:00Z,82.00,19.00
2026-04-21T17:07:00Z,81.00,19.00
2026-04-21T17:20:00Z,81.00,20.00
2026-04-21T17:41:00Z,81.00,20.00
2026-04-21T17:42:00Z,82.00,20.00
2026-04-21T17:45:00Z,82.00,20.00
2026-04-21T17:48:00Z,82.00,20.00
2026-04-21T17:49:00Z,82.00,20.00
2026-04-21T17:52:00Z,81.00,20.00
2026-04-21T17:57:00Z,82.00,20.00
2026-04-21T18:00:00Z,82.00,20.00
2026-04-21T18:01:00Z,82.00,20.00
2026-04-21T18:04:00Z,80.00,20.00
2026-04-21T18:11:00Z,80.00,20.00
2026-04-21T18:19:00Z,80.00,20.00
2026-04-21T18:30:00Z,80.00,20.00
2026-04-21T18:32:00Z,80.00,20.00
2026-04-21T18:33:00Z,80.00,20.00
2026-04-21T18:34:00Z,80.00,20.00
2026-04-21T18:35:00Z,81.92,20.00
2026-04-21T18:43:00Z,82.98,20.00
2026-04-21T18:44:00Z,82.00,20.00
2026-04-21T18:48:00Z,82.00,21.00
2026-04-21T18:49:00Z,82.00,21.00
2026-04-21T18:50:00Z,82.00,19.00
2026-04-21T18:52:00Z,80.06,21.10
2026-04-21T18:53:00Z,83.87,16.41
2026-04-21T18:54:00Z,83.00,19.38
2026-04-21T18:55:00Z,85.56,17.07
2026-04-21T18:56:00Z,85.56,18.00
2026-04-21T18:57:00Z,82.00,19.00
2026-04-21T18:58:00Z,82.00,19.22
2026-04-21T18:59:00Z,81.00,20.00
2026-04-21T19:00:00Z,80.00,21.00
2026-04-21T19:01:00Z,80.01,21.00
