# event_ticker=KXATPCHALLENGERMATCH-26MAR28POLGEN
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Mili Poljicak
# fav_player=Tom Gentzsch
# dog_player=Mili Poljicak
# kalshi_date=2026-03-28
timestamp,Tom Gentzsch,Mili Poljicak
2026-03-29T01:27:00Z,48.00,
2026-03-29T01:28:00Z,48.00,53.00
2026-03-29T03:09:00Z,48.00,53.00
2026-03-29T03:24:00Z,48.00,53.00
2026-03-29T03:34:00Z,46.00,53.00
2026-03-29T03:50:00Z,48.00,53.00
2026-03-29T04:07:00Z,48.00,53.00
2026-03-29T04:08:00Z,48.00,54.00
2026-03-29T04:21:00Z,48.00,54.00
2026-03-29T04:43:00Z,48.00,53.00
2026-03-29T05:17:00Z,48.00,53.00
2026-03-29T05:26:00Z,48.00,54.00
2026-03-29T05:57:00Z,48.00,54.00
2026-03-29T06:01:00Z,48.00,54.00
2026-03-29T06:07:00Z,48.00,52.00
2026-03-29T06:20:00Z,48.00,54.00
2026-03-29T06:23:00Z,48.00,54.00
2026-03-29T06:25:00Z,48.00,54.00
2026-03-29T06:31:00Z,48.00,54.00
2026-03-29T06:39:00Z,48.00,54.00
2026-03-29T06:40:00Z,47.00,54.00
2026-03-29T06:50:00Z,47.75,54.00
2026-03-29T06:51:00Z,49.00,54.00
2026-03-29T06:59:00Z,49.00,54.00
2026-03-29T07:23:00Z,49.00,54.00
2026-03-29T07:29:00Z,49.00,54.00
2026-03-29T07:32:00Z,49.00,54.00
2026-03-29T07:38:00Z,48.00,54.00
2026-03-29T07:39:00Z,48.00,54.00
2026-03-29T07:44:00Z,48.00,54.32
2026-03-29T07:56:00Z,46.00,54.32
2026-03-29T08:28:00Z,46.00,54.32
2026-03-29T08:29:00Z,46.00,54.32
2026-03-29T08:41:00Z,46.00,54.00
2026-03-29T08:42:00Z,47.00,54.00
2026-03-29T08:44:00Z,47.00,54.00
2026-03-29T08:51:00Z,47.00,54.00
2026-03-29T09:05:00Z,48.00,54.00
2026-03-29T09:13:00Z,48.00,54.00
2026-03-29T09:14:00Z,47.00,54.00
2026-03-29T09:27:00Z,47.00,54.00
2026-03-29T09:28:00Z,47.00,54.00
2026-03-29T09:30:00Z,47.00,54.00
2026-03-29T09:31:00Z,47.00,54.00
2026-03-29T09:32:00Z,46.00,54.00
2026-03-29T09:34:00Z,47.00,54.00
2026-03-29T09:37:00Z,47.00,54.00
2026-03-29T09:43:00Z,47.00,54.00
2026-03-29T09:57:00Z,47.00,54.00
2026-03-29T10:04:00Z,47.00,54.00
2026-03-29T10:14:00Z,47.88,54.00
2026-03-29T10:15:00Z,48.00,54.00
2026-03-29T10:17:00Z,49.00,54.00
2026-03-29T10:19:00Z,49.33,54.00
2026-03-29T10:20:00Z,50.00,54.00
2026-03-29T10:26:00Z,50.00,53.00
2026-03-29T10:30:00Z,50.00,53.00
2026-03-29T10:31:00Z,50.00,52.00
2026-03-29T10:40:00Z,50.00,52.00
2026-03-29T10:41:00Z,50.00,52.00
2026-03-29T10:42:00Z,50.00,53.00
2026-03-29T10:43:00Z,49.00,54.91
2026-03-29T10:44:00Z,49.00,55.00
2026-03-29T10:45:00Z,53.00,48.08
2026-03-29T10:46:00Z,53.00,48.00
2026-03-29T10:47:00Z,55.73,48.00
2026-03-29T10:48:00Z,51.63,50.39
2026-03-29T10:49:00Z,49.00,53.00
2026-03-29T10:50:00Z,50.43,52.51
2026-03-29T10:51:00Z,53.45,48.34
2026-03-29T10:52:00Z,53.00,49.00
2026-03-29T10:53:00Z,57.81,44.50
2026-03-29T10:54:00Z,53.00,47.83
2026-03-29T10:55:00Z,49.06,49.00
2026-03-29T10:56:00Z,47.00,55.00
2026-03-29T10:57:00Z,47.29,55.00
2026-03-29T10:58:00Z,46.41,53.47
2026-03-29T10:59:00Z,51.00,53.47
2026-03-29T11:00:00Z,50.96,51.00
2026-03-29T11:01:00Z,49.59,52.86
2026-03-29T11:02:00Z,47.00,54.00
2026-03-29T11:03:00Z,47.61,55.32
2026-03-29T11:04:00Z,47.83,55.32
2026-03-29T11:05:00Z,47.46,54.05
2026-03-29T11:06:00Z,40.13,59.31
2026-03-29T11:07:00Z,39.00,62.42
2026-03-29T11:08:00Z,37.37,66.53
2026-03-29T11:09:00Z,42.80,59.56
2026-03-29T11:10:00Z,48.48,53.12
2026-03-29T11:11:00Z,49.00,53.00
2026-03-29T11:12:00Z,47.00,55.00
2026-03-29T11:13:00Z,56.00,55.00
2026-03-29T11:14:00Z,52.50,47.68
2026-03-29T11:15:00Z,58.08,42.00
2026-03-29T11:16:00Z,51.21,48.64
2026-03-29T11:17:00Z,48.15,49.84
2026-03-29T11:18:00Z,48.87,49.08
2026-03-29T11:19:00Z,46.52,53.71
2026-03-29T11:20:00Z,45.37,56.80
2026-03-29T11:21:00Z,44.68,58.00
2026-03-29T11:22:00Z,31.49,68.60
2026-03-29T11:23:00Z,23.13,76.09
2026-03-29T11:24:00Z,23.20,76.08
2026-03-29T11:25:00Z,25.94,76.00
2026-03-29T11:26:00Z,18.27,78.28
2026-03-29T11:27:00Z,19.93,80.70
2026-03-29T11:28:00Z,20.68,80.00
2026-03-29T11:29:00Z,21.03,81.00
2026-03-29T11:30:00Z,19.61,84.90
2026-03-29T11:31:00Z,18.51,82.17
2026-03-29T11:32:00Z,21.00,80.01
2026-03-29T11:33:00Z,23.55,79.88
2026-03-29T11:34:00Z,23.66,76.00
2026-03-29T11:35:00Z,21.34,79.00
2026-03-29T11:36:00Z,20.57,80.53
2026-03-29T11:37:00Z,20.20,80.79
2026-03-29T11:38:00Z,21.15,79.06
2026-03-29T11:39:00Z,21.69,80.00
2026-03-29T11:40:00Z,22.59,79.00
2026-03-29T11:41:00Z,18.34,82.70
2026-03-29T11:42:00Z,15.07,86.21
2026-03-29T11:43:00Z,11.26,84.82
2026-03-29T11:44:00Z,15.97,86.64
2026-03-29T11:45:00Z,14.73,84.30
2026-03-29T11:46:00Z,16.25,85.59
2026-03-29T11:47:00Z,9.27,91.72
2026-03-29T11:48:00Z,7.73,92.43
2026-03-29T11:49:00Z,10.02,90.48
2026-03-29T11:50:00Z,15.89,86.84
2026-03-29T11:51:00Z,16.20,83.68
2026-03-29T11:52:00Z,18.94,83.90
2026-03-29T11:53:00Z,22.01,79.90
2026-03-29T11:54:00Z,25.15,73.65
2026-03-29T11:55:00Z,23.98,75.45
2026-03-29T11:56:00Z,24.88,76.00
2026-03-29T11:57:00Z,25.79,76.00
2026-03-29T11:58:00Z,26.72,76.80
2026-03-29T11:59:00Z,20.08,81.00
2026-03-29T12:00:00Z,19.99,80.52
2026-03-29T12:01:00Z,23.32,77.96
2026-03-29T12:02:00Z,21.94,80.33
2026-03-29T12:03:00Z,24.18,77.63
2026-03-29T12:04:00Z,25.98,76.00
2026-03-29T12:05:00Z,23.76,76.24
2026-03-29T12:06:00Z,22.42,79.05
2026-03-29T12:07:00Z,19.72,80.95
2026-03-29T12:08:00Z,13.31,85.63
2026-03-29T12:09:00Z,11.64,87.16
2026-03-29T12:10:00Z,6.80,93.21
2026-03-29T12:11:00Z,3.11,96.16
2026-03-29T12:12:00Z,4.91,96.70
2026-03-29T12:13:00Z,9.54,93.04
2026-03-29T12:14:00Z,7.96,92.91
2026-03-29T12:15:00Z,2.80,97.84
2026-03-29T12:16:00Z,3.89,96.46
2026-03-29T12:17:00Z,4.08,98.37
2026-03-29T12:18:00Z,1.62,98.88
2026-03-29T12:19:00Z,1.62,99.00
2026-03-29T12:20:00Z,1.00,99.00
2026-03-29T12:21:00Z,1.00,99.00
2026-03-29T12:22:00Z,1.00,99.00
2026-03-29T12:23:00Z,1.00,99.00
