# event_ticker=KXATPCHALLENGERMATCH-26MAY12CHOFIC
# final_score=2-6 6-4 6-4
# match_winner=Jan Choinski
# fav_player=Jan Choinski
# dog_player=Juan Pablo Ficovich
# kalshi_date=2026-05-12
timestamp,Jan Choinski,Juan Pablo Ficovich
2026-05-12T20:39:00Z,70.00,
2026-05-12T20:43:00Z,70.00,30.00
2026-05-12T20:53:00Z,70.00,30.00
2026-05-12T21:22:00Z,70.00,31.00
2026-05-12T22:02:00Z,70.00,31.00
2026-05-12T22:53:00Z,70.00,31.00
2026-05-12T23:12:00Z,70.00,31.00
2026-05-12T23:14:00Z,70.00,31.00
2026-05-13T00:04:00Z,69.00,31.00
2026-05-13T00:44:00Z,70.00,31.00
2026-05-13T01:13:00Z,70.00,31.00
2026-05-13T01:17:00Z,70.00,31.00
2026-05-13T02:07:00Z,70.00,31.00
2026-05-13T02:10:00Z,70.00,31.00
2026-05-13T02:39:00Z,70.00,31.00
2026-05-13T02:43:00Z,70.00,31.00
2026-05-13T03:02:00Z,70.00,31.00
2026-05-13T03:19:00Z,70.00,31.00
2026-05-13T03:45:00Z,70.00,31.00
2026-05-13T04:11:00Z,70.00,31.00
2026-05-13T04:17:00Z,70.00,31.00
2026-05-13T04:51:00Z,70.00,31.00
2026-05-13T05:02:00Z,70.00,31.00
2026-05-13T05:09:00Z,70.00,31.00
2026-05-13T05:10:00Z,70.00,31.00
2026-05-13T05:11:00Z,70.00,31.00
2026-05-13T05:15:00Z,70.00,31.00
2026-05-13T05:20:00Z,70.00,31.00
2026-05-13T05:22:00Z,70.00,31.00
2026-05-13T05:33:00Z,70.00,31.00
2026-05-13T05:35:00Z,70.00,30.00
2026-05-13T05:51:00Z,70.00,30.00
2026-05-13T05:58:00Z,70.00,30.00
2026-05-13T06:00:00Z,70.00,30.00
2026-05-13T06:18:00Z,70.00,31.00
2026-05-13T06:22:00Z,70.00,31.00
2026-05-13T06:47:00Z,70.00,31.00
2026-05-13T06:52:00Z,70.00,30.50
2026-05-13T07:03:00Z,69.00,31.00
2026-05-13T07:04:00Z,69.00,31.00
2026-05-13T07:13:00Z,70.00,31.00
2026-05-13T07:30:00Z,70.00,31.00
2026-05-13T07:44:00Z,70.00,31.00
2026-05-13T07:46:00Z,70.00,31.00
2026-05-13T07:52:00Z,70.00,32.08
2026-05-13T08:05:00Z,70.00,32.00
2026-05-13T08:06:00Z,71.00,32.00
2026-05-13T08:07:00Z,71.00,31.00
2026-05-13T08:08:00Z,71.00,31.00
2026-05-13T08:09:00Z,71.00,31.00
2026-05-13T08:10:00Z,68.00,32.00
