# event_ticker=KXATPCHALLENGERMATCH-26MAR30GLIKUK
# final_score=6-3 6-3
# match_winner=Daniil Glinka
# fav_player=Daniil Glinka
# dog_player=Mikhail Kukushkin
# kalshi_date=2026-03-30
timestamp,Daniil Glinka,Mikhail Kukushkin
2026-03-30T00:21:00Z,,65.00
2026-03-30T00:25:00Z,,67.00
2026-03-30T02:37:00Z,,67.00
2026-03-30T03:09:00Z,,67.00
2026-03-30T04:20:00Z,34.00,67.00
2026-03-30T04:32:00Z,34.00,67.00
2026-03-30T04:57:00Z,34.00,66.00
2026-03-30T05:11:00Z,34.00,67.00
2026-03-30T05:34:00Z,34.00,67.00
2026-03-30T06:46:00Z,34.00,67.00
2026-03-30T07:45:00Z,34.00,66.00
2026-03-30T10:02:00Z,34.00,69.00
2026-03-30T10:04:00Z,34.00,69.00
2026-03-30T10:15:00Z,34.00,68.00
2026-03-30T10:31:00Z,34.00,68.00
2026-03-30T10:39:00Z,34.00,68.00
2026-03-30T10:44:00Z,34.00,68.00
2026-03-30T10:47:00Z,34.00,68.00
2026-03-30T10:56:00Z,34.00,68.00
2026-03-30T11:05:00Z,34.00,68.00
2026-03-30T11:15:00Z,34.00,68.00
2026-03-30T11:19:00Z,34.00,68.83
2026-03-30T11:28:00Z,34.00,69.00
2026-03-30T11:35:00Z,34.00,69.00
2026-03-30T11:36:00Z,34.00,69.64
2026-03-30T11:39:00Z,34.00,69.64
2026-03-30T11:40:00Z,34.00,69.64
2026-03-30T11:41:00Z,34.29,69.99
2026-03-30T11:42:00Z,33.00,69.99
2026-03-30T11:44:00Z,34.68,71.00
2026-03-30T11:45:00Z,30.48,67.66
2026-03-30T11:46:00Z,35.15,66.00
2026-03-30T11:47:00Z,38.13,64.00
2026-03-30T11:48:00Z,41.17,60.47
2026-03-30T11:49:00Z,45.24,58.13
2026-03-30T11:50:00Z,42.97,58.00
2026-03-30T11:51:00Z,40.85,61.64
2026-03-30T11:52:00Z,39.16,61.28
2026-03-30T11:53:00Z,38.36,65.40
2026-03-30T11:54:00Z,35.53,66.06
2026-03-30T11:55:00Z,31.07,71.90
2026-03-30T11:56:00Z,31.46,70.91
2026-03-30T11:57:00Z,29.81,72.19
