# event_ticker=KXATPMATCH-25SEP17HALOCO
# final_score=6-7(3) 6-3 6-4
# score_resolution=6-7 6-3 6-4
# match_winner=Christopher O'Connell
# fav_player=Christopher O'Connell
# dog_player=Quentin Halys
# kalshi_date=2025-09-17
timestamp,Christopher O'Connell,Quentin Halys
2025-09-16T21:53:00Z,,51.00
2025-09-16T21:55:00Z,,50.00
2025-09-16T22:12:00Z,50.26,50.00
2025-09-17T01:01:00Z,51.00,50.00
2025-09-17T01:58:00Z,51.00,51.00
2025-09-17T02:19:00Z,51.00,51.00
2025-09-17T02:59:00Z,51.00,52.00
2025-09-17T03:13:00Z,50.00,52.00
2025-09-17T03:31:00Z,50.00,52.00
2025-09-17T03:34:00Z,50.00,52.00
2025-09-17T03:35:00Z,50.00,52.00
2025-09-17T03:37:00Z,50.00,52.00
2025-09-17T03:53:00Z,49.00,52.00
2025-09-17T03:59:00Z,49.00,52.00
2025-09-17T04:05:00Z,49.00,52.00
2025-09-17T04:18:00Z,49.00,52.00
2025-09-17T04:51:00Z,49.00,52.00
2025-09-17T05:02:00Z,49.00,53.00
2025-09-17T05:19:00Z,49.00,53.00
2025-09-17T05:33:00Z,49.00,53.00
2025-09-17T05:42:00Z,49.00,53.00
2025-09-17T05:47:00Z,49.00,53.00
2025-09-17T05:51:00Z,49.00,53.00
2025-09-17T06:05:00Z,49.00,53.00
2025-09-17T06:12:00Z,49.00,53.00
2025-09-17T06:26:00Z,49.00,53.00
2025-09-17T06:35:00Z,49.00,53.00
2025-09-17T06:36:00Z,49.00,53.00
2025-09-17T06:40:00Z,49.00,53.00
2025-09-17T06:42:00Z,49.00,53.00
2025-09-17T06:49:00Z,49.00,53.00
2025-09-17T06:50:00Z,49.00,53.00
2025-09-17T06:59:00Z,49.00,53.00
2025-09-17T07:10:00Z,49.00,53.00
2025-09-17T07:15:00Z,49.00,53.00
2025-09-17T07:22:00Z,49.00,53.00
2025-09-17T07:24:00Z,49.00,53.00
2025-09-17T07:28:00Z,49.00,53.00
2025-09-17T07:29:00Z,49.00,53.00
