# event_ticker=KXATPMATCH-25NOV02POPKOR
# final_score=4-6 6-3 6-4
# score_resolution=6-4 3-6 4-6
# match_winner=Sebastian Korda
# fav_player=Alexei Popyrin
# dog_player=Sebastian Korda
# kalshi_date=2025-11-02
timestamp,Alexei Popyrin,Sebastian Korda
2025-11-02T06:45:00Z,,62.00
2025-11-02T06:49:00Z,39.00,62.00
2025-11-02T06:58:00Z,39.00,62.00
2025-11-02T07:01:00Z,39.00,62.00
2025-11-02T08:12:00Z,38.00,62.00
2025-11-02T09:45:00Z,38.00,62.00
2025-11-02T10:06:00Z,38.00,62.00
2025-11-02T10:15:00Z,38.00,61.00
2025-11-02T10:54:00Z,38.00,62.00
2025-11-02T11:20:00Z,38.00,62.00
2025-11-02T11:34:00Z,38.00,62.00
2025-11-02T11:49:00Z,38.00,62.00
2025-11-02T11:52:00Z,38.00,62.00
2025-11-02T11:56:00Z,38.00,62.00
2025-11-02T12:21:00Z,38.00,63.00
2025-11-02T13:11:00Z,38.00,63.00
2025-11-02T13:22:00Z,38.00,63.00
2025-11-02T13:42:00Z,38.00,63.00
2025-11-02T14:03:00Z,38.00,63.00
2025-11-02T14:13:00Z,38.00,63.00
2025-11-02T14:14:00Z,38.00,63.00
2025-11-02T14:17:00Z,38.00,63.00
2025-11-02T14:22:00Z,38.00,63.00
2025-11-02T14:23:00Z,38.00,63.00
2025-11-02T14:48:00Z,38.00,63.00
2025-11-02T14:59:00Z,38.00,63.00
2025-11-02T15:10:00Z,38.00,63.00
2025-11-02T15:11:00Z,38.00,63.00
2025-11-02T15:13:00Z,38.00,63.00
2025-11-02T15:26:00Z,38.00,63.00
2025-11-02T15:31:00Z,38.00,63.00
2025-11-02T15:35:00Z,38.00,63.00
2025-11-02T15:36:00Z,38.00,63.00
2025-11-02T15:44:00Z,38.00,63.00
2025-11-02T15:52:00Z,38.00,63.00
2025-11-02T16:01:00Z,38.00,63.00
2025-11-02T16:05:00Z,38.00,63.00
2025-11-02T16:06:00Z,38.00,63.00
2025-11-02T16:07:00Z,38.00,63.00
2025-11-02T16:16:00Z,38.00,63.00
2025-11-02T16:17:00Z,38.00,63.00
2025-11-02T16:21:00Z,38.00,63.00
2025-11-02T16:24:00Z,37.00,63.00
2025-11-02T16:27:00Z,37.00,63.00
2025-11-02T16:37:00Z,37.00,63.00
2025-11-02T16:38:00Z,37.00,63.00
2025-11-02T16:39:00Z,38.00,63.00
2025-11-02T16:40:00Z,38.00,63.00
2025-11-02T16:47:00Z,38.00,63.00
2025-11-02T16:48:00Z,38.00,62.20
2025-11-02T16:52:00Z,38.00,63.00
2025-11-02T16:54:00Z,38.00,63.00
2025-11-02T16:55:00Z,38.00,63.00
2025-11-02T16:58:00Z,38.00,63.00
2025-11-02T17:01:00Z,38.00,63.00
2025-11-02T17:02:00Z,38.00,63.00
2025-11-02T17:05:00Z,38.00,63.00
