# event_ticker=KXATPCHALLENGERMATCH-26MAR30SARBUE
# final_score=6-2 3-6 6-4
# score_resolution=2-6 6-3 4-6
# match_winner=Paulo Andre Saraiva Dos Santos
# fav_player=Gonzalo Bueno
# dog_player=Paulo Andre Saraiva Dos Santos
# kalshi_date=2026-03-30
timestamp,Gonzalo Bueno,Paulo Andre Saraiva Dos Santos
2026-03-30T09:20:00Z,,8.50
2026-03-30T12:31:00Z,,9.00
2026-03-30T12:32:00Z,,8.00
2026-03-30T13:07:00Z,,8.00
2026-03-30T13:26:00Z,91.43,8.00
2026-03-30T13:52:00Z,93.00,8.00
2026-03-30T13:58:00Z,93.00,8.00
2026-03-30T13:59:00Z,93.00,9.00
2026-03-30T14:46:00Z,93.00,9.00
2026-03-30T14:57:00Z,92.00,9.00
2026-03-30T15:01:00Z,92.00,9.00
2026-03-30T15:06:00Z,92.00,9.00
2026-03-30T15:08:00Z,92.00,9.00
2026-03-30T15:18:00Z,92.00,8.00
2026-03-30T15:33:00Z,92.00,9.00
2026-03-30T15:35:00Z,92.00,9.00
2026-03-30T15:37:00Z,92.00,10.00
2026-03-30T15:47:00Z,92.00,10.00
2026-03-30T16:22:00Z,92.00,9.00
2026-03-30T16:28:00Z,92.00,8.00
2026-03-30T16:35:00Z,92.00,10.00
2026-03-30T16:38:00Z,92.00,8.00
2026-03-30T16:41:00Z,92.00,10.00
2026-03-30T17:00:00Z,92.00,10.00
2026-03-30T17:09:00Z,92.50,10.00
2026-03-30T17:13:00Z,92.50,10.00
2026-03-30T17:28:00Z,92.50,10.00
2026-03-30T17:32:00Z,92.50,10.00
2026-03-30T17:33:00Z,92.50,10.00
2026-03-30T17:36:00Z,92.50,10.00
2026-03-30T17:40:00Z,92.50,9.00
2026-03-30T17:43:00Z,92.50,10.00
2026-03-30T17:45:00Z,91.00,10.00
2026-03-30T17:48:00Z,91.00,10.00
2026-03-30T17:50:00Z,91.00,10.00
2026-03-30T17:54:00Z,91.00,10.00
2026-03-30T17:56:00Z,91.00,10.00
2026-03-30T18:20:00Z,91.00,10.00
2026-03-30T18:23:00Z,91.00,10.00
2026-03-30T18:25:00Z,91.00,10.00
2026-03-30T18:26:00Z,91.00,10.00
2026-03-30T18:27:00Z,91.00,10.00
2026-03-30T18:29:00Z,91.00,10.00
2026-03-30T18:30:00Z,91.00,10.00
2026-03-30T18:31:00Z,91.00,10.40
2026-03-30T18:32:00Z,91.00,10.00
2026-03-30T18:39:00Z,91.00,9.00
2026-03-30T18:41:00Z,91.00,11.00
2026-03-30T18:43:00Z,91.00,8.05
2026-03-30T18:48:00Z,91.00,10.00
2026-03-30T18:49:00Z,91.00,10.00
2026-03-30T18:50:00Z,91.00,8.00
2026-03-30T18:51:00Z,91.00,10.00
2026-03-30T19:09:00Z,91.00,9.15
2026-03-30T19:13:00Z,91.00,9.00
