# event_ticker=KXATPCHALLENGERMATCH-26MAR24NEUMAR
# final_score=7-6(4) 6-3
# score_resolution=6-7 3-6
# match_winner=Lukas Neumayer
# fav_player=Juan Cruz Martin Manzano
# dog_player=Lukas Neumayer
# kalshi_date=2026-03-24
timestamp,Juan Cruz Martin Manzano,Lukas Neumayer
2026-03-24T04:58:00Z,,82.00
2026-03-24T05:50:00Z,18.00,82.00
2026-03-24T06:18:00Z,20.00,82.00
2026-03-24T06:21:00Z,18.00,82.00
2026-03-24T06:31:00Z,18.00,80.00
2026-03-24T08:26:00Z,20.00,80.00
2026-03-24T09:29:00Z,18.00,80.00
2026-03-24T10:32:00Z,20.00,80.00
2026-03-24T11:09:00Z,20.00,82.00
2026-03-24T11:20:00Z,20.00,83.00
2026-03-24T11:28:00Z,23.46,83.00
2026-03-24T11:33:00Z,23.46,81.00
2026-03-24T11:46:00Z,26.00,76.00
2026-03-24T11:50:00Z,26.00,82.00
2026-03-24T11:54:00Z,26.00,82.00
2026-03-24T12:06:00Z,26.00,84.00
2026-03-24T12:09:00Z,19.00,84.00
2026-03-24T12:23:00Z,19.00,84.00
2026-03-24T12:26:00Z,19.00,84.00
2026-03-24T12:28:00Z,19.00,84.00
2026-03-24T12:41:00Z,19.00,82.00
2026-03-24T13:13:00Z,18.00,82.00
2026-03-24T13:14:00Z,18.00,82.00
2026-03-24T13:15:00Z,23.00,81.88
2026-03-24T13:16:00Z,30.26,78.00
2026-03-24T13:17:00Z,24.07,75.66
2026-03-24T13:18:00Z,22.00,81.00
2026-03-24T13:19:00Z,20.24,81.00
2026-03-24T13:20:00Z,20.24,77.00
2026-03-24T13:21:00Z,29.57,75.00
2026-03-24T13:22:00Z,21.00,80.00
2026-03-24T13:23:00Z,24.00,80.00
2026-03-24T13:24:00Z,26.08,75.00
2026-03-24T13:25:00Z,23.96,74.82
2026-03-24T13:26:00Z,21.87,75.00
2026-03-24T13:27:00Z,21.87,74.90
2026-03-24T13:28:00Z,25.74,74.90
2026-03-24T13:29:00Z,22.97,76.00
2026-03-24T13:30:00Z,22.97,80.00
2026-03-24T13:31:00Z,23.13,79.00
2026-03-24T13:32:00Z,26.31,73.00
2026-03-24T13:33:00Z,29.04,73.00
2026-03-24T13:34:00Z,30.09,72.00
2026-03-24T13:35:00Z,26.13,74.00
2026-03-24T13:36:00Z,22.86,78.00
2026-03-24T13:37:00Z,21.60,78.00
2026-03-24T13:38:00Z,20.00,80.58
2026-03-24T13:39:00Z,17.35,79.00
2026-03-24T13:40:00Z,18.53,80.00
2026-03-24T13:41:00Z,28.00,80.00
2026-03-24T13:42:00Z,28.42,73.68
2026-03-24T13:43:00Z,31.00,73.66
2026-03-24T13:44:00Z,29.87,72.20
2026-03-24T13:45:00Z,25.02,74.13
2026-03-24T13:46:00Z,23.00,78.50
2026-03-24T13:47:00Z,28.29,78.50
2026-03-24T13:48:00Z,30.64,72.00
2026-03-24T13:49:00Z,33.00,69.00
2026-03-24T13:50:00Z,35.00,68.28
2026-03-24T13:51:00Z,43.01,61.00
2026-03-24T13:52:00Z,51.38,49.45
2026-03-24T13:53:00Z,43.12,59.39
2026-03-24T13:54:00Z,36.70,65.00
2026-03-24T13:55:00Z,40.43,57.76
2026-03-24T13:56:00Z,37.68,61.72
2026-03-24T13:57:00Z,40.06,59.10
2026-03-24T13:58:00Z,48.98,59.26
2026-03-24T13:59:00Z,34.17,71.19
2026-03-24T14:00:00Z,27.97,73.00
2026-03-24T14:01:00Z,30.12,65.00
2026-03-24T14:02:00Z,31.35,67.04
2026-03-24T14:03:00Z,33.00,67.23
2026-03-24T14:04:00Z,35.00,66.05
2026-03-24T14:05:00Z,41.14,60.82
2026-03-24T14:06:00Z,39.87,63.17
2026-03-24T14:07:00Z,35.69,64.00
2026-03-24T14:08:00Z,32.90,68.71
2026-03-24T14:09:00Z,24.86,76.00
2026-03-24T14:10:00Z,25.78,76.59
2026-03-24T14:11:00Z,21.05,81.00
2026-03-24T14:12:00Z,16.67,87.86
2026-03-24T14:13:00Z,18.09,81.00
2026-03-24T14:14:00Z,10.86,86.82
2026-03-24T14:15:00Z,12.49,88.00
2026-03-24T14:16:00Z,12.17,86.00
2026-03-24T14:17:00Z,13.53,88.00
2026-03-24T14:18:00Z,16.49,83.25
2026-03-24T14:19:00Z,12.96,88.66
2026-03-24T14:20:00Z,13.00,88.00
2026-03-24T14:21:00Z,13.00,87.13
2026-03-24T14:22:00Z,14.38,87.47
2026-03-24T14:23:00Z,15.43,86.51
2026-03-24T14:24:00Z,17.67,84.61
2026-03-24T14:25:00Z,14.15,86.54
2026-03-24T14:26:00Z,12.77,89.00
2026-03-24T14:27:00Z,9.55,90.12
2026-03-24T14:28:00Z,6.97,93.01
2026-03-24T14:29:00Z,5.91,94.43
2026-03-24T14:30:00Z,6.17,94.37
2026-03-24T14:31:00Z,7.69,93.81
2026-03-24T14:32:00Z,5.64,93.58
2026-03-24T14:33:00Z,8.93,92.83
2026-03-24T14:34:00Z,10.05,90.91
2026-03-24T14:35:00Z,5.11,95.05
2026-03-24T14:36:00Z,2.80,95.47
2026-03-24T14:37:00Z,4.85,96.15
2026-03-24T14:38:00Z,4.99,95.94
2026-03-24T14:39:00Z,5.97,95.78
2026-03-24T14:40:00Z,2.95,97.16
2026-03-24T14:41:00Z,2.93,97.32
2026-03-24T14:42:00Z,3.44,97.03
2026-03-24T14:43:00Z,3.16,97.78
2026-03-24T14:44:00Z,3.01,97.81
2026-03-24T14:45:00Z,3.50,96.39
2026-03-24T14:46:00Z,4.81,96.13
2026-03-24T14:47:00Z,5.31,96.98
2026-03-24T14:48:00Z,2.15,97.81
2026-03-24T14:49:00Z,3.13,96.51
2026-03-24T14:50:00Z,2.81,97.11
2026-03-24T14:51:00Z,2.00,98.18
2026-03-24T14:52:00Z,1.78,98.98
2026-03-24T14:53:00Z,1.75,98.01
2026-03-24T14:54:00Z,2.00,98.01
2026-03-24T14:55:00Z,2.19,98.00
2026-03-24T14:56:00Z,3.25,97.65
2026-03-24T14:57:00Z,4.30,96.43
2026-03-24T14:58:00Z,2.38,98.21
2026-03-24T14:59:00Z,1.02,99.00
2026-03-24T15:00:00Z,1.00,99.00
2026-03-24T15:01:00Z,1.92,99.00
2026-03-24T15:02:00Z,2.00,99.00
2026-03-24T15:03:00Z,2.27,97.96
2026-03-24T15:04:00Z,1.63,99.00
2026-03-24T15:05:00Z,1.00,99.00
2026-03-24T15:06:00Z,1.00,99.00
2026-03-24T15:07:00Z,1.00,99.00
