# event_ticker=KXATPCHALLENGERMATCH-26MAR26DALGIU
# final_score=4-6 6-4 6-1
# match_winner=Enrico Dalla Valle
# fav_player=Enrico Dalla Valle
# dog_player=Lorenzo Giustino
# kalshi_date=2026-03-26
timestamp,Enrico Dalla Valle,Lorenzo Giustino
2026-03-26T04:23:00Z,41.00,
2026-03-26T04:32:00Z,41.00,60.86
2026-03-26T04:46:00Z,41.00,60.00
2026-03-26T04:51:00Z,40.00,62.00
2026-03-26T04:53:00Z,40.00,63.00
2026-03-26T04:54:00Z,40.00,63.00
2026-03-26T04:57:00Z,40.00,63.00
2026-03-26T05:11:00Z,40.00,63.00
2026-03-26T05:27:00Z,40.00,63.00
2026-03-26T05:32:00Z,40.00,60.07
2026-03-26T06:41:00Z,40.00,61.00
2026-03-26T09:02:00Z,40.00,61.00
2026-03-26T09:04:00Z,40.00,61.00
2026-03-26T09:06:00Z,41.00,61.00
2026-03-26T09:08:00Z,41.00,61.00
2026-03-26T09:12:00Z,41.00,61.00
2026-03-26T09:14:00Z,41.00,61.00
2026-03-26T09:18:00Z,41.00,61.00
2026-03-26T09:21:00Z,39.00,61.00
2026-03-26T09:22:00Z,39.00,61.00
2026-03-26T09:25:00Z,39.00,61.00
2026-03-26T09:28:00Z,40.00,61.00
2026-03-26T09:37:00Z,40.00,61.00
2026-03-26T09:38:00Z,39.00,61.00
2026-03-26T09:42:00Z,39.00,61.87
2026-03-26T09:45:00Z,39.00,63.00
2026-03-26T09:48:00Z,39.00,63.00
2026-03-26T10:01:00Z,40.00,63.00
2026-03-26T10:03:00Z,40.00,63.00
2026-03-26T10:04:00Z,40.00,63.00
2026-03-26T10:05:00Z,40.00,63.00
2026-03-26T10:08:00Z,40.00,63.00
2026-03-26T10:21:00Z,40.00,63.00
2026-03-26T10:23:00Z,40.00,63.00
2026-03-26T10:27:00Z,40.90,63.00
2026-03-26T10:33:00Z,40.90,63.00
2026-03-26T10:39:00Z,41.00,63.00
2026-03-26T10:40:00Z,41.00,63.00
2026-03-26T10:43:00Z,41.00,63.00
2026-03-26T10:45:00Z,41.00,63.00
2026-03-26T10:46:00Z,41.00,62.00
2026-03-26T10:59:00Z,41.00,62.00
2026-03-26T11:04:00Z,41.00,62.00
2026-03-26T11:06:00Z,41.00,62.00
2026-03-26T11:12:00Z,41.00,62.00
2026-03-26T11:13:00Z,38.00,62.00
2026-03-26T11:15:00Z,41.00,62.00
