# event_ticker=KXATPMATCH-25JUL30NAKQUI
# final_score=7-6(6) 6-4
# score_resolution=7-6 6-4
# match_winner=Brandon Nakashima
# fav_player=Brandon Nakashima
# dog_player=Ethan Quinn
# kalshi_date=2025-07-30
timestamp,Brandon Nakashima,Ethan Quinn
2025-07-30T12:25:00Z,70.00,
2025-07-30T12:39:00Z,69.00,
2025-07-30T13:03:00Z,69.00,32.00
2025-07-30T13:40:00Z,70.00,32.00
2025-07-30T14:02:00Z,70.00,32.00
2025-07-30T14:06:00Z,70.00,32.00
2025-07-30T14:22:00Z,70.00,32.00
2025-07-30T15:14:00Z,68.00,32.00
2025-07-30T15:31:00Z,68.00,32.00
2025-07-30T15:36:00Z,68.00,32.00
2025-07-30T15:49:00Z,68.00,32.00
2025-07-30T16:03:00Z,68.00,32.00
2025-07-30T18:17:00Z,68.00,34.00
2025-07-30T18:18:00Z,68.00,34.00
2025-07-30T18:20:00Z,68.00,34.00
2025-07-30T18:21:00Z,68.00,34.00
2025-07-30T18:23:00Z,72.00,34.00
2025-07-30T18:24:00Z,72.56,31.00
2025-07-30T18:25:00Z,72.56,29.34
2025-07-30T18:26:00Z,71.00,33.00
2025-07-30T18:27:00Z,71.00,29.00
2025-07-30T18:28:00Z,72.56,29.00
2025-07-30T18:29:00Z,72.56,29.51
2025-07-30T18:30:00Z,77.36,27.09
2025-07-30T18:31:00Z,81.44,27.09
2025-07-30T18:32:00Z,76.58,29.00
2025-07-30T18:33:00Z,81.33,27.05
2025-07-30T18:36:00Z,74.00,27.05
2025-07-30T18:37:00Z,75.00,28.00
2025-07-30T18:38:00Z,74.00,29.58
2025-07-30T18:39:00Z,73.73,28.87
2025-07-30T18:40:00Z,75.18,28.87
2025-07-30T18:41:00Z,78.43,25.25
2025-07-30T18:42:00Z,73.55,27.25
2025-07-30T18:43:00Z,73.07,27.25
2025-07-30T18:44:00Z,73.07,23.21
2025-07-30T18:45:00Z,75.11,28.51
2025-07-30T18:46:00Z,76.63,27.00
2025-07-30T18:48:00Z,76.63,35.00
2025-07-30T18:52:00Z,76.63,31.00
2025-07-30T18:54:00Z,75.00,31.00
2025-07-30T18:55:00Z,75.00,25.01
2025-07-30T18:56:00Z,75.00,27.72
2025-07-30T18:59:00Z,75.00,27.00
2025-07-30T19:00:00Z,72.00,27.41
2025-07-30T19:02:00Z,72.00,31.20
2025-07-30T19:06:00Z,71.00,30.00
2025-07-30T19:07:00Z,71.00,30.00
2025-07-30T19:11:00Z,71.00,30.00
2025-07-30T19:12:00Z,71.00,30.21
2025-07-30T19:13:00Z,71.00,30.21
2025-07-30T19:18:00Z,71.00,31.00
2025-07-30T19:23:00Z,71.00,31.00
2025-07-30T19:27:00Z,71.00,31.00
2025-07-30T19:28:00Z,71.00,31.00
2025-07-30T19:29:00Z,71.00,28.00
2025-07-30T19:32:00Z,71.00,31.00
2025-07-30T19:35:00Z,71.00,23.00
2025-07-30T19:38:00Z,70.00,31.00
2025-07-30T19:39:00Z,68.04,31.00
2025-07-30T19:42:00Z,70.00,31.00
2025-07-30T19:43:00Z,71.00,35.00
2025-07-30T19:44:00Z,71.84,32.00
2025-07-30T19:45:00Z,72.00,32.00
2025-07-30T19:48:00Z,73.07,32.00
2025-07-30T19:49:00Z,73.00,34.00
2025-07-30T19:51:00Z,71.00,30.07
2025-07-30T19:52:00Z,71.00,30.00
2025-07-30T19:53:00Z,71.00,32.00
2025-07-30T19:55:00Z,77.44,22.34
2025-07-30T19:56:00Z,79.84,30.00
2025-07-30T19:57:00Z,79.84,26.00
2025-07-30T19:58:00Z,76.00,26.00
2025-07-30T20:00:00Z,77.00,26.00
2025-07-30T20:01:00Z,81.00,20.00
2025-07-30T20:02:00Z,81.00,30.00
2025-07-30T20:03:00Z,81.00,31.79
2025-07-30T20:04:00Z,69.93,31.79
2025-07-30T20:05:00Z,72.29,31.79
2025-07-30T20:06:00Z,76.00,27.00
2025-07-30T20:07:00Z,78.00,27.48
2025-07-30T20:08:00Z,78.12,27.48
2025-07-30T20:09:00Z,84.00,27.48
2025-07-30T20:10:00Z,80.00,27.48
2025-07-30T20:11:00Z,73.97,26.97
2025-07-30T20:12:00Z,73.00,27.97
2025-07-30T20:13:00Z,77.00,27.99
2025-07-30T20:14:00Z,74.00,28.21
2025-07-30T20:16:00Z,68.74,36.83
2025-07-30T20:17:00Z,70.98,30.00
2025-07-30T20:18:00Z,65.50,31.24
2025-07-30T20:19:00Z,76.00,30.10
2025-07-30T20:20:00Z,76.00,18.00
2025-07-30T20:21:00Z,80.56,17.36
2025-07-30T20:22:00Z,80.22,18.00
2025-07-30T20:23:00Z,75.70,24.46
2025-07-30T20:24:00Z,70.00,31.88
