# event_ticker=KXATPMATCH-25AUG13AUGBON
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Felix Auger-Aliassime
# fav_player=Benjamin Bonzi
# dog_player=Felix Auger-Aliassime
# kalshi_date=2025-08-13
timestamp,Benjamin Bonzi,Felix Auger-Aliassime
2025-08-13T11:34:00Z,,71.00
2025-08-13T11:52:00Z,32.00,71.00
2025-08-13T11:57:00Z,32.00,71.00
2025-08-13T12:14:00Z,32.00,71.00
2025-08-13T12:20:00Z,32.00,71.00
2025-08-13T12:26:00Z,32.00,71.00
2025-08-13T12:37:00Z,32.00,71.00
2025-08-13T13:04:00Z,31.50,71.00
2025-08-13T13:09:00Z,32.00,71.00
2025-08-13T13:16:00Z,32.00,71.00
2025-08-13T13:25:00Z,31.00,71.00
2025-08-13T13:35:00Z,31.00,70.00
2025-08-13T13:39:00Z,31.00,70.00
2025-08-13T13:47:00Z,31.00,70.00
2025-08-13T13:53:00Z,31.78,70.00
2025-08-13T13:57:00Z,32.00,70.00
2025-08-13T14:04:00Z,32.00,70.00
2025-08-13T14:13:00Z,32.00,70.00
2025-08-13T14:15:00Z,32.00,70.00
2025-08-13T14:22:00Z,32.00,70.00
2025-08-13T14:23:00Z,32.00,70.00
2025-08-13T14:24:00Z,32.00,70.00
2025-08-13T14:32:00Z,30.00,70.00
2025-08-13T14:35:00Z,30.00,70.00
2025-08-13T14:41:00Z,30.00,71.00
2025-08-13T15:03:00Z,30.00,71.00
2025-08-13T15:04:00Z,30.00,70.00
2025-08-13T15:16:00Z,31.50,70.00
2025-08-13T15:23:00Z,31.97,70.00
2025-08-13T15:37:00Z,31.98,70.00
2025-08-13T15:41:00Z,31.98,70.00
2025-08-13T15:46:00Z,31.91,70.00
2025-08-13T15:54:00Z,31.00,70.00
2025-08-13T15:57:00Z,31.00,68.13
2025-08-13T16:02:00Z,31.00,70.00
2025-08-13T16:05:00Z,31.00,70.00
2025-08-13T16:17:00Z,31.00,70.00
2025-08-13T16:23:00Z,31.00,70.00
2025-08-13T16:27:00Z,31.00,70.00
2025-08-13T16:31:00Z,31.00,70.00
2025-08-13T16:33:00Z,31.00,70.00
