# event_ticker=KXATPCHALLENGERMATCH-26JUN02ROYALV
# final_score=6-4 6-3
# match_winner=Valentin Royer
# fav_player=Valentin Royer
# dog_player=Nicolas Alvarez Varona
# kalshi_date=2026-06-02
timestamp,Valentin Royer,Nicolas Alvarez Varona
2026-06-01T22:52:00Z,77.00,
2026-06-01T23:55:00Z,77.00,
2026-06-02T00:40:00Z,77.00,
2026-06-02T01:04:00Z,79.00,
2026-06-02T01:14:00Z,79.00,
2026-06-02T01:21:00Z,79.00,
2026-06-02T02:46:00Z,78.00,
2026-06-02T03:09:00Z,78.00,
2026-06-02T03:20:00Z,78.00,
2026-06-02T04:19:00Z,78.00,
2026-06-02T05:07:00Z,79.00,
2026-06-02T05:16:00Z,79.00,
2026-06-02T05:31:00Z,79.00,21.01
2026-06-02T06:11:00Z,79.00,21.01
2026-06-02T06:25:00Z,79.00,21.01
2026-06-02T06:39:00Z,79.00,21.01
2026-06-02T06:48:00Z,79.00,21.01
2026-06-02T08:29:00Z,79.00,21.01
2026-06-02T08:40:00Z,79.00,21.01
2026-06-02T10:15:00Z,76.09,21.01
2026-06-02T10:16:00Z,78.56,21.01
2026-06-02T10:17:00Z,78.00,21.01
2026-06-02T10:19:00Z,78.00,23.00
2026-06-02T10:20:00Z,79.34,21.99
2026-06-02T10:21:00Z,81.00,21.99
2026-06-02T10:23:00Z,85.00,19.00
2026-06-02T10:24:00Z,82.76,19.00
2026-06-02T10:25:00Z,82.76,18.11
2026-06-02T10:26:00Z,82.25,18.00
2026-06-02T10:27:00Z,81.02,19.00
2026-06-02T10:28:00Z,86.15,13.02
2026-06-02T10:29:00Z,88.80,13.02
2026-06-02T10:30:00Z,89.00,13.02
2026-06-02T10:31:00Z,90.00,12.00
2026-06-02T10:32:00Z,90.00,10.00
2026-06-02T10:33:00Z,90.00,11.00
2026-06-02T10:35:00Z,90.00,8.04
2026-06-02T10:36:00Z,90.00,8.04
2026-06-02T10:39:00Z,90.00,11.00
2026-06-02T10:40:00Z,87.00,11.00
2026-06-02T10:41:00Z,88.00,11.00
2026-06-02T10:42:00Z,85.47,11.00
2026-06-02T10:43:00Z,85.47,15.37
2026-06-02T10:44:00Z,86.67,15.37
2026-06-02T10:45:00Z,88.68,15.37
2026-06-02T10:46:00Z,89.00,15.37
2026-06-02T10:47:00Z,89.00,12.00
2026-06-02T10:48:00Z,89.00,12.00
2026-06-02T10:50:00Z,89.00,14.00
2026-06-02T10:52:00Z,87.00,14.00
2026-06-02T10:53:00Z,86.00,13.00
2026-06-02T10:54:00Z,81.00,18.95
2026-06-02T10:55:00Z,77.32,22.78
2026-06-02T10:56:00Z,75.00,25.20
2026-06-02T10:57:00Z,73.02,27.41
2026-06-02T10:58:00Z,70.03,27.41
2026-06-02T10:59:00Z,70.48,27.41
2026-06-02T11:00:00Z,66.50,34.09
2026-06-02T11:01:00Z,66.04,34.88
2026-06-02T11:02:00Z,71.10,31.00
2026-06-02T11:03:00Z,73.00,31.00
2026-06-02T11:04:00Z,72.76,27.04
2026-06-02T11:05:00Z,73.08,27.04
2026-06-02T11:06:00Z,82.64,18.75
2026-06-02T11:07:00Z,89.00,12.00
2026-06-02T11:08:00Z,88.00,11.98
2026-06-02T11:09:00Z,89.00,11.98
2026-06-02T11:11:00Z,89.00,11.98
2026-06-02T11:13:00Z,91.00,10.00
2026-06-02T11:14:00Z,88.00,10.00
2026-06-02T11:16:00Z,87.98,12.00
2026-06-02T11:17:00Z,88.00,13.00
2026-06-02T11:18:00Z,87.11,13.00
2026-06-02T11:19:00Z,90.00,11.00
2026-06-02T11:20:00Z,90.00,11.00
2026-06-02T11:21:00Z,89.00,11.28
2026-06-02T11:23:00Z,89.00,13.47
2026-06-02T11:25:00Z,92.00,13.47
2026-06-02T11:26:00Z,88.00,13.00
2026-06-02T11:27:00Z,88.00,14.00
2026-06-02T11:28:00Z,88.00,13.70
2026-06-02T11:29:00Z,89.00,10.00
2026-06-02T11:30:00Z,90.00,10.00
2026-06-02T11:31:00Z,91.00,10.00
2026-06-02T11:32:00Z,93.20,6.49
2026-06-02T11:33:00Z,94.87,5.00
2026-06-02T11:34:00Z,91.17,8.00
2026-06-02T11:35:00Z,90.00,11.96
2026-06-02T11:36:00Z,88.11,11.00
2026-06-02T11:37:00Z,85.93,14.03
2026-06-02T11:38:00Z,85.76,15.23
2026-06-02T11:39:00Z,85.79,14.15
2026-06-02T11:40:00Z,90.00,11.00
2026-06-02T11:41:00Z,90.00,10.89
2026-06-02T11:42:00Z,89.00,11.20
2026-06-02T11:43:00Z,89.00,11.00
2026-06-02T11:44:00Z,93.57,6.00
2026-06-02T11:45:00Z,96.00,4.76
2026-06-02T11:46:00Z,98.79,1.95
2026-06-02T11:47:00Z,99.00,1.08
2026-06-02T11:48:00Z,99.00,2.00
2026-06-02T11:49:00Z,98.00,2.99
2026-06-02T11:50:00Z,99.00,1.00
