# event_ticker=KXATPCHALLENGERMATCH-26MAY13MIDHAS
# final_score=6-4 2-6 6-3
# match_winner=Benjamin Hassan
# fav_player=Benjamin Hassan
# dog_player=Lautaro Midon
# kalshi_date=2026-05-13
timestamp,Lautaro Midon,Benjamin Hassan
2026-05-13T01:42:00Z,58.00,
2026-05-13T01:43:00Z,58.00,
2026-05-13T02:42:00Z,58.00,
2026-05-13T04:07:00Z,58.00,
2026-05-13T04:09:00Z,57.00,
2026-05-13T04:46:00Z,58.00,
2026-05-13T04:53:00Z,58.00,
2026-05-13T05:02:00Z,58.00,
2026-05-13T05:04:00Z,59.00,
2026-05-13T05:07:00Z,59.00,
2026-05-13T05:48:00Z,59.00,41.00
2026-05-13T05:57:00Z,59.00,41.00
2026-05-13T06:03:00Z,59.00,43.00
2026-05-13T07:54:00Z,58.00,43.00
2026-05-13T10:17:00Z,58.00,43.00
2026-05-13T10:18:00Z,58.00,43.00
2026-05-13T10:35:00Z,58.00,43.00
2026-05-13T10:36:00Z,57.00,43.00
2026-05-13T10:58:00Z,57.00,43.00
2026-05-13T11:42:00Z,57.00,43.00
2026-05-13T11:47:00Z,57.00,43.07
2026-05-13T11:56:00Z,58.00,43.07
2026-05-13T11:58:00Z,58.00,43.07
2026-05-13T11:59:00Z,58.00,44.00
2026-05-13T12:05:00Z,58.00,44.00
2026-05-13T12:06:00Z,58.00,43.00
2026-05-13T12:09:00Z,58.00,43.00
2026-05-13T12:10:00Z,58.00,43.00
2026-05-13T12:11:00Z,58.00,43.00
2026-05-13T12:15:00Z,58.00,44.00
2026-05-13T12:16:00Z,58.00,44.00
2026-05-13T12:18:00Z,57.00,44.00
2026-05-13T12:19:00Z,53.82,48.11
2026-05-13T12:20:00Z,51.34,49.00
2026-05-13T12:21:00Z,51.00,48.97
2026-05-13T12:22:00Z,54.00,47.00
2026-05-13T12:23:00Z,55.00,47.00
2026-05-13T12:24:00Z,57.18,45.00
2026-05-13T12:25:00Z,58.91,40.50
2026-05-13T12:26:00Z,66.83,40.96
2026-05-13T12:27:00Z,68.00,40.96
2026-05-13T12:28:00Z,68.00,40.96
2026-05-13T12:29:00Z,70.30,32.00
2026-05-13T12:30:00Z,67.00,32.00
2026-05-13T12:31:00Z,55.40,42.81
2026-05-13T12:32:00Z,57.33,45.98
2026-05-13T12:33:00Z,53.14,46.44
2026-05-13T12:34:00Z,50.90,50.95
2026-05-13T12:35:00Z,48.20,51.00
2026-05-13T12:36:00Z,51.08,51.00
2026-05-13T12:37:00Z,46.23,55.45
2026-05-13T12:38:00Z,42.00,58.92
2026-05-13T12:39:00Z,42.23,56.93
2026-05-13T12:40:00Z,43.33,55.27
2026-05-13T12:41:00Z,35.56,62.72
2026-05-13T12:42:00Z,38.30,66.01
2026-05-13T12:43:00Z,35.65,65.98
2026-05-13T12:44:00Z,31.44,66.51
2026-05-13T12:45:00Z,31.00,69.47
2026-05-13T12:46:00Z,29.00,70.68
2026-05-13T12:47:00Z,31.11,70.00
2026-05-13T12:48:00Z,33.35,66.94
2026-05-13T12:49:00Z,40.13,60.00
2026-05-13T12:50:00Z,41.00,61.14
2026-05-13T12:51:00Z,48.28,55.00
2026-05-13T12:52:00Z,49.00,51.55
2026-05-13T12:53:00Z,55.72,46.57
2026-05-13T12:54:00Z,53.35,50.64
2026-05-13T12:55:00Z,45.14,56.95
2026-05-13T12:56:00Z,40.17,63.06
2026-05-13T12:57:00Z,31.00,71.93
2026-05-13T12:58:00Z,30.88,70.46
2026-05-13T12:59:00Z,31.00,71.70
2026-05-13T13:00:00Z,31.96,71.00
2026-05-13T13:01:00Z,30.79,70.87
2026-05-13T13:02:00Z,35.91,64.88
2026-05-13T13:03:00Z,42.72,56.17
2026-05-13T13:04:00Z,43.98,57.51
2026-05-13T13:05:00Z,44.13,62.28
2026-05-13T13:06:00Z,43.95,58.21
2026-05-13T13:07:00Z,48.60,54.00
2026-05-13T13:08:00Z,49.06,51.70
2026-05-13T13:09:00Z,50.82,49.01
2026-05-13T13:10:00Z,51.08,49.07
2026-05-13T13:11:00Z,51.63,50.62
2026-05-13T13:12:00Z,52.14,50.62
2026-05-13T13:13:00Z,55.97,44.23
2026-05-13T13:14:00Z,56.52,42.36
2026-05-13T13:15:00Z,57.62,43.41
2026-05-13T13:16:00Z,56.42,45.31
2026-05-13T13:17:00Z,55.41,46.85
2026-05-13T13:18:00Z,55.22,46.85
2026-05-13T13:19:00Z,58.84,43.08
2026-05-13T13:20:00Z,59.40,41.97
2026-05-13T13:21:00Z,60.00,40.08
2026-05-13T13:22:00Z,57.86,43.00
2026-05-13T13:23:00Z,58.00,44.00
2026-05-13T13:24:00Z,57.98,44.00
2026-05-13T13:25:00Z,59.00,42.00
2026-05-13T13:26:00Z,60.02,40.88
2026-05-13T13:27:00Z,62.41,37.30
2026-05-13T13:28:00Z,60.41,38.91
2026-05-13T13:29:00Z,59.56,39.22
2026-05-13T13:30:00Z,60.84,39.26
2026-05-13T13:31:00Z,60.87,39.05
2026-05-13T13:32:00Z,62.20,39.05
2026-05-13T13:33:00Z,62.04,38.03
