# event_ticker=KXATPCHALLENGERMATCH-26MAR17MOLCOP
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Kimmer Coppejans
# fav_player=Elmer Moller
# dog_player=Kimmer Coppejans
# kalshi_date=2026-03-17
timestamp,Elmer Moller,Kimmer Coppejans
2026-03-16T22:26:00Z,,44.00
2026-03-16T23:02:00Z,58.00,44.00
2026-03-17T02:10:00Z,58.00,43.00
2026-03-17T02:31:00Z,58.00,43.00
2026-03-17T02:56:00Z,58.00,43.00
2026-03-17T04:06:00Z,59.00,44.00
2026-03-17T04:09:00Z,59.00,44.00
2026-03-17T04:15:00Z,59.00,44.00
2026-03-17T04:16:00Z,59.00,44.00
2026-03-17T04:17:00Z,59.00,44.00
2026-03-17T04:30:00Z,59.00,41.59
2026-03-17T04:42:00Z,59.00,41.59
2026-03-17T04:45:00Z,59.00,43.00
2026-03-17T04:50:00Z,59.00,43.00
2026-03-17T04:53:00Z,59.00,43.00
2026-03-17T04:59:00Z,59.00,43.00
2026-03-17T05:00:00Z,59.00,43.00
2026-03-17T05:01:00Z,59.00,41.00
2026-03-17T05:02:00Z,59.00,41.00
2026-03-17T05:04:00Z,59.00,41.00
2026-03-17T05:06:00Z,59.00,43.00
2026-03-17T05:11:00Z,59.00,44.00
2026-03-17T05:12:00Z,58.00,44.00
2026-03-17T05:15:00Z,58.00,44.00
2026-03-17T05:19:00Z,58.00,44.00
2026-03-17T05:22:00Z,59.00,44.00
2026-03-17T05:28:00Z,59.00,44.00
2026-03-17T05:30:00Z,59.00,44.00
2026-03-17T05:33:00Z,59.00,44.00
2026-03-17T05:34:00Z,59.00,44.00
2026-03-17T05:41:00Z,59.00,44.00
2026-03-17T05:46:00Z,59.00,43.54
2026-03-17T05:48:00Z,58.00,43.54
2026-03-17T05:51:00Z,58.00,45.00
2026-03-17T06:03:00Z,58.00,43.00
2026-03-17T06:19:00Z,58.00,44.00
2026-03-17T06:22:00Z,58.00,44.00
2026-03-17T06:30:00Z,58.00,44.00
2026-03-17T06:37:00Z,57.00,45.54
2026-03-17T06:42:00Z,56.00,45.54
2026-03-17T06:49:00Z,56.00,45.54
2026-03-17T06:52:00Z,56.00,45.00
2026-03-17T06:54:00Z,56.00,45.00
2026-03-17T06:55:00Z,57.00,45.00
2026-03-17T06:56:00Z,56.84,45.00
2026-03-17T06:59:00Z,57.00,45.00
2026-03-17T07:08:00Z,57.00,45.00
2026-03-17T07:11:00Z,57.00,45.00
2026-03-17T07:13:00Z,57.00,45.00
2026-03-17T07:14:00Z,57.00,45.00
